Crime Head,Number of Cases Reported During - 2004,Number of Cases Reported During - 2005,Percentage change in 2005 over 2004
Arms Act,201,192,-4.5
Narcotic Drugs & Psychotropic Substances Act,54,76,40.7
Gambling Act,989,1061,7.3
Excise Act,480,472,-1.7
Prohibition Act,566,830,46.6
Explosive & Explosive Substances Act,8,9,12.5
Immoral Traffic (P) Act,47,50,6.4
Railways Act,28,0,NA
Registration of Foreigners Act,24,33,37.5
Protection of Civil Rights Act - Total,0,1,NA
Protection of Civil Rights Act - (i) PCR Act for SCs,0,1,NA
Protection of Civil Rights Act - (ii) PCR Act for STs,0,0,NA
Indian Passport Act,6,9,50
Essential Commodities Act,6,19,216.7
Terrorist & Disruptive Activities Act,0,1,NA
Antiquity & Art Treasure Act,0,0,NA
Dowry Prohibition Act,5,5,0
Child Marriage Restraint Act,9,5,-44.4
Indecent Representation of Women (P) Act,106,1,-99.1
Copyrights Act,27,48,77.8
Sati Prevention Act,0,0,NA
SC/ST (prevention of Atrocities) Act - Total,47,37,-21.3
SC/ST (prevention of Atrocities) Act - (i) Prevention of Attrocities Act for SCs,35,31,-11.4
SC/ST (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for STs,12,6,-50
Forest Act,1,2,100
Other SLL Crimes,3152,3811,20.9
Total Cognizable Crimes under SLL,5756,6662,15.7
