Category,States/UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Train - Number,Railways Running Train - Value,Others in Railways - Number,Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,109,90.2,59,108.8,0,0,3,1.6,1,0,2,1.6,2,3.9,14,11.6,63,83.5,250,299.5
State,Arunachal Pradesh,10,15.5,0,0,0,0,0,0,0,0,0,0,0,0,5,1.8,8,2.6,23,19.9
State,Assam,213,105.8,43,35.8,1,0.8,2,1.4,0,0,2,1.4,3,4.1,14,10.9,58,42.8,334,201.5
State,Bihar,768,299.6,173,119,0,0,44,9.1,36,8.6,8,0.6,16,21.9,38,31.4,173,135.4,1212,616.5
State,Chhattisgarh,78,33.3,3,3,0,0,25,13,0,0,25,13,3,3.1,6,2.8,89,31.2,204,86.5
State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20.7,2,20.8
State,Gujarat,82,61.1,44,75.9,0,0,2,1.2,2,1.2,0,0,0,0,40,47.1,114,137.5,282,322.7
State,Haryana,13,3.8,11,19,0,0,1,0.3,1,0.3,0,0,3,9,9,68.8,51,108.7,88,209.6
State,Himachal Pradesh,1,1,1,5.6,0,0,0,0,0,0,0,0,0,0,0,0,4,6.4,6,13
State,Jammu & Kashmir,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.6,13,2.6
State,Jharkhand,254,150,188,70.4,0,0,7,4.6,3,1.2,4,3.4,17,32.4,14,3.3,112,43.6,592,304.3
State,Karnataka,48,62.9,28,37.3,0,0,1,0.4,1,0.4,0,0,1,25.6,12,30.3,118,329,208,485.5
State,Kerala,33,13.7,10,34.5,0,0,0,0,0,0,0,0,1,112.7,15,90.6,51,103.1,110,354.7
State,Madhya Pradesh,45,37.1,19,44.3,0,0,1,0.2,1,0.2,0,0,0,0,5,1.5,77,74,147,157.1
State,Maharashtra,195,163.8,65,190.7,0,0,11,1.9,11,1.9,0,0,10,45.5,75,296.1,285,220.6,641,918.7
State,Manipur,0,0,4,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.8
State,Meghalaya,20,9.8,32,12,0,0,0,0,0,0,0,0,1,93.9,9,3.6,19,3,81,122.4
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,3,0.1
State,Nagaland,1,0,8,2.2,0,0,0,0,0,0,0,0,0,0,0,0,3,3.2,12,5.4
State,Orissa,86,92.4,37,33.9,0,0,1,3.4,0,0,1,3.4,5,6,24,28.6,31,93,184,257.2
State,Punjab,6,26.4,1,8.5,0,0,1,0.5,1,0.5,0,0,1,2.4,0,0,18,34.1,27,72
State,Rajasthan,2,1.7,8,63.5,0,0,1,0.3,1,0.3,0,0,0,0,4,2.7,26,75.9,41,144
State,Sikkim,2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.9
State,Tamil Nadu,26,98.8,17,131.2,0,0,1,0.5,1,0.5,0,0,0,0,1,0,28,64.6,73,295.1
State,Tripura,17,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.3,22,18
State,Uttar Pradesh,129,135.6,55,332.1,0,0,10,4.4,9,4.3,1,0.1,1,6.9,11,55.1,80,70.6,286,604.8
State,Uttaranchal,22,9.3,11,18.7,0,0,0,0,0,0,0,0,1,2.4,3,3.8,11,7.1,48,41.4
State,West Bengal,90,83.7,20,9.9,0,0,4,1.4,4,1.4,0,0,7,13.3,30,51.9,60,83.4,211,243.6
State,Total (States),2254,1511.3,837,1361.2,1,0.8,115,44.2,72,20.8,43,23.3,72,383.1,330,741.9,1497,1781.3,5106,5823.7
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0.1,3,1.2
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.9,4,4.9
Union Territory,Delhi,12,111.8,0,0,0,0,0,0,0,0,0,0,1,5.3,6,10.6,8,5.7,27,133.4
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Union Territory,Total (UTs),13,111.8,0,0,0,0,0,0,0,0,0,0,1,5.3,8,11.6,13,10.8,35,139.5
Total (All-India),Total (All-India),2267,1623.1,837,1361.2,1,0.8,115,44.2,72,20.8,43,23.3,73,388.4,338,753.5,1510,1792.1,5141,5963.2
City,Agra,3,3.4,3,15.1,0,0,0,0,0,0,0,0,1,6.9,0,0,4,1.4,11,26.7
City,Ahmedabad,7,5.2,0,0,0,0,0,0,0,0,0,0,0,0,10,5.3,6,1.4,23,11.9
City,Allahabad,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3
City,Amritsar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Asansol,1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.3,3,2.6
