Crime Head,Total No. of persons under arrest* including those from Previous Year,Persons Released before Trial - Count.,Persons Released before Trial - Percentage to Total,Persons charge sheeted - Count.,Persons charge sheeted - Percentage to Total,Persons under Investigation at the end of the Year - Count.,Persons under Investigation at the end of the Year - Percentage to Total
Murder,90957,3357,3.7,61511,67.6,26089,28.7
Attempt to Commit Murder,82452,2532,3.1,62331,75.6,17589,21.3
C.H. Not Amounting to Murder,9167,426,4.6,6336,69.1,2405,26.2
Rape - Total,30011,1215,4,21515,71.7,7281,24.3
Rape - (i) Custodial Rape,4,1,25,3,75,0,0
Rape - (ii) Other Rape,30007,1214,4,21512,71.7,7281,24.3
Kidnapping & Abduction - Total,45238,3799,8.4,27538,60.9,13901,30.7
Kidnapping & Abduction - (i) of Women & Girls,27610,2430,8.8,16994,61.6,8186,29.6
Kidnapping & Abduction - (ii) of Others,17628,1369,7.8,10544,59.8,5715,32.4
Dacoity,32305,2652,8.2,17146,53.1,12507,38.7
Preparation & Assembly for Dacoity,14810,502,3.4,9964,67.3,4344,29.3
Robbery,40040,2486,6.2,24641,61.5,12913,32.3
Burglary,82676,6007,7.3,60331,73,16338,19.8
Theft - Total,259782,26018,10,182487,70.2,51277,19.7
Theft - (i) Auto Theft,54980,6686,12.2,35736,65,12558,22.8
Theft - (ii) Other Theft,204802,19332,9.4,146751,71.7,38719,18.9
Riots,399315,18262,4.6,301690,75.6,79363,19.9
Criminal Breach of Trust,23083,992,4.3,14399,62.4,7692,33.3
Cheating,71074,3370,4.7,45033,63.4,22671,31.9
Counterfeiting,4094,136,3.3,2318,56.6,1640,40.1
Arson,15436,890,5.8,10436,67.6,4110,26.6
Hurt,536248,16240,3,450872,84.1,69136,12.9
Dowry Death,22343,667,3,16348,73.2,5328,23.8
Molestation,49630,1124,2.3,41782,84.2,6724,13.5
Sexual Harassment,14551,248,1.7,12919,88.8,1384,9.5
Cruelty by Husband and Relatives,149683,3992,2.7,121653,81.3,24038,16.1
Importation of Girls,248,12,4.8,90,36.3,146,58.9
Causing Death by Negligence,75312,2519,3.3,59613,79.2,13180,17.5
Other IPC Crimes,1129500,32557,2.9,938118,83.1,158825,14.1
Total Cognizable Crimes Under IPC,3177955,130003,4.1,2489071,78.3,558881,17.6
