Category,States/ UTs,No. of Officers (Dy. SP & Above) - Sanctioned,No. of Officers (Dy. SP & Above) - Actual,No. of Upper Subordinates (ASI to Inspectors) - Sanctioned,No. of Upper Subordinates (ASI to Inspectors) - Actual,No. of Lower Subordinates and Supporting Staff - Sanctioned,No. of Lower Subordinates and Supporting Staff - Actual
State,Andhra Pradesh,16,11,44,34,180,161
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,55,28,182,144,2324,2249
State,Bihar,335,264,376,91,4195,3539
State,Chhattisgarh,24,17,325,221,1124,732
State,Goa,1,1,18,12,482,396
State,Gujarat,150,75,1500,1159,43630,39123
State,Haryana,44,25,171,135,381,262
State,Himachal Pradesh,19,9,310,212,240,180
State,Jammu & Kashmir,35,26,134,98,1607,1305
State,Jharkhand,23,12,636,172,85,67
State,Karnataka,1589,1197,3475,2957,19640,15312
State,Kerala,0,0,0,0,0,0
State,Madhya Pradesh,69,56,659,503,16607,11676
State,Maharashtra,817,701,3717,2752,41965,35459
State,Manipur,13,13,96,96,2233,2233
State,Meghalaya,18,17,63,54,1032,1022
State,Mizoram,1,1,5,5,104,104
State,Nagaland,7,4,10,7,112,165
State,Orissa,37,36,274,262,124,120
State,Punjab,5,4,98,70,16529,11999
State,Rajasthan,50,36,236,173,654,551
State,Sikkim,7,10,2,2,548,550
State,Tamil Nadu,0,0,0,0,11605,10233
State,Tripura,10,10,28,37,3036,2368
State,Uttar Pradesh,89,51,262,218,3004,2091
State,Uttaranchal,20,3,242,109,6411,5372
State,West Bengal,315,48,93,67,19703,17047
State,Total (States),3749,2655,12956,9590,197555,164316
Union Territory,A & N Islands,2,2,6,2,16,10
Union Territory,Chandigarh,1,1,2,1,1147,1128
Union Territory,D & N Haveli,0,0,0,0,300,291
Union Territory,Daman & Diu,0,0,0,0,100,100
Union Territory,Delhi,3,3,12,10,0,0
Union Territory,Lakshadweep,0,0,0,0,55,49
Union Territory,Pondicherry,0,0,3,3,447,392
Union Territory,Total (UTs),6,6,23,16,2065,1970
Total (All-India),Total (All-India),3755,2661,12979,9606,199620,166286
