Crime Head (Col.1),Cases Withdrawn by Govt. (Col.2),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col.3),Percentage of Cases to Total Cases for Trial in which Trials were completed - Convicted (Col.4),Percentage of Cases to Total Cases for Trial in which Trials were completed - Acquitted or Discharged (Col.5),Percentage of Cases to Total Cases for Trial in which Trials were completed - Total {(Col.4) + (Col.5)} (Col.6),Percentage of Cases to Total Cases for Trial - Pending Trial at the end of the year (Col.7),Conviction Rate {(Col.4)/(Col.6) × 100} (Col.8),
Murder,0,0.1,5.4,10.1,15.5,84.4,34.6,
Attempt to Commit Murder,0,0.3,5.4,12.2,17.6,82.1,30.5,
C.H. Not Amounting to Murder,0,0.2,5.2,10.7,15.8,84,32.6,
Rape,0,0.4,5,14.6,19.6,80,25.5,
Rape - (i) Custodial Rape,0,0,0,0,0,100,0,
Rape - (ii) Other Rape,0,0.4,5,14.6,19.6,80,25.5,
Kidnapping & Abduction,0.1,0.7,3.2,10,13.2,86.1,24.5,
Kidnapping & Abduction - (i) Of Women & Girls,0,0.8,3.2,9.6,12.8,86.4,25.3,
Kidnapping & Abduction - (ii) Of Others,0.2,0.3,3.2,10.9,14.1,85.6,22.8,
Dacoity,0,0,2.7,9.2,11.9,88,22.8,
Preparation & Assembly for Dacoity,0,0,3.9,12.2,16.1,83.8,24.2,
Robbery,0,0.2,3.5,8.1,11.6,88.2,30.1,
Burglary,0,0.4,4.3,7.6,11.9,87.7,35.8,
Theft,0,0.4,4.8,7.3,12.1,87.5,39.9,
Theft - (i) Auto Theft,0,0.2,6.2,7.4,13.6,86.2,45.4,
Theft - (ii) Other Theft,0,0.4,4.5,7.2,11.8,87.8,38.5,
Riots,0.1,1.5,2.2,8.1,10.4,88.2,21.6,
Criminal Breach of Trust,0,0.5,2.2,5.7,7.8,91.7,27.6,
Cheating,0,1,2.4,6.3,8.7,90.3,27.4,
Counterfeiting,0.2,0.2,4.5,8,12.6,87.3,36,
Arson,0,0.7,3.2,11.7,14.9,84.4,21.4,
Hurt,0.1,4.8,4.5,9,13.6,81.6,33.5,
Dowry Death,0,0.5,6.4,12.7,19.1,80.4,33.4,
Molestation,0,4.1,4.2,9.7,13.9,82,30,
Sexual Harassment,0,2.5,13.6,11.8,25.4,72.1,53.5,
Cruelty by Husband and Relatives,0,2.3,2.5,10.6,13.1,84.7,19.2,
Importation of Girls,0,0.9,3.7,7,10.7,88.3,34.8,
Causing Death by Negligence,0,0.8,6.2,9.5,15.7,83.5,39.3,
Other IPC Crimes,0.4,2.5,8.8,7.6,16.4,81.1,53.5,
Total Cognizable Crimes Under IPC,0.2,2.2,6.2,8.3,14.5,83.3,42.4,
