Category,States/UTs,Total No. of Persons under Trial including those from Previous Year,Total No. of Persons whose Cases Compounded or Withdrawn,Total No. of Persons whose Trial Completed,Total No. of Persons whose Trial Remained Pending at the end of the year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-IndiaTotal
State,Andhra Pradesh,2624,34,1051,1539,134,58.7,3.3
State,Arunachal Pradesh,24,0,2,22,2,91.7,0
State,Assam,138,11,32,95,13,68.8,0.2
State,Bihar,336,0,12,324,0,96.4,0.7
State,Chhattisgarh,2386,308,475,1603,271,67.2,3.4
State,Goa,161,2,32,127,10,78.9,0.3
State,Gujarat,3799,5,270,3524,66,92.8,7.5
State,Haryana,806,0,228,578,45,71.7,1.2
State,Himachal Pradesh,381,7,92,282,10,74,0.6
State,Jammu & Kashmir,146,0,5,141,0,96.6,0.3
State,Jharkhand,260,0,145,115,6,44.2,0.2
State,Karnataka,392,0,77,315,4,80.4,0.7
State,Kerala,1247,1,656,590,90,47.3,1.3
State,Madhya Pradesh,12916,354,3466,9096,1483,70.4,19.3
State,Maharashtra,11505,47,856,10602,108,92.2,22.5
State,Manipur,2,0,0,2,0,100,0
State,Meghalaya,7,0,0,7,0,100,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,542,0,90,452,14,83.4,1
State,Punjab,535,0,133,402,31,75.1,0.9
State,Rajasthan,1025,1,158,866,64,84.5,1.8
State,Sikkim,34,0,1,33,0,97.1,0.1
State,Tamil Nadu,700,6,250,444,76,63.4,0.9
State,Tripura,62,0,20,42,4,67.7,0.1
State,Uttar Pradesh,16527,5,3148,13374,1817,80.9,28.4
State,Uttaranchal,300,0,55,245,29,81.7,0.5
State,West Bengal,321,17,59,245,2,76.3,0.5
State,Total (States),57176,798,11313,45065,4279,78.8,95.7
Union Territory,A & N Islands,37,0,0,37,0,100,0.1
Union Territory,Chandigarh,171,0,30,141,6,82.5,0.3
Union Territory,D & N Haveli,28,0,2,26,1,92.9,0.1
Union Territory,Daman & Diu,6,1,0,5,0,83.3,0
Union Territory,Delhi,2071,0,272,1799,187,86.9,3.8
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,36,0,4,32,2,88.9,0.1
Union Territory,Total (UTs),2349,1,308,2040,196,86.8,4.3
Total (All-India),Total (All-India),59525,799,11621,47105,4475,79.1,100
