Category,States/ UTs,DG/ Addl.DG/IG/DIG - Sanctioned,DG/ Addl.DG/IG/DIG - Actual,SSP/SP/Addl.SP/ ASP/ Dy.SP - Sanctioned,SSP/SP/Addl.SP/ ASP/ Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,Andhra Pradesh,72,67,467,411,7398,6783,62964,58303,70901,65564
State,Arunachal Pradesh,5,3,63,59,512,495,2655,2632,3235,3189
State,Assam,34,34,295,269,5008,4876,24696,23162,30033,28341
State,Bihar,50,46,330,200,11096,8231,44540,33736,56016,42213
State,Chhattisgarh,32,32,318,223,2194,1392,15779,11840,18323,13487
State,Goa,2,3,27,26,311,245,2781,2728,3121,3002
State,Gujarat,63,52,271,241,10146,8747,42767,37712,53247,46752
State,Haryana,29,55,171,194,5071,3845,33828,26325,39099,30419
State,Himachal Pradesh,34,33,119,111,1257,1174,7411,6735,8821,8053
State,Jammu & Kashmir,35,38,349,536,5092,6280,36343,39699,41819,46553
State,Jharkhand,0,0,54,77,2113,2422,11642,19652,13809,22151
State,Karnataka,14,11,254,242,5769,4930,52204,45451,58241,50634
State,Kerala,30,26,338,315,3558,3424,32410,31451,36336,35216
State,Madhya Pradesh,60,60,749,749,6743,6743,46573,46573,54125,54125
State,Maharashtra,70,66,810,589,23250,21046,111940,100835,136070,122536
State,Manipur,15,12,80,55,1152,954,4476,3747,5723,4768
State,Meghalaya,18,10,50,49,976,887,5259,4688,6303,5634
State,Mizoram,6,6,78,78,1013,1013,2519,2519,3616,3616
State,Nagaland,22,22,72,71,473,460,5092,4947,5659,5500
State,Orissa,34,29,304,271,5576,4721,23441,21463,29355,26484
State,Punjab,39,39,378,378,6127,6127,45598,45598,52142,52142
State,Rajasthan,60,47,706,605,9343,6668,48555,44560,58664,51880
State,Sikkim,16,16,71,71,242,390,1735,1445,2064,1922
State,Tamil Nadu,87,77,883,804,9709,7352,74052,62667,84731,70900
State,Tripura,19,14,159,111,1329,1491,8548,7765,10055,9381
State,Uttar Pradesh,154,144,1306,1010,13476,12743,118659,106242,133595,120139
State,Uttaranchal,10,13,116,54,666,721,8926,8355,9718,9143
State,West Bengal,97,90,468,395,19066,17147,49450,43340,69081,60972
State,Total (States),1107,1045,9286,8194,158666,141307,924843,844170,1093902,994716
Union Territory,A & N Islands,2,2,10,15,398,334,1874,1881,2284,2232
Union Territory,Chandigarh,1,1,15,16,473,445,3301,3182,3790,3644
Union Territory,D & N Haveli,0,0,2,2,17,13,222,208,241,223
Union Territory,Daman & Diu,1,1,4,4,23,23,216,216,244,244
Union Territory,Delhi,27,29,292,262,10424,9414,35221,34018,45964,43723
Union Territory,Lakshadweep,0,0,2,2,53,43,294,228,349,273
Union Territory,Pondicherry,2,2,21,19,284,220,1392,1279,1699,1520
Union Territory,Total (UTs),33,35,346,320,11672,10492,42520,41012,54571,51859
Total (All-India),Total (All-India),1140,1080,9632,8514,170338,151799,967363,885182,1148473,1046575
