Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping and Abduction - Total,Kidnapping and Abduction of women,Kidnapping and Abduction of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Total Theft,Auto Theft,Other Theft,Riots,Criminal Breach Of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband & Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
State,ANDHRA PRADESH,19,19.4,11.2,18.8,NA,18.8,12.9,13.2,12.5,15.4,0,24.3,48,53.6,44.9,55.4,13.8,13.7,16.8,19,11.3,35.3,21.6,20.8,50.9,15.5,0,38,45.5,37.7
State,ARUNACHAL PRADESH,72.7,0,NA,78.9,NA,78.9,46.2,50,0,0,0,61.5,66.7,62.4,NA,62.4,0,50,61.9,0,33.3,53.6,NA,48.5,NA,33.3,NA,33.3,59.8,56.9
State,ASSAM,40.9,24.1,14.7,31.7,NA,31.7,26.1,24.4,34,21.1,7.1,19.6,22.4,22.5,29.2,21.9,10.2,21.7,19.6,43.5,18.5,17.6,39.5,13.4,5.3,13.6,NA,16.6,15.6,18.4
State,BIHAR,16.4,10.7,13.1,17.3,NA,17.3,15.9,16.1,15.8,12.6,26.4,15.8,18.7,20.2,27.1,19.5,12.9,14.6,13,18.9,16.3,9.7,22,12.5,6.7,19.2,41.2,19.1,16.6,15.2
State,CHHATTISGARH,61.1,54.2,21.4,35.9,NA,35.9,32,31.1,34.5,30.8,72.7,36.5,33.9,34,30.4,35.3,37.2,39.4,35.3,28.6,39.8,45.9,41.9,35.6,34.8,42.9,NA,40.4,66,54.7
State,GOA,43.6,42.9,25,35,NA,35,25,0,100,75,NA,40,48.6,26.8,28.6,26.4,6.9,12.5,38.5,50,10,21.6,0,66.7,0,0,NA,9.7,29.5,27.8
State,GUJARAT,21.9,10.9,18.2,16.6,NA,16.6,13,13.9,8.5,8.7,0,13.5,13,21.4,22.8,20.6,13.1,5,7.2,33.3,9.6,6.4,15.4,16.7,20.7,7.6,NA,13.3,38.7,30.9
State,HARYANA,37.7,33,27,29.5,NA,29.5,30.7,34.3,23.6,46.3,34.8,34.9,47.8,43.4,47.3,39.4,19.8,28.1,19.8,53.8,21.4,18.4,21,31.4,81.1,11.3,NA,28.2,47.2,38.5
State,HIMACHAL PRADESH,31.1,24.4,0,16.6,NA,16.6,3.2,3.7,0,40,NA,20,13.3,8.3,2.3,9.7,6.5,14.9,10,0,2.5,7.1,25,11.4,18.8,5.6,NA,8.6,31,22.1
State,JAMMU & KASHMIR,10.3,3,14.3,4.3,NA,4.3,3.1,3.2,0,0,NA,2.6,13.4,4.4,3.9,4.4,1.9,2.2,7.6,0,11.9,10.9,50,3.5,29.7,0,NA,26.9,63,42.1
State,JHARKHAND,38.5,29,11,22.2,NA,22.2,13.8,13.8,13.7,16,12.8,23.6,20.6,25.7,27.4,25.6,29.5,17.9,22.8,18.2,33.3,21,82.6,82,38.9,10.8,0,14,25.5,24.7
State,KARNATAKA,20,9.8,17.7,23.5,NA,23.5,4.6,5,4,11.9,0,12.1,14.7,11,11.1,11,2.2,13.4,10.4,16.9,2.1,3.5,19.4,4.6,5.1,4.8,NA,3.1,51.8,30
State,KERALA,40.8,18.8,19.5,14.4,NA,14.4,7.1,7.7,6.1,15.4,20.4,29.9,35.8,28,40.3,25.3,10.8,14.5,13.3,68.8,23.5,19.2,29.4,17.4,26.6,7,NA,0,62,51.2
State,MADHYA PRADESH,46.8,41.9,45.4,25.9,NA,25.9,24.5,23.8,28.6,25,26.8,21.1,27.1,28.2,32.7,27.3,30.5,38.3,23.5,16.7,28.9,49.9,35.5,37.1,37.6,32.2,NA,48,63.8,50.5
State,MAHARASHTRA,26,18.4,11.5,15.2,NA,15.2,8.2,8.2,8.4,10.9,8.1,13.9,22.8,23.7,25.2,23.5,5.7,9.5,10.7,22.9,5,6.2,11.3,10.2,8.4,3.8,NA,7,10.5,11.7
State,MANIPUR,0,0,NA,0,NA,0,25,0,100,0,NA,50,25,42.9,NA,42.9,NA,0,0,33.3,NA,50,NA,NA,NA,NA,NA,NA,84.6,58.2
State,MEGHALAYA,9.1,36.4,50,66.7,NA,66.7,0,0,0,54.5,NA,28.1,34.6,50.4,33.3,51.3,0,0,9.1,NA,25,40.6,NA,33.3,NA,0,NA,75,56.6,45.3
State,MIZORAM,75,66.7,100,75,NA,75,100,NA,100,100,NA,66.7,85.7,75,0,75.8,75,66.7,66.7,66.7,83.3,100,100,62.5,NA,100,NA,100,52.6,76.5
State,NAGALAND,35.9,47.5,50,60,NA,60,73.7,47.4,86.8,81.8,NA,79.5,58.8,81.9,70.8,87.2,25,42.9,46.8,40,NA,63.8,NA,50,NA,NA,NA,33.3,44.6,55.3
State,ORISSA,32.2,15.2,13,20.4,NA,20.4,10.7,10.4,12.2,19.5,5.6,12.5,12.5,14.7,19.5,13.5,7.6,16.8,13.4,0,5.9,12.1,16.7,8,8.7,13,NA,23.1,15.3,14.9
State,PUNJAB,47.6,35.3,32.3,29.3,NA,29.3,18.6,19.5,16.7,8.3,26.2,30.2,58.3,49.6,57.8,44.4,NA,30.7,22.6,20.5,20,16.8,43.1,27.3,27.3,15,NA,30.8,42.6,34.7
State,RAJASTHAN,51.7,48.1,23.5,27.4,NA,27.4,30.6,29.6,33.3,35.2,45,41.1,52.6,53.1,58.4,51.7,62.4,35.3,42.6,33.3,42.4,61.4,45.4,60.3,60.7,39.4,100,52.5,62.3,58
State,SIKKIM,50,100,100,100,NA,100,NA,NA,NA,NA,NA,NA,73.7,83.3,NA,83.3,33.3,NA,50,NA,NA,29.9,NA,16.7,NA,100,NA,40,42.2,47.6
State,TAMIL NADU,40.1,26.4,12.9,23.1,NA,23.1,18,19.7,13.6,41.4,33.3,33.5,53.1,61.2,70.5,58.9,29.9,25.1,33,50,22.7,54,29.3,48.1,51.4,16,NA,56.5,71.7,62.2
State,TRIPURA,20.6,20.8,NA,28.9,NA,28.9,11,18.6,7.8,6.7,0,22.6,28.6,15,33.3,14.5,9.3,26.7,21.4,33.3,20,20.9,53.8,17.1,0,17.7,NA,30.2,10.9,17.4
State,UTTAR PRADESH,51,45.8,47,51,NA,51,52,52.9,49.6,44.5,43.5,57.9,57.3,62.5,61.2,62.9,54.4,54.8,54.8,65.1,49.7,58.1,52.2,60.8,74.4,57.1,NA,61.3,63,58.6
State,UTTARANCHAL,39.9,31.3,46.2,34.4,NA,34.4,45.9,50.6,28.6,15.4,60,51.3,67.6,70,67.5,71,50,28.1,56.7,100,16.7,76,32.6,51.9,58.8,52.8,NA,69,62.5,59.6
State,WEST BENGAL,16.9,14.4,19,13.5,NA,13.5,19.7,17.1,26.5,17.6,20.2,15.2,12.1,4.6,6.7,4.4,2.6,7.5,11.5,18.6,8.5,13.5,26,7.1,9.4,20.2,0,26.8,20.3,16.5
State,TOTAL (STATES),34.8,30.5,33,26.1,0,26.1,24.5,25.4,22.6,23,22.4,29.4,35.6,39.1,44.2,37.9,21.4,27.5,25.5,36,21.4,33.3,33.4,29.8,54.1,19.2,34.8,39.1,52.6,41.8
Union Territory,A & N ISLANDS,55.6,100,100,25,NA,25,NA,NA,NA,NA,NA,NA,100,20,0,25,0,50,100,NA,0,75,NA,0,0,NA,NA,NA,60,53.5
Union Territory,CHANDIGARH,53.3,0,NA,28.6,NA,28.6,7.1,0,100,100,NA,0,84.4,89.8,85.5,91.2,19,14.3,50,NA,0,15.2,0,58.3,50,0,NA,0,55.6,64
Union Territory,D & N HAVELI,14.3,0,NA,0,NA,0,0,0,0,0,NA,NA,25,7.7,0,11.1,0,0,NA,NA,NA,11.1,0,0,NA,0,NA,0,0,3.6
Union Territory,DAMAN & DIU,12.5,25,NA,0,NA,0,NA,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,NA,0,34.6,18.3
Union Territory,DELHI,26,34.9,21.8,15.8,NA,15.8,30.4,22.7,41.3,10.3,45.7,45.2,40.3,51.9,54.2,50.6,28.6,45.8,64.7,33.3,42.9,47.1,32,49.3,15.5,20.6,NA,35.6,71.4,62.1
Union Territory,LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,NA,33.3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,66.7,45.5
Union Territory,PONDICHERRY,25,5.3,100,75,NA,75,33.3,50,0,100,NA,25,80,91.7,88.2,94.8,85.8,0,61.5,NA,0,62.4,NA,55.6,58.3,0,NA,99.5,97.5,87.8
Union Territory,TOTAL (UTs),26.8,32.6,23.6,16.2,0,16.2,26.5,18.6,40,12.7,45.7,44.6,54.5,62.6,63.7,62,55.8,36.1,63.9,33.3,21.4,50.2,30.3,48.4,23.1,19.7,0,46.2,72.2,63.7
TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),34.6,30.5,32.6,25.5,0,25.5,24.5,25.3,22.8,22.8,24.2,30.1,35.8,39.9,45.4,38.5,21.6,27.6,27.4,36,21.4,33.5,33.4,30,53.5,19.2,34.8,39.3,53.5,42.4
