Category,States/ UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp.Sub.Act,I.T.P. Act,Railways Act,Registration of Foreigners Act,P.C.R. Act - Total,P.C.R. Act for SCs,P.C.R. Act for STs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity & Art Treassure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC / ST (P) of Atrocities Act - Total,SC / ST (P) of Atrocities Act for SCs,SC / ST (P) of Atrocities Act for STs,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
State,ANDHRA PRADESH,25.9,11.8,98.5,66.3,56.6,13.4,54.9,36.7,0,10.1,10.4,0,5.9,9.5,NA,0,13.8,0,97.4,34.8,NA,19.7,21.6,9.1,15,99.4,98.5
State,ARUNACHAL PRADESH,33.3,100,NA,NA,NA,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,38.5
State,ASSAM,13.3,59.8,32.1,52.9,0,26.7,5.6,0,0,NA,NA,NA,95,20,4,NA,26.7,NA,NA,22.2,NA,NA,NA,NA,36.4,17.5,23.7
State,BIHAR,33.1,55.9,50.3,45.1,NA,17.4,15.4,78,NA,11.1,11.1,NA,NA,22.9,NA,0,20.8,NA,NA,0,NA,32.8,32.8,33.3,41.2,23.7,35.2
State,CHHATTISGARH,36.9,63,98.7,85.8,NA,97.9,66.7,NA,NA,NA,NA,NA,NA,35.9,NA,NA,62.5,100,NA,61.8,NA,26.1,22.9,29.9,55.6,95.9,94.9
State,GOA,20,81.8,17.5,NA,NA,NA,100,NA,100,NA,NA,NA,100,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,99.2,79.6
State,GUJARAT,19,34.6,26.3,NA,21.9,32.1,0,51.8,100,10.5,10.5,NA,55.6,0,NA,NA,NA,70,0,5.2,NA,2.5,3.9,0,0,63.4,32.4
State,HARYANA,48.2,49.4,80.5,48.5,NA,25,26.3,65.4,40,NA,NA,NA,NA,37.2,NA,NA,NA,0,NA,48.1,NA,20,20,NA,NA,36,56.2
State,HIMACHAL PRADESH,10.5,29.5,13.5,11.3,NA,0,NA,NA,100,0,0,NA,NA,14.3,NA,NA,0,0,NA,10,NA,0,0,0,6.9,13.6,12.4
State,JAMMU & KASHMIR,0.9,11.8,92.2,54.8,NA,4.2,NA,NA,77.8,0,0,NA,100,0.7,0,NA,0,NA,NA,33.3,NA,NA,NA,NA,0,26,21.3
State,JHARKHAND,41.9,31.4,44.2,15.7,0,20.6,75,NA,NA,60,0,100,7.9,11.4,25,0,20.4,NA,NA,0,NA,14.3,17.6,9.1,26.7,5,20.4
State,KARNATAKA,1.1,10.6,80.6,50.5,0,9.9,85.5,10,77.8,0,0,0,NA,5.5,NA,0,5.6,NA,NA,0.5,NA,3.8,4,2.7,4.4,39.4,58.7
State,KERALA,17,49.2,94.4,NA,57.2,27.3,50,0,0,0,0,NA,9.8,15.4,NA,NA,0,0,36.6,25.5,NA,17.1,18.5,13.3,NA,87.2,80.9
State,MADHYA PRADESH,40.8,54.5,94.5,92.6,99.7,37.3,9.1,99.2,0,56.8,58.3,0,NA,29.3,NA,NA,38.3,83.3,NA,39,NA,36.9,34.4,40.3,36.9,97.2,93.2
State,MAHARASHTRA,11.5,64.1,10.3,NA,5.9,7.7,9.4,21.4,100,0,0,NA,75,3.9,NA,0,7.1,15.8,4.2,6.8,NA,4.1,5.3,0,25,40.3,13.1
State,MANIPUR,100,47.6,100,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,93.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66
State,MEGHALAYA,36,0,100,100,NA,0,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,72.7,66.7
State,MIZORAM,60,72.2,100,NA,96.8,60,100,NA,72,NA,NA,NA,64.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.6,81.8
State,NAGALAND,94.3,89.9,NA,84.4,58.7,100,0,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,71
State,ORISSA,18,22.9,69.8,20.1,NA,13.3,12.5,NA,NA,50,50,NA,NA,6,NA,NA,14.5,NA,NA,0,NA,7.7,7.5,8.3,NA,25.5,22.1
State,PUNJAB,66.2,60.2,86.5,77.1,25,33.3,50,60.8,100,NA,NA,NA,93.3,48,NA,NA,NA,0,NA,50,NA,25,25,NA,NA,66.8,76
State,RAJASTHAN,74.6,44.4,97.8,89.8,NA,75.8,78.7,92.6,100,0,0,NA,75,43.3,NA,NA,0,40,59.1,58.6,NA,33.7,33.9,33,85.9,83.3,87.2
State,SIKKIM,50,0,100,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,97.6
State,TAMIL NADU,37.3,71.3,98.8,100,62.4,83.9,95.4,71.4,100,5.3,5.3,NA,63.6,95.2,NA,NA,46.3,14.3,32.1,74.5,NA,18.2,18.3,0,NA,87.2,80.6
State,TRIPURA,2.8,3.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
State,UTTAR PRADESH,72.3,70.3,86.2,86.6,NA,62.4,66.7,94.8,100,53.2,53.2,NA,100,50.3,NA,100,49.4,50,20,76.2,NA,45.1,44.9,72.7,77.6,88.4,87.4
State,UTTARANCHAL,86.5,82.1,81.1,96.7,NA,85.7,100,62.5,0,NA,NA,NA,NA,100,NA,NA,100,NA,NA,53.1,NA,56.5,51.4,72.7,86.8,99.9,99.5
State,WEST BENGAL,27.7,9.9,43.5,73.2,0,37.6,66.7,11.1,92.9,NA,NA,NA,100,15,NA,77.8,35.3,NA,NA,49.6,NA,100,100,NA,NA,79.5,64.1
State,TOTAL (STATES),61.1,60.8,85.1,77,36.3,51.8,83.2,91.5,90.2,21,20.9,25,52.3,20.3,6.2,32.3,25.6,36.9,94.3,48.2,0,25.8,26.8,20.4,72.3,92,84.6
Union Territory,A & N ISLANDS,NA,0,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,99.9
Union Territory,CHANDIGARH,75,84.3,99.6,97.3,NA,NA,NA,NA,50,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,89.7,95.1
Union Territory,D & N HAVELI,0,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,16.7
Union Territory,DAMAN & DIU,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
Union Territory,DELHI,53.9,64.2,63,42.9,NA,61.8,53.3,NA,25,NA,NA,NA,38.1,53.8,NA,NA,20.8,NA,NA,36.4,NA,20,20,NA,NA,52.5,52
Union Territory,LAKSHADWEEP,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Union Territory,PONDICHERRY,67.9,NA,100,NA,NA,NA,85.7,NA,100,11.1,11.1,NA,100,100,NA,NA,25,NA,NA,0,NA,NA,NA,NA,NA,99.6,95.4
Union Territory,TOTAL (UTs),54.1,65.8,72.4,76.7,50,61.8,54.5,0,42.9,11.1,11.1,0,40.9,64.8,0,0,21.9,0,0,33.1,0,20,20,0,0,73.4,67.8
TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),60.6,60.9,85,77,36.3,51.9,82.2,91.5,89.8,20.8,20.7,25,51.7,21.8,6.2,32.3,25.5,36.9,94.3,47.6,0,25.8,26.8,20.4,72.3,91.9,84.5
