Category,States/UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Trains - Number,Railways Running Trains - Value,Others in Railways - Number,Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
City,Faridabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,10,31.6,12,31.7
City,Hyderabad,17,9.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5,104,55.6,125,65.6
City,Indore,40,11.7,5,10.7,0,0,0,0,0,0,0,0,0,0,8,1.3,27,6.6,80,30.3
City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,20.1,59,20.1
City,Jaipur,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,48.7,30,49
City,Jamshedpur,6,0.8,8,2.6,0,0,0,0,0,0,0,0,0,0,5,2.7,22,3.5,41,9.6
City,Kanpur,6,9.3,29,59.3,0,0,0,0,0,0,0,0,0,0,1,0.5,9,1.6,45,70.7
City,Kochi,12,1,2,0,0,0,0,0,0,0,0,0,0,0,10,3.6,16,4,40,8.7
City,Kolkata,5,3,0,0,0,0,0,0,0,0,0,0,1,0,6,5.7,43,34.9,55,43.6
City,Lucknow,11,1.5,11,5.2,0,0,0,0,0,0,0,0,0,0,0,0,36,30.3,58,36.9
City,Ludhiana,3,64.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.3,5,64.7
City,Madurai,3,0.8,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,19,9.2,24,10.2
City,Meerut,15,13,24,27.2,0,0,0,0,0,0,0,0,0,0,0,0,5,9.2,44,49.3
City,Mumbai,31,25.7,16,38.9,0,0,0,0,0,0,0,0,0,0,30,100.6,285,320.3,362,485.6
City,Nagpur,12,5,0,0,0,0,0,0,0,0,0,0,0,0,17,1.2,155,39.3,184,45.6
City,Nasik,5,1.8,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5,10,5.2,19,7.4
City,Patna,6,1.1,202,52.8,0,0,0,0,0,0,0,0,2,6.9,11,0.4,316,103.2,537,164.4
City,Pune,7,1.8,7,2.9,0,0,0,0,0,0,0,0,2,3.8,28,56.9,146,59.8,190,125.3
City,Rajkot,7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0.2,20,3.3,31,3.8
City,Surat,25,15.4,0,0,1,0.1,0,0,0,0,0,0,0,0,1,0,29,37.5,56,53
City,Vadodara,4,0.4,3,5.3,0,0,0,0,0,0,0,0,0,0,2,0,11,5.7,20,11.5
City,Varanasi,0,0,7,3.7,0,0,0,0,0,0,0,0,1,0.7,0,0,9,1.2,17,5.6
City,Vijayawada,18,6.1,5,1.4,0,0,0,0,0,0,0,0,0,0,0,0,8,2.4,31,10
City,Vishakhapatnam,2,0.7,1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,16,1.2,19,3.9
