Category,States/UTs/Cities,Incest (Rape)--No. of Cases Reported,Incest (Rape)- - No. of Victims Upto 10 Years,Incest (Rape)- No. of Victims 10 - 14 Years,Incest (Rape)- No. of Victims 14 - 18 Years,Incest (Rape)- No. of Victims 18 - 30 Years,Incest (Rape)- No. of Victims 30 - 50 Years,Incest (Rape)- No. of Victims Above 50 Years,Incest (Rape)- No. of Victims - Total,Other (Rape)- No. of Cases Reported,Other (Rape)- No. of Victims Upto 10 Years,Other (Rape)- No. of Victims 10 - 14 Years,Other (Rape)- No. of Victims 14 - 18 Years,Other (Rape)- No. of Victims 18 - 30 Years,Other (Rape)- No. of Victims 30 - 50 Years,Other (Rape)- No. of Victims Above 50 Years,Other (Rape)- No. of Victims - Total,Total Rape - - No. of Cases Reported,Total Rape - No. of Victims Upto 10 Years,Total Rape - No. of Victims 10 - 14 Years,Total Rape - No. of Victims 14 - 18 Years,Total Rape - No. of Victims 18 - 30 Years,Total Rape - No. of Victims 30 - 50 Years,Total Rape - No. of Victims Above 50 Years,Total Rape - No. of Victims - Grand Total
State,Andhra Pradesh,18,2,4,0,6,6,0,18,917,30,102,177,484,118,6,917,935,32,106,177,490,124,6,935
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,35,3,5,2,25,0,0,35,35,3,5,2,25,0,0,35
State,Assam,7,0,1,0,3,2,1,7,1231,19,33,37,844,284,14,1231,1238,19,34,37,847,286,15,1238
State,Bihar,10,0,0,0,8,2,0,10,1137,0,6,2,864,265,0,1137,1147,0,6,2,872,267,0,1147
State,Chhattisgarh,110,1,10,33,39,27,0,110,880,14,102,222,353,173,16,880,990,15,112,255,392,200,16,990
State,Goa,1,1,0,0,0,0,0,1,19,3,4,7,4,1,0,19,20,4,4,7,4,1,0,20
State,Gujarat,19,2,4,5,8,0,0,19,305,16,24,39,210,16,0,305,324,18,28,44,218,16,0,324
State,Haryana,15,0,0,3,10,2,0,15,446,0,34,94,171,141,6,446,461,0,34,97,181,143,6,461
State,Himachal Pradesh,5,0,1,2,2,0,0,5,136,11,16,28,61,18,2,136,141,11,17,30,63,18,2,141
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,201,1,0,3,153,42,2,201,201,1,0,3,153,42,2,201
State,Jharkhand,120,2,4,8,65,41,0,120,633,4,3,4,319,302,1,633,753,6,7,12,384,343,1,753
State,Karnataka,5,0,0,0,3,2,0,5,338,14,13,21,231,59,0,338,343,14,13,21,234,61,0,343
State,Kerala,12,1,1,4,5,0,1,12,466,29,30,82,231,90,7,469,478,30,31,86,236,90,8,481
State,Madhya Pradesh,141,9,18,43,57,13,1,141,2780,93,276,431,1339,616,25,2780,2921,102,294,474,1396,629,26,2921
State,Maharashtra,38,3,5,13,14,3,0,38,1507,82,127,408,721,171,2,1511,1545,85,132,421,735,174,2,1549
State,Manipur,1,0,0,0,0,1,0,1,24,3,1,0,14,6,0,24,25,3,1,0,14,7,0,25
State,Meghalaya,4,1,0,3,0,0,0,4,59,8,10,29,8,4,0,59,63,9,10,32,8,4,0,63
State,Mizoram,0,0,0,0,0,0,0,0,37,0,0,30,7,0,0,37,37,0,0,30,7,0,0,37
State,Nagaland,0,0,0,0,0,0,0,0,17,3,0,0,12,2,0,17,17,3,0,0,12,2,0,17
State,Orissa,7,0,0,0,6,1,0,7,792,18,0,10,630,131,3,792,799,18,0,10,636,132,3,799
State,Punjab,50,2,1,11,25,11,0,50,348,7,18,12,214,97,0,348,398,9,19,23,239,108,0,398
State,Rajasthan,33,0,5,10,11,7,0,33,960,21,39,171,504,209,16,960,993,21,44,181,515,216,16,993
