Category,States/ UTs,Number of Police Stations (Sanctioned Strength) - Below 10,Number of Police Stations (Sanctioned Strength) - 11 - 20,Number of Police Stations (Sanctioned Strength) - 21 - 30,Number of Police Stations (Sanctioned Strength) - 31 - 40,Number of Police Stations (Sanctioned Strength) - 41 - 50,Number of Police Stations (Sanctioned Strength) - 51 And Above
State,Andhra Pradesh,68,829,263,167,81,148
State,Arunachal Pradesh,0,58,11,0,0,0
State,Assam,39,76,42,41,34,0
State,Bihar,289,341,76,19,10,22
State,Chhattisgarh,15,124,83,57,35,24
State,Goa,0,0,0,2,3,20
State,Gujarat,0,10,57,85,92,224
State,Haryana,42,58,46,20,43,0
State,Himachal Pradesh,2,33,37,9,4,2
State,Jammu & Kashmir,0,5,10,31,47,79
State,Jharkhand,81,143,50,24,9,22
State,Karnataka,0,10,147,239,169,240
State,Kerala,2,17,86,205,70,64
State,Madhya Pradesh,45,140,220,200,140,185
State,Maharashtra,2,87,147,134,124,448
State,Manipur,0,43,7,1,2,5
State,Meghalaya,1,14,2,3,2,5
State,Mizoram,1,16,12,2,1,2
State,Nagaland,0,3,3,10,9,18
State,Orissa,120,254,43,13,20,9
State,Punjab,5,14,19,42,37,142
State,Rajasthan,0,307,209,116,39,40
State,Sikkim,0,0,0,0,25,2
State,Tamil Nadu,58,353,325,188,123,175
State,Tripura,0,3,27,15,6,4
State,Uttar Pradesh,27,248,431,280,184,276
State,Uttaranchal,4,17,36,16,9,24
State,West Bengal,14,145,125,71,32,76
State,Total (States),815,3348,2514,1990,1350,2256
Union Territory,A & N Islands,9,11,0,0,0,1
Union Territory,Chandigarh,0,0,0,0,0,11
Union Territory,D & N Haveli,0,0,1,0,0,1
Union Territory,Daman & Diu,0,0,0,0,0,2
Union Territory,Delhi,0,0,1,0,1,127
Union Territory,Lakshadweep,0,1,4,3,0,1
Union Territory,Pondicherry,11,12,12,3,1,1
Union Territory,Total (UTs),20,24,18,6,2,144
Total (All-India),Total (All-India),835,3372,2532,1996,1352,2400
