Category,States/ UTs/ Cities,Arms Act - Incidence,Arms Act - Rate of Crime,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate of Crime,Gambling Act - Incidence,Gambling Act - Rate of Crime,Excise Act - Incidence,Excise Act - Rate of Crime,Prohibition Act - Incidence,Prohibition Act - Rate of Crime,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate of Crime,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate of Crime,Railways Act - Incidence,Railways Act - Rate of Crime,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate of Crime,Protection of Civil Rights Act (Total) - Incidence,Protection of Civil Rights Act (Total) - Rate of Crime,PCR Act for SCs - Incidence,PCR Act for SCs - Rate of Crime,PCR Act for STs - Incidence,PCR Act for STs - Rate of Crime,Indian Passport Act - Incidence,Indian Passport Act - Rate of Crime,Essential Commodities Act - Incidence,Essential Commodities Act - Rate of Crime,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate of Crime,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate of Crime,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate of Crime,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate of Crime,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate of Crime,Copyright Act - Incidence,Copyright Act - Rate of Crime,Sati Prevention Act - Incidence,Sati Prevention Act - Rate of Crime,SC/ST (Prev.) of Atrocities) Act (Total) - Incidence,SC/ST (Prev.) of Atrocities) Act (Total) - Rate of Crime,SC/ST (Prev) of Attrocities Act for SCs - Incidence,SC/ST (Prev) of Attrocities Act for SCs - Rate of Crime,SC/ST (Prev) of Attrocities Act for STs - Incidence,SC/ST (Prev) of Attrocities Act for STs - Rate of Crime,Forest Act - Incidence,Forest Act - Rate of Crime,Other SLL Crimes - Incidence,Other SLL Crimes - Rate of Crime,Total Cognizable Crimes under SLL - Incidence,Total Cognizable Crimes under SLL - Rate of Crime
State,Maharashtra,1244,1.2,1365,1.3,17647,17.1,1,0,93959,91.1,65,0.1,222,0.2,23,0,70,0.1,32,0,32,0,0,0,58,0.1,2386,2.3,0,0,1,0,23,0,22,0,8,0,1033,1,0,0,310,0.3,258,0.3,52,0.1,65,0.1,23759,23,142293,137.9
State,Manipur,6,0.2,65,2.6,1,0,0,0,0,0,11,0.4,1,0,0,0,9,0.4,0,0,0,0,0,0,0,0,14,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,17,538,21.2
State,Meghalaya,42,1.7,24,1,15,0.6,21,0.9,0,0,4,0.2,1,0,0,0,14,0.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0.2,0,0,0,0,0,0,0,0,0,0,9,0.4,136,5.5
State,Mizoram,18,1.9,89,9.4,1,0.1,0,0,262,27.7,8,0.8,1,0.1,0,0,72,7.6,0,0,0,0,0,0,45,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,75.8,1214,128.2
State,Nagaland,19,0.9,143,6.8,2,0.1,86,4.1,35,1.7,4,0.2,4,0.2,0,0,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,5.5,414,19.6
State,Orissa,142,0.4,97,0.3,541,1.4,10856,28,5,0,65,0.2,29,0.1,1,0,0,0,0,0,0,0,0,0,0,0,199,0.5,0,0,0,0,446,1.2,0,0,1,0,14,0,0,0,843,2.2,639,1.6,204,0.5,20,0.1,85,0.2,13344,34.4
State,Punjab,804,3.1,4464,17.3,4861,18.9,15110,58.6,10,0,24,0.1,58,0.2,15,0.1,6,0,1,0,1,0,0,0,76,0.3,148,0.6,0,0,0,0,5,0,11,0,0,0,314,1.2,0,0,72,0.3,72,0.3,0,0,0,0,613,2.4,26592,103.2
State,Rajasthan,2869,4.7,973,1.6,10742,17.4,8896,14.4,0,0,206,0.3,115,0.2,5,0,8,0,1,0,1,0,0,0,8,0,325,0.5,0,0,1,0,1,0,3,0,109,0.2,541,0.9,1,0,506,0.8,415,0.7,91,0.1,1508,2.4,4254,6.9,31072,50.4
State,Sikkim,3,0.5,6,1,31,5.4,169,29.4,0,0,4,0.7,0,0,0,0,7,1.2,0,0,0,0,0,0,0,0,8,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,24.5,369,64.2
State,Tamil Nadu,184,0.3,4390,6.8,33804,52.1,2,0,95270,146.9,431,0.7,2777,4.3,26,0,23,0,12,0,12,0,0,0,324,0.5,66,0.1,0,0,2,0,193,0.3,4,0,30,0,804,1.2,0,0,839,1.3,829,1.3,10,0,1,0,394539,608.3,533721,822.9
State,Tripura,38,1.1,81,2.4,2,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.1,1,0,1,0,0,0,4,0.1,213,6.3
State,Uttar Pradesh,36496,20.1,10283,5.7,8107,4.5,34815,19.2,0,0,978,0.5,31,0,42,0,6,0,28,0,28,0,0,0,23,0,922,0.5,0,0,2,0,586,0.3,4,0,0,0,288,0.2,0,0,1623,0.9,1623,0.9,0,0,1768,1,914652,504,1010654,556.9
State,Uttaranchal,1254,13.8,367,4,555,6.1,2918,32,0,0,8,0.1,2,0,30,0.3,2,0,0,0,0,0,0,0,0,0,22,0.2,0,0,0,0,2,0,0,0,0,0,32,0.4,0,0,50,0.5,50,0.5,0,0,66,0.7,121645,1334,126953,1392.2
State,West Bengal,1253,1.5,485,0.6,371,0.4,562,0.7,15,0,94,0.1,74,0.1,5,0,1604,1.9,0,0,0,0,0,0,48,0.1,170,0.2,3,0,0,0,18,0,2,0,1,0,342,0.4,0,0,8,0,5,0,3,0,1,0,4179,4.9,9235,10.9
State,Total (states),65982,6.1,27838,2.6,187671,17.3,129250,11.9,326156,30.1,4189,0.4,5742,0.5,223,0,1943,0.2,440,0,278,0,162,0,1086,0.1,7125,0.7,54,0,68,0,3178,0.3,122,0,2916,0.3,6604,0.6,1,0,9757,0.9,8475,0.8,1282,0.1,4160,0.4,2383484,219.8,3167989,292.2
