Category,States/ UTs,"No. of cases registered (U/S 224, 225b)",No. of persons escaped in above cases,Persons escaped from lockup,Persons escaped outside the lockup,Escapees from lock up rearrested,Other escapees rearrested,No. of cases in which final report submitted,No. of persons charged sheeted for offence of escape,Disposal by courts - No. tried - Cases involved,Disposal by courts - No. tried - No. of persons,Disposal by courts - No. convicted - Cases involved,Disposal by courts - No. convicted - No. of persons,Disposal by courts - No. acquitted - Cases involved,Disposal by courts - No. acquitted - No. of persons,Disposal by courts - No. pending for trial - Cases involved,Disposal by courts - No. pending for trial - No. of persons,No. of persons awarded imprisonment on charges of escape - Upto 3 years,No. of persons awarded imprisonment on charges of escape - More than 3 years
State,Andhra Pradesh,89,101,4,97,13,46,8,63,6,11,6,11,0,0,51,52,9,3
State,Arunachal Pradesh,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,70,88,10,78,17,1,16,12,49,34,19,12,30,22,15,16,6,0
State,Bihar,96,118,23,95,15,17,15,23,6,12,1,4,5,8,9,9,0,0
State,Chhattisgarh,46,42,7,35,9,28,8,42,12,12,3,3,9,9,17,31,4,0
State,Goa,3,3,1,2,1,2,0,3,2,2,2,2,0,0,1,1,2,0
State,Gujarat,71,76,5,71,10,36,16,50,0,0,0,0,0,0,44,73,0,0
State,Haryana,41,59,3,56,7,35,14,44,13,25,6,9,7,16,73,175,5,1
State,Himachal Pradesh,15,15,1,14,9,4,10,10,4,4,2,2,2,2,2,2,2,0
State,Jammu & Kashmir,12,13,7,6,4,6,6,7,0,0,0,0,0,0,7,7,0,0
State,Jharkhand,17,12,5,7,1747,7,188,1252,301,907,66,236,235,671,1853,3238,2,3
State,Karnataka,29,31,3,28,1,14,6,13,3,3,3,3,0,0,10,11,2,1
State,Kerala,51,53,2,51,3,34,7,32,4,4,4,4,0,0,28,29,2,2
State,Madhya Pradesh,147,177,33,144,33,97,32,122,15,15,3,3,12,12,107,107,8,0
State,Maharashtra,140,158,23,135,17,88,102,101,8,9,5,6,3,3,174,210,5,1
State,Manipur,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,7,7,0,7,2,1,2,1,0,0,0,0,0,0,1,1,0,0
State,Mizoram,1,5,5,0,5,0,0,0,0,0,0,0,0,0,1,5,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,47,47,15,32,8,17,0,27,0,0,0,0,0,0,25,25,0,0
State,Punjab,82,91,11,80,8,36,34,47,1,4,1,4,0,0,36,42,6,0
State,Rajasthan,89,104,19,85,17,72,5,89,1,1,1,1,0,0,75,88,0,0
State,Sikkim,8,8,0,8,6,6,0,0,0,0,0,0,0,0,0,0,8,6
State,Tamil Nadu,57,73,18,55,12,50,43,46,18,19,18,19,0,0,23,25,19,0
State,Tripura,8,9,2,7,1,0,0,9,0,0,0,0,0,0,8,9,0,0
State,Uttar Pradesh,77,86,6,80,4,54,0,58,2,2,2,2,0,0,56,56,2,0
State,Uttaranchal,5,11,6,5,4,4,0,8,0,0,0,0,0,0,3,8,0,0
State,West Bengal,59,67,6,61,5,29,0,35,1,1,1,1,0,0,30,30,1,0
State,Total (States),1272,1461,219,1242,1958,685,512,2094,446,1065,143,322,303,743,2649,4250,83,17
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,5,5,0,5,0,5,4,4,0,0,0,0,0,0,4,4,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,18,29,14,15,13,12,14,14,0,0,0,0,0,0,14,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
Union Territory,Total (UTs),24,35,14,21,13,18,18,19,0,0,0,0,0,0,19,5,0,0
Total (All-India),Total (All-India),1296,1496,233,1263,1971,703,530,2113,446,1065,143,322,303,743,2668,4255,83,17
