Category,States/UTs,Estimated Mid Year Population (In Lakhs)#,Murder - Incidence,Murder - Rate,Murder - Percentage Share,Rape - Incidence,Rape - Rate,Rape - Percentage Share,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Share,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Share,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Share,Arson - Incidence,Arson - Rate,Arson - Percentage Share,Hurt - Incidence,Hurt - Rate,Hurt - Percentage Share,Prot. of Civil Rights Act - Incidence,Prot. of Civil Rights Act - Rate,Prot. of Civil Rights Act - Percentage Share,SC/ST Prev.of Attrocities Act - Incidence,SC/ST Prev.of Attrocities Act - Rate,SC/ST Prev.of Attrocities Act - Percentage Share,Other Offences - Incidence,Other Offences - Rate,Other Offences - Percentage Share,Total - Incidence,Total - Rate,Total - Percentage Share
State,Andhra Pradesh,798.1,37,0,5.5,74,0.1,6.3,21,0,8.1,0,0,0,0,0,0,9,0,4.3,459,0.6,11.9,61,0.1,21,1244,1.6,14.6,1212,1.5,10.9,3117,3.9,11.9
State,Arunachal Pradesh,11.6,1,0.1,0.1,0,0,0,0,0,0,0,0,0,1,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0
State,Assam,286.9,21,0.1,3.1,14,0,1.2,25,0.1,9.7,3,0,11.5,8,0,10,7,0,3.3,111,0.4,2.9,0,0,0,0,0,0,93,0.3,0.8,282,1,1.1
State,Bihar,898.2,12,0,1.8,16,0,1.4,5,0,1.9,4,0,15.4,6,0,7.5,19,0,9,319,0.4,8.3,95,0.1,32.6,1141,1.3,13.4,207,0.2,1.9,1824,2,7
State,Chhattisgarh,225.8,6,0,0.9,59,0.3,5,3,0,1.2,0,0,0,0,0,0,0,0,0,71,0.3,1.8,1,0,0.3,115,0.5,1.4,199,0.9,1.8,454,2,1.7
State,Goa,15.1,0,0,0,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,2,0.1,0
State,Gujarat,542.7,10,0,1.5,20,0,1.7,18,0,7,7,0,26.9,17,0,21.3,8,0,3.8,270,0.5,7,6,0,2.1,434,0.8,5.1,517,1,4.7,1307,2.4,5
State,Haryana,227.9,10,0,1.5,35,0.2,3,15,0.1,5.8,0,0,0,1,0,1.3,5,0,2.4,52,0.2,1.4,0,0,0,73,0.3,0.9,97,0.4,0.9,288,1.3,1.1
State,Himachal Pradesh,63.8,0,0,0,9,0.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,18,0.3,0.2,24,0.4,0.2,55,0.9,0.2
State,Jammu & Kashmir,113.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3,0,0,0,0,0,0,1,0,0
State,Jharkhand,288.9,13,0,1.9,8,0,0.7,1,0,0.4,0,0,0,0,0,0,8,0,3.8,71,0.2,1.8,8,0,2.7,64,0.2,0.8,104,0.4,0.9,277,1,1.1
State,Karnataka,557,18,0,2.7,30,0.1,2.6,8,0,3.1,2,0,7.7,2,0,2.5,4,0,1.9,86,0.2,2.2,28,0.1,9.6,1108,2,13,494,0.9,4.5,1780,3.2,6.8
State,Kerala,333.4,4,0,0.6,44,0.1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,129,0.4,3.4,0,0,0,41,0.1,0.5,127,0.4,1.1,345,1,1.3
State,Madhya Pradesh,659.5,96,0.1,14.3,340,0.5,29,19,0,7.4,0,0,0,9,0,11.3,38,0.1,18.1,950,1.4,24.7,1,0,0.3,344,0.5,4,2559,3.9,23.1,4356,6.6,16.7
State,Maharashtra,1031.6,15,0,2.2,83,0.1,7.1,8,0,3.1,5,0,19.2,6,0,7.5,7,0,3.3,52,0.1,1.4,32,0,11,258,0.3,3,399,0.4,3.6,865,0.8,3.3
State,Manipur,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,387.5,9,0,1.3,33,0.1,2.8,6,0,2.3,0,0,0,4,0,5,5,0,2.4,259,0.7,6.7,0,0,0,639,1.6,7.5,484,1.2,4.4,1439,3.7,5.5
State,Punjab,257.6,3,0,0.4,9,0,0.8,1,0,0.4,0,0,0,0,0,0,0,0,0,7,0,0.2,1,0,0.3,72,0.3,0.8,47,0.2,0.4,140,0.5,0.5
State,Rajasthan,616.7,56,0.1,8.4,136,0.2,11.6,18,0,7,0,0,0,4,0,5,32,0.1,15.2,399,0.6,10.4,1,0,0.3,415,0.7,4.9,2734,4.4,24.7,3795,6.2,14.5
State,Sikkim,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0.1,0,0,0,0,0,0,4,0.7,0,7,1.2,0
State,Tamil Nadu,648.6,30,0,4.5,19,0,1.6,2,0,0.8,0,0,0,0,0,0,11,0,5.2,142,0.2,3.7,12,0,4.1,829,1.3,9.8,161,0.2,1.5,1206,1.9,4.6
State,Tripura,33.9,0,0,0,5,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,14,0.4,0.4,0,0,0,1,0,0,18,0.5,0.2,38,1.1,0.1
