Event,No. of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
Riot Control,92,44,198,4,334
Anti-dacoity Operations,240,78,105,1,27
Anti- Extremist And Terrorist Operation,274,166,32,36,90
Against Others,171,67,38,4,40
Total,777,355,373,45,491
