Category,States/UTs,Number of Victims upto 10 Years - Male,Number of Victims upto 10 Years - Female,Number of Victims upto 10 Years - Total,Number of Victims 10-15 Years - Male,Number of Victims 10-15 Years - Female,Number of Victims 10-15 Years - Total,Number of Victims 15-18 Years - Male,Number of Victims 15-18 Years - Female,Number of Victims 15-18 Years - Total,Number of Victims 18-30 Years - Male,Number of Victims 18-30 Years - Female,Number of Victims 18-30 Years - Total,Number of Victims 30-50 Years - Male,Number of Victims 30-50 Years - Female,Number of Victims 30-50 Years - Total,Number of Victims above 50 Years - Male,Number of Victims above 50 Years - Female,Number of Victims above 50 Years - Total,Number of Victims Total of All Age Groups - Male,Number of Victims Total of All Age Groups - Female,Number of Victims Total of All Age Groups - Total
State,Andhra Pradesh,1,0,1,2,0,2,2,0,2,41,6,47,42,8,50,6,3,9,94,17,111
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5
State,Assam,0,0,0,0,0,0,0,0,0,69,0,69,46,0,46,2,0,2,117,0,117
State,Bihar,0,0,0,1,0,1,6,3,9,130,15,145,85,9,94,8,2,10,230,29,259
State,Chhattisgarh,2,0,2,1,0,1,6,0,6,15,3,18,25,2,27,4,1,5,53,6,59
State,Goa,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,1,0,1,3,2,5
State,Gujarat,1,0,1,0,1,1,0,0,0,13,3,16,16,2,18,1,0,1,31,6,37
State,Haryana,4,0,4,0,0,0,2,0,2,20,4,24,23,2,25,2,2,4,51,8,59
State,Himachal Pradesh,0,0,0,0,0,0,1,0,1,9,1,10,8,1,9,1,1,2,19,3,22
State,Jammu & Kashmir,1,0,1,0,0,0,0,0,0,16,2,18,14,3,17,1,0,1,32,5,37
State,Jharkhand,0,0,0,0,0,0,6,2,8,35,9,44,38,5,43,0,0,0,79,16,95
State,Karnataka,0,0,0,1,0,1,3,0,3,32,5,37,33,4,37,3,1,4,72,10,82
State,Kerala,2,4,6,0,1,1,3,2,5,22,8,30,35,9,44,16,8,24,78,32,110
State,Madhya Pradesh,5,1,6,12,3,15,12,3,15,75,21,96,68,7,75,15,4,19,187,39,226
State,Maharashtra,7,3,10,2,0,2,3,1,4,29,13,42,38,6,44,8,4,12,87,27,114
State,Manipur,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,4,0,4
State,Meghalaya,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2
State,Mizoram,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5
State,Nagaland,0,1,1,0,0,0,0,0,0,2,0,2,5,0,5,0,0,0,7,1,8
State,Orissa,4,0,4,2,0,2,1,0,1,21,3,24,17,5,22,1,1,2,46,9,55
State,Punjab,9,6,15,7,1,8,19,8,27,86,8,94,97,14,111,35,5,40,253,42,295
State,Rajasthan,1,1,2,1,0,1,4,0,4,18,2,20,23,3,26,6,0,6,53,6,59
State,Sikkim,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,2
State,Tamil Nadu,0,0,0,1,0,1,1,0,1,14,0,14,14,2,16,2,0,2,32,2,34
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
State,Uttar Pradesh,9,1,10,24,8,32,90,22,112,568,88,656,518,66,584,139,18,157,1348,203,1551
State,Uttaranchal,0,0,0,0,0,0,0,0,0,17,2,19,9,1,10,1,0,1,27,3,30
State,West Bengal,0,0,0,0,0,0,0,0,0,204,21,225,133,23,156,22,5,27,359,49,408
State,Total (States),46,17,63,54,14,68,159,42,201,1449,217,1666,1291,172,1463,276,55,331,3275,517,3792
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,3,0,3
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,0,0,0,3,1,4
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4
Union Territory,Delhi,2,2,4,3,0,3,4,0,4,31,5,36,29,2,31,0,0,0,69,9,78
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,1,0,1,4,1,5,1,1,2,6,2,8
Union Territory,Total (UTs),2,2,4,3,0,3,4,0,4,39,5,44,36,4,40,1,1,2,85,12,97
Total (All-India),Total (All-India),48,19,67,57,14,71,163,42,205,1488,222,1710,1327,176,1503,277,56,333,3360,529,3889
