Category,States/UTs/Cities,Murder - 2004,Murder - 2005,Murder - % Variation,Attempt to Commit Murder - 2004,Attempt to Commit Murder - 2005,Attempt to Commit Murder - % Variation,C.H. Not Amounting to Murder - 2004,C.H. Not Amounting to Murder - 2005,C.H. Not Amounting to Murder - % Variation,Rape Total - 2004,Rape Total - 2005,Rape Total - % Variation,Rape Custodial - 2004,Rape Custodial - 2005,Rape Custodial - % Variation,Rape Other - 2004,Rape Other - 2005,Rape Other - % Variation,Kidnapping & Abduction Total - 2004,Kidnapping & Abduction Total - 2005,Kidnapping & Abduction Total - % Variation,Kidnapping & Abduction of Women & Girls - 2004,Kidnapping & Abduction of Women & Girls - 2005,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction of Others - 2004,Kidnapping & Abduction of Others - 2005,Kidnapping & Abduction of Others - % Variation,Dacoity - 2004,Dacoity - 2005,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2004,Preparation & Assembly for Dacoity - 2005,Preparation & Assembly for Dacoity - % Variation,Robbery - 2004,Robbery - 2005,Robbery - % Variation,Burglary - 2004,Burglary - 2005,Burglary - % Variation,Theft Total - 2004,Theft Total - 2005,Theft Total - % Variation,Auto Theft - 2004,Auto Theft - 2005,Auto Theft - % Variation,Other Theft - 2004,Other Theft - 2005,Other Theft - % Variation,Riots - 2004,Riots - 2005,Riots - % Variation,Criminal Breach of Trust - 2004,Criminal Breach of Trust - 2005,Criminal Breach of Trust - % Variation,Cheating - 2004,Cheating - 2005,Cheating - % Variation,Counterfeiting - 2004,Counterfeiting - 2005,Counterfeiting - % Variation,Arson - 2004,Arson - 2005,Arson - % Variation,Hurt - 2004,Hurt - 2005,Hurt - % Variation,Dowry Deaths - 2004,Dowry Deaths - 2005,Dowry Deaths - % Variation,Molestation - 2004,Molestation - 2005,Molestation - % Variation,Sexual Harassment - 2004,Sexual Harassment - 2005,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2004,Cruelty by Husband and Relatives - 2005,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2004,Importation of Girls - 2005,Importation of Girls - % Variation,Causing Death by Negligence - 2004,Causing Death by Negligence - 2005,Causing Death by Negligence - % Variation,Other IPC Crimes - 2004,Other IPC Crimes - 2005,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2004,Total Cognizable Crimes Under IPC - 2005,Total Cognizable Crimes Under IPC - % Variation
City,Jamshedpur,60,55,-8.3,54,91,68.5,0,6,NA,24,28,16.7,0,0,0,24,28,16.7,50,34,-32,40,32,-20,10,2,-80,8,10,25,0,5,NA,23,41,78.3,131,144,9.9,521,633,21.5,6,82,1266.7,515,551,7,82,65,-20.7,69,58,-15.9,104,109,4.8,0,3,NA,11,9,-18.2,103,60,-41.7,3,8,166.7,29,21,-27.6,0,0,0,47,36,-23.4,0,0,0,102,137,34.3,782,985,26,2203,2538,15.2
City,Kanpur,149,150,0.7,126,91,-27.8,36,40,11.1,20,18,-10,0,0,0,20,18,-10,109,107,-1.8,83,90,8.4,26,17,-34.6,5,11,120,5,2,-60,62,45,-27.4,161,137,-14.9,938,803,-14.4,634,526,-17,304,277,-8.9,96,94,-2.1,98,141,43.9,211,218,3.3,7,8,14.3,6,5,-16.7,402,261,-35.1,46,51,10.9,40,43,7.5,239,227,-5,202,205,1.5,0,0,0,361,328,-9.1,1207,733,-39.3,4526,3718,-17.9
City,Kochi,13,15,15.4,21,12,-42.9,11,11,0,7,7,0,0,0,0,7,7,0,18,6,-66.7,8,1,-87.5,10,5,-50,8,10,25,0,0,0,56,40,-28.6,307,214,-30.3,486,447,-8,169,155,-8.3,317,292,-7.9,189,169,-10.6,15,12,-20,377,248,-34.2,0,1,NA,4,5,25,555,521,-6.1,1,2,100,64,33,-48.4,5,12,140,79,66,-16.5,0,0,0,1,0,-100,4539,4099,-9.7,6756,5930,-12.2
City,Kolkata,37,43,16.2,78,73,-6.4,16,16,0,27,13,-51.9,0,0,0,27,13,-51.9,119,82,-31.1,95,66,-30.5,24,16,-33.3,19,17,-10.5,53,59,11.3,117,55,-53,140,130,-7.1,3695,2639,-28.6,763,548,-28.2,2932,2091,-28.7,227,183,-19.4,225,215,-4.4,922,935,1.4,12,11,-8.3,0,0,0,1228,1032,-16,10,6,-40,174,148,-14.9,34,35,2.9,252,236,-6.3,1,0,-100,431,486,12.8,2940,2977,1.3,10757,9391,-12.7
City,Lucknow,106,129,21.7,111,114,2.7,17,24,41.2,29,28,-3.4,0,0,0,29,28,-3.4,128,111,-13.3,104,103,-1,24,8,-66.7,8,3,-62.5,3,3,0,89,58,-34.8,432,350,-19,2143,1815,-15.3,1017,973,-4.3,1126,842,-25.2,123,196,59.3,181,199,9.9,311,389,25.1,18,43,138.9,5,0,-100,20,48,140,22,22,0,41,36,-12.2,136,144,5.9,255,247,-3.1,0,0,0,221,180,-18.6,1901,2008,5.6,6300,6147,-2.4
City,Ludhiana,51,56,9.8,53,52,-1.9,10,14,40,44,39,-11.4,0,0,0,44,39,-11.4,66,49,-25.8,46,36,-21.7,20,13,-35,0,0,0,18,15,-16.7,8,5,-37.5,140,192,37.1,355,358,0.8,204,191,-6.4,151,167,10.6,0,0,0,30,30,0,319,316,-0.9,2,6,200,2,5,150,212,196,-7.5,5,5,0,31,25,-19.4,22,25,13.6,95,84,-11.6,0,0,0,181,216,19.3,907,853,-6,2551,2541,-0.4
City,Madurai,16,21,31.3,32,40,25,0,0,0,8,5,-37.5,0,0,0,8,5,-37.5,27,30,11.1,23,23,0,4,7,75,2,1,-50,0,0,0,18,24,33.3,79,101,27.8,529,430,-18.7,185,97,-47.6,344,333,-3.2,71,126,77.5,10,5,-50,143,222,55.2,1,5,400,7,1,-85.7,143,92,-35.7,5,3,-40,34,28,-17.6,40,29,-27.5,38,43,13.2,0,0,0,103,112,8.7,1858,2066,11.2,3164,3384,7
City,Meerut,82,81,-1.2,78,84,7.7,8,9,12.5,13,12,-7.7,0,0,0,13,12,-7.7,62,60,-3.2,35,35,0,27,25,-7.4,12,9,-25,3,1,-66.7,64,44,-31.3,104,136,30.8,855,718,-16,525,444,-15.4,330,274,-17,58,64,10.3,59,66,11.9,96,111,15.6,7,6,-14.3,2,0,-100,35,19,-45.7,7,11,57.1,27,28,3.7,115,76,-33.9,153,191,24.8,0,0,0,85,121,42.4,554,592,6.9,2479,2439,-1.6
City,Mumbai,253,212,-16.2,127,136,7.1,4,8,100,187,201,7.5,0,0,0,187,201,7.5,178,198,11.2,113,122,8,65,76,16.9,42,47,11.9,68,57,-16.2,302,362,19.9,2978,3175,6.6,11510,11903,3.4,3247,3494,7.6,8263,8409,1.8,213,261,22.5,510,536,5.1,1427,1664,16.6,96,169,76,10,10,0,3702,3731,0.8,13,9,-30.8,321,385,19.9,78,99,26.9,248,336,35.5,0,0,0,735,658,-10.5,6451,7275,12.8,29453,31432,6.7
City,Nagpur,112,106,-5.4,56,68,21.4,2,3,50,41,52,26.8,0,0,0,41,52,26.8,49,57,16.3,38,48,26.3,11,9,-18.2,21,16,-23.8,33,32,-3,178,184,3.4,1107,1236,11.7,2447,2733,11.7,919,939,2.2,1528,1794,17.4,199,246,23.6,37,59,59.5,194,272,40.2,6,15,150,22,26,18.2,915,973,6.3,9,4,-55.6,41,76,85.4,52,52,0,156,185,18.6,0,0,0,228,249,9.2,2613,2961,13.3,8518,9605,12.8
