Category,States/UTs/Cities,Murder - 2004,Murder - 2005,Murder - % Variation,Attempt to Commit Murder - 2004,Attempt to Commit Murder - 2005,Attempt to Commit Murder - % Variation,C.H. Not Amounting to Murder - 2004,C.H. Not Amounting to Murder - 2005,C.H. Not Amounting to Murder - % Variation,Rape Total - 2004,Rape Total - 2005,Rape Total - % Variation,Rape Custodial - 2004,Rape Custodial - 2005,Rape Custodial - % Variation,Rape Other - 2004,Rape Other - 2005,Rape Other - % Variation,Kidnapping & Abduction Total - 2004,Kidnapping & Abduction Total - 2005,Kidnapping & Abduction Total - % Variation,Kidnapping & Abduction of Women & Girls - 2004,Kidnapping & Abduction of Women & Girls - 2005,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction of Others - 2004,Kidnapping & Abduction of Others - 2005,Kidnapping & Abduction of Others - % Variation,Dacoity - 2004,Dacoity - 2005,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2004,Preparation & Assembly for Dacoity - 2005,Preparation & Assembly for Dacoity - % Variation,Robbery - 2004,Robbery - 2005,Robbery - % Variation,Burglary - 2004,Burglary - 2005,Burglary - % Variation,Theft Total - 2004,Theft Total - 2005,Theft Total - % Variation,Auto Theft - 2004,Auto Theft - 2005,Auto Theft - % Variation,Other Theft - 2004,Other Theft - 2005,Other Theft - % Variation,Riots - 2004,Riots - 2005,Riots - % Variation,Criminal Breach of Trust - 2004,Criminal Breach of Trust - 2005,Criminal Breach of Trust - % Variation,Cheating - 2004,Cheating - 2005,Cheating - % Variation,Counterfeiting - 2004,Counterfeiting - 2005,Counterfeiting - % Variation,Arson - 2004,Arson - 2005,Arson - % Variation,Hurt - 2004,Hurt - 2005,Hurt - % Variation,Dowry Deaths - 2004,Dowry Deaths - 2005,Dowry Deaths - % Variation,Molestation - 2004,Molestation - 2005,Molestation - % Variation,Sexual Harassment - 2004,Sexual Harassment - 2005,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2004,Cruelty by Husband and Relatives - 2005,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2004,Importation of Girls - 2005,Importation of Girls - % Variation,Causing Death by Negligence - 2004,Causing Death by Negligence - 2005,Causing Death by Negligence - % Variation,Other IPC Crimes - 2004,Other IPC Crimes - 2005,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2004,Total Cognizable Crimes Under IPC - 2005,Total Cognizable Crimes Under IPC - % Variation
State,Andhra Pradesh,2579,2750,6.6,1908,1724,-9.6,163,111,-31.9,1016,935,-8,0,1,NA,1016,934,-8.1,1526,1612,5.6,1030,995,-3.4,496,617,24.4,199,250,25.6,2,4,100,596,794,33.2,8457,7954,-5.9,23578,23778,0.8,5042,5465,8.4,18536,18313,-1.2,2540,2026,-20.2,898,948,5.6,7928,7909,-0.2,175,257,46.9,915,967,5.7,43335,42179,-2.7,512,443,-13.5,3817,3595,-5.8,2310,2508,8.6,8388,8696,3.7,2,3,50,11452,9973,-12.9,36460,37707,3.4,158756,157123,-1
State,Arunachal Pradesh,67,81,20.9,45,37,-17.8,1,5,400,42,35,-16.7,0,0,0,42,35,-16.7,65,58,-10.8,41,39,-4.9,24,19,-20.8,30,23,-23.3,2,0,-100,45,77,71.1,215,263,22.3,388,531,36.9,75,119,58.7,313,412,31.6,65,23,-64.6,26,36,38.5,34,28,-17.6,1,4,300,19,13,-31.6,429,383,-10.7,0,0,0,61,67,9.8,0,0,0,4,9,125,0,0,0,0,69,NA,717,562,-21.6,2256,2304,2.1
State,Assam,1214,1194,-1.6,410,503,22.7,63,117,85.7,1171,1238,5.7,0,0,0,1171,1238,5.7,1906,1751,-8.1,1552,1456,-6.2,354,295,-16.7,360,334,-7.2,31,22,-29,505,451,-10.7,2544,2255,-11.4,5866,6369,8.6,685,955,39.4,5181,5414,4.5,3615,2760,-23.7,586,487,-16.9,865,873,0.9,57,103,80.7,379,423,11.6,5911,5906,-0.1,74,99,33.8,883,899,1.8,11,19,72.7,1945,2206,13.4,0,3,NA,2239,2695,20.4,10040,11299,12.5,40675,42006,3.3
State,Bihar,3948,3471,-12.1,2995,3307,10.4,280,259,-7.5,1390,1147,-17.5,1,0,-100,1389,1147,-17.4,3413,2693,-21.1,997,929,-6.8,2416,1764,-27,1319,1212,-8.1,145,165,13.8,2986,2374,-20.5,3175,3117,-1.8,11113,10812,-2.7,2083,2134,2.4,9030,8678,-3.9,9793,7671,-21.7,1701,1181,-30.6,2764,1829,-33.8,57,50,-12.3,707,760,7.5,11231,11939,6.3,1029,1014,-1.5,704,451,-35.9,13,13,0,2679,1574,-41.2,35,74,111.4,2405,2680,11.4,44178,40057,-9.3,108060,97850,-9.4
State,Chhattisgarh,927,1013,9.3,619,660,6.6,25,41,64,969,990,2.2,0,0,0,969,990,2.2,214,246,15,174,184,5.7,40,62,55,106,204,92.5,8,25,212.5,363,401,10.5,3720,3621,-2.7,5014,5600,11.7,1316,1619,23,3698,3981,7.7,790,893,13,101,110,8.9,424,431,1.7,42,73,73.8,242,214,-11.6,3899,3734,-4.2,71,100,40.8,1661,1450,-12.7,131,132,0.8,741,732,-1.2,0,0,0,1717,2004,16.7,20143,20959,4.1,41927,43633,4.1
State,Goa,40,45,12.5,6,15,150,5,5,0,37,20,-45.9,0,0,0,37,20,-45.9,13,17,30.8,10,12,20,3,5,66.7,5,2,-60,0,0,0,18,28,55.6,261,265,1.5,503,495,-1.6,120,185,54.2,383,310,-19.1,33,45,36.4,49,50,2,61,58,-4.9,0,6,NA,7,12,71.4,170,155,-8.8,2,2,0,23,30,30.4,15,8,-46.7,17,11,-35.3,0,0,0,216,209,-3.2,646,641,-0.8,2127,2119,-0.4
State,Gujarat,1113,1033,-7.2,469,452,-3.6,27,27,0,339,324,-4.4,0,0,0,339,324,-4.4,1133,1164,2.7,905,916,1.2,228,248,8.8,360,282,-21.7,15,15,0,1136,966,-15,5828,5332,-8.5,18551,17964,-3.2,6931,7083,2.2,11620,10881,-6.4,1599,1628,1.8,1612,1370,-15,1726,1541,-10.7,122,447,266.4,388,320,-17.5,12262,10503,-14.3,58,48,-17.2,757,802,5.9,164,104,-36.6,3955,4090,3.4,0,0,0,3958,4120,4.1,49897,60882,22,105469,113414,7.5
State,Haryana,733,784,7,441,513,16.3,65,57,-12.3,386,461,19.4,0,0,0,386,461,19.4,423,492,16.3,292,344,17.8,131,148,13,52,88,69.2,145,138,-4.8,244,390,59.8,2786,3437,23.4,6558,8694,32.6,3735,5034,34.8,2823,3660,29.6,699,899,28.6,534,562,5.2,1089,1204,10.6,32,31,-3.1,95,119,25.3,4194,4569,8.9,251,212,-15.5,403,380,-5.7,850,597,-29.8,2026,2075,2.4,0,0,0,981,1083,10.4,16109,15879,-1.4,39096,42664,9.1
State,Himachal Pradesh,110,110,0,77,79,2.6,12,22,83.3,153,141,-7.8,0,0,0,153,141,-7.8,123,118,-4.1,99,102,3,24,16,-33.3,1,6,500,0,0,0,25,22,-12,766,696,-9.1,643,696,8.2,192,166,-13.5,451,530,17.5,562,558,-0.7,97,82,-15.5,174,163,-6.3,6,6,0,112,97,-13.4,1421,1359,-4.4,8,2,-75,284,286,0.7,16,29,81.3,252,228,-9.5,0,0,0,469,480,2.3,7015,7165,2.1,12326,12345,0.2
State,Jammu & Kashmir,816,647,-20.7,1112,905,-18.6,29,37,27.6,218,201,-7.8,0,0,0,218,201,-7.8,735,748,1.8,632,658,4.1,103,90,-12.6,28,13,-53.6,0,0,0,129,116,-10.1,1420,1397,-1.6,1939,1901,-2,573,504,-12,1366,1397,2.3,1116,1222,9.5,105,117,11.4,414,403,-2.7,32,29,-9.4,320,240,-25,334,355,6.3,9,5,-44.4,990,830,-16.2,264,371,40.5,82,76,-7.3,0,0,0,422,462,9.5,10677,10040,-6,21191,20115,-5.1
State,Jharkhand,1488,1523,2.4,1143,1084,-5.2,115,87,-24.3,797,753,-5.5,0,5,NA,797,748,-6.1,468,621,32.7,178,283,59,290,338,16.6,580,592,2.1,55,49,-10.9,780,732,-6.2,1419,1610,13.5,4374,6195,41.6,560,1181,110.9,3814,5014,31.5,2281,2524,10.7,333,243,-27,441,643,45.8,6,19,216.7,167,202,21,2294,3078,34.2,275,257,-6.5,411,293,-28.7,3,36,1100,588,590,0.3,36,4,-88.9,416,1490,258.2,12969,12550,-3.2,31439,35175,11.9
State,Karnataka,1519,1609,5.9,1387,1406,1.4,57,80,40.4,291,343,17.9,1,0,-100,290,343,18.3,592,589,-0.5,286,312,9.1,306,277,-9.5,177,208,17.5,109,119,9.2,1024,1202,17.4,6093,5986,-1.8,16093,17008,5.7,5185,5920,14.2,10908,11088,1.7,6237,6151,-1.4,423,434,2.6,2759,2909,5.4,65,133,104.6,248,238,-4,21232,20883,-1.6,259,261,0.8,1435,1585,10.5,57,71,24.6,1588,1883,18.6,0,0,0,277,243,-12.3,52518,54239,3.3,114440,117580,2.7
State,Kerala,417,388,-7,391,341,-12.8,473,88,-81.4,480,478,-0.4,0,0,0,480,478,-0.4,232,226,-2.6,142,129,-9.2,90,97,7.8,129,110,-14.7,15,158,953.3,639,621,-2.8,4580,4110,-10.3,5240,5454,4.1,1717,1969,14.7,3523,3485,-1.1,6461,6535,1.1,336,361,7.4,3755,3261,-13.2,99,79,-20.2,374,456,21.9,20610,18302,-11.2,31,21,-32.3,2260,2339,3.5,133,175,31.6,3222,3283,1.9,0,0,0,42,34,-19,54106,57530,6.3,104025,104350,0.3
State,Madhya Pradesh,2379,2405,1.1,2563,2512,-2,188,134,-28.7,2875,2921,1.6,0,0,0,2875,2921,1.6,832,847,1.8,584,604,3.4,248,243,-2,147,147,0,134,130,-3,1526,1557,2,12308,11192,-9.1,22586,20685,-8.4,6148,6390,3.9,16438,14295,-13,2479,2573,3.8,548,613,11.9,1287,1292,0.4,36,51,41.7,893,817,-8.5,33285,33803,1.6,751,739,-1.6,6690,6426,-3.9,804,792,-1.5,3436,2989,-13,0,3,NA,4209,4593,9.1,96911,91951,-5.1,196867,189172,-3.9
State,Maharashtra,2696,2621,-2.8,1463,1614,10.3,115,98,-14.8,1388,1545,11.3,0,0,0,1388,1545,11.3,1045,1194,14.3,787,851,8.1,258,343,32.9,629,641,1.9,315,307,-2.5,2229,2411,8.2,14659,15615,6.5,43952,46851,6.6,11307,12189,7.8,32645,34662,6.2,5980,6779,13.4,1528,1720,12.6,5167,6391,23.7,218,385,76.6,1149,1123,-2.3,30122,30017,-0.3,314,341,8.6,2831,3228,14,862,919,6.6,5646,6233,10.4,0,0,0,9574,9608,0.4,44420,47386,6.7,176302,187027,6.1
State,Manipur,159,256,61,227,252,11,3,4,33.3,31,25,-19.4,0,0,0,31,25,-19.4,128,106,-17.2,71,69,-2.8,57,37,-35.1,2,4,100,2,0,-100,3,8,166.7,66,62,-6.1,244,243,-0.4,108,92,-14.8,136,151,11,115,35,-69.6,25,52,108,142,122,-14.1,4,10,150,85,155,82.4,233,295,26.6,0,0,0,30,25,-16.7,0,0,0,2,20,900,0,0,0,35,5,-85.7,999,1234,23.5,2535,2913,14.9
State,Meghalaya,124,134,8.1,42,35,-16.7,7,2,-71.4,54,63,16.7,0,0,0,54,63,16.7,54,48,-11.1,18,19,5.6,36,29,-19.4,91,81,-11,2,1,-50,81,95,17.3,142,148,4.2,418,476,13.9,138,116,-15.9,280,360,28.6,2,42,2000,25,18,-28,44,39,-11.4,2,3,50,15,70,366.7,123,135,9.8,2,1,-50,34,44,29.4,0,0,0,5,3,-40,0,0,0,51,61,19.6,439,381,-13.2,1757,1880,7
State,Mizoram,35,24,-31.4,21,24,14.3,2,5,150,20,37,85,0,0,0,20,37,85,15,13,-13.3,0,0,0,15,13,-13.3,10,3,-70,0,0,0,6,6,0,250,442,76.8,610,777,27.4,0,0,0,610,777,27.4,2,35,1650,30,11,-63.3,20,58,190,6,5,-16.7,22,20,-9.1,80,77,-3.8,0,4,NA,66,49,-25.8,0,4,NA,0,0,0,0,0,0,0,4,NA,320,558,74.4,1515,2156,42.3
State,Nagaland,70,87,24.3,33,26,-21.2,5,8,60,18,17,-5.6,0,0,0,18,17,-5.6,23,26,13,4,9,125,19,17,-10.5,14,12,-14.3,0,0,0,117,80,-31.6,70,93,32.9,255,294,15.3,26,97,273.1,229,197,-14,6,8,33.3,11,17,54.5,28,41,46.4,0,5,NA,5,4,-20,52,35,-32.7,0,0,0,3,7,133.3,1,0,-100,0,0,0,0,0,0,34,37,8.8,239,252,5.4,984,1049,6.6
State,Orissa,1066,1079,1.2,1197,1279,6.9,25,48,92,770,799,3.8,0,0,0,770,799,3.8,526,641,21.9,423,547,29.3,103,94,-8.7,238,184,-22.7,0,50,NA,952,998,4.8,2992,3029,1.2,5967,6743,13,1401,1626,16.1,4566,5117,12.1,1433,1515,5.7,271,301,11.1,805,1040,29.2,14,31,121.4,343,386,12.5,4938,5919,19.9,319,334,4.7,1811,2238,23.6,170,184,8.2,1192,1671,40.2,0,0,0,2652,3034,14.4,21058,20182,-4.2,48739,51685,6
State,Punjab,775,713,-8,716,723,1,148,216,45.9,390,398,2.1,0,0,0,390,398,2.1,463,478,3.2,311,329,5.8,152,149,-2,17,27,58.8,79,103,30.4,86,85,-1.2,1766,1933,9.5,2587,2924,13,1132,1151,1.7,1455,1773,21.9,16,1,-93.8,313,306,-2.2,2729,2934,7.5,60,73,21.7,52,55,5.8,4402,4267,-3.1,113,99,-12.4,261,308,18,38,43,13.2,801,729,-9,0,0,0,2181,2283,4.7,7637,8438,10.5,25630,27136,5.9
State,Rajasthan,1279,1221,-4.5,2030,1920,-5.4,59,59,0,1038,993,-4.3,0,0,0,1038,993,-4.3,2384,1993,-16.4,1881,1549,-17.7,503,444,-11.7,58,41,-29.3,46,79,71.7,673,590,-12.3,5911,5227,-11.6,18842,17898,-5,6648,6723,1.1,12194,11175,-8.4,3101,2290,-26.2,885,613,-30.7,8333,8341,0.1,65,88,35.4,835,648,-22.4,25947,22606,-12.9,379,361,-4.7,2825,2503,-11.4,41,28,-31.7,6781,5997,-11.6,1,0,-100,5579,5872,5.3,67767,61549,-9.2,154859,140917,-9
State,Sikkim,16,8,-50,8,16,100,3,2,-33.3,3,18,500,0,0,0,3,18,500,5,3,-40,4,2,-50,1,1,0,0,2,NA,0,0,0,5,4,-20,64,85,32.8,73,81,11,6,5,-16.7,67,76,13.4,76,19,-75,4,4,0,22,44,100,1,2,100,7,3,-57.1,78,99,26.9,0,0,0,40,38,-5,0,0,0,1,4,300,0,0,0,29,53,82.8,196,67,-65.8,631,552,-12.5
State,Tamil Nadu,1479,1440,-2.6,1772,1759,-0.7,26,28,7.7,618,571,-7.6,0,1,NA,618,570,-7.8,870,1029,18.3,692,783,13.2,178,246,38.2,72,73,1.4,54,0,-100,464,437,-5.8,4147,3738,-9.9,17530,15851,-9.6,3996,3583,-10.3,13534,12268,-9.4,3433,2551,-25.7,268,239,-10.8,2121,2694,27,40,40,0,662,495,-25.2,30855,31725,2.8,225,215,-4.4,1861,1764,-5.2,1081,665,-38.5,1437,1650,14.8,0,0,0,9152,8902,-2.7,88439,86494,-2.2,166606,162360,-2.5
State,Tripura,189,121,-36,36,56,55.6,0,1,NA,160,162,1.3,0,0,0,160,162,1.3,99,85,-14.1,54,43,-20.4,45,42,-6.7,27,22,-18.5,2,0,-100,46,61,32.6,166,170,2.4,260,325,25,49,62,26.5,211,263,24.6,148,148,0,17,32,88.2,34,59,73.5,12,16,33.3,24,35,45.8,452,429,-5.1,20,34,70,134,161,20.1,0,1,NA,302,439,45.4,0,0,0,85,188,121.2,868,811,-6.6,3081,3356,8.9
State,Uttar Pradesh,6126,5711,-6.8,5580,5637,1,1436,1520,5.8,1397,1217,-12.9,0,0,0,1397,1217,-12.9,3337,2955,-11.4,2324,2256,-2.9,1013,699,-31,378,286,-24.3,98,89,-9.2,2606,2049,-21.4,5299,4556,-14,22524,20695,-8.1,8452,8647,2.3,14072,12048,-14.4,3915,3926,0.3,2377,2524,6.2,4184,4556,8.9,188,261,38.8,381,398,4.5,11265,10379,-7.9,1708,1564,-8.4,1900,1835,-3.4,2682,2881,7.4,4950,4505,-9,3,0,-100,7136,7406,3.8,40711,37158,-8.7,130181,122108,-6.2
State,Uttaranchal,262,279,6.5,247,202,-18.2,29,30,3.4,115,133,15.7,0,0,0,115,133,15.7,213,203,-4.7,127,125,-1.6,86,78,-9.3,37,48,29.7,1,0,-100,165,159,-3.6,566,521,-8,1597,1630,2.1,500,533,6.6,1097,1097,0,444,433,-2.5,157,144,-8.3,372,396,6.5,13,22,69.2,28,24,-14.3,865,745,-13.9,82,63,-23.2,143,100,-30.1,110,89,-19.1,405,272,-32.8,0,0,0,464,462,-0.4,2319,2078,-10.4,8634,8033,-7
State,West Bengal,1425,1453,2,390,434,11.3,468,408,-12.8,1475,1686,14.3,0,0,0,1475,1686,14.3,1200,1207,0.6,1018,1039,2.1,182,168,-7.7,212,211,-0.5,943,1221,29.5,535,426,-20.4,547,739,35.1,14465,12124,-16.2,2668,2435,-8.7,11797,9689,-17.9,2691,2635,-2.1,425,528,24.2,1686,1760,4.4,125,107,-14.4,103,92,-10.7,3867,4125,6.7,396,446,12.6,1566,1572,0.4,64,54,-15.6,6334,6936,9.5,12,61,408.3,2995,2737,-8.6,27426,25444,-7.2,69350,66406,-4.2
State,Total (States),33051,32200,-2.6,27328,27515,0.7,3829,3499,-8.6,17641,17651,0.1,2,7,250,17639,17644,0,22037,21163,-4,14636,14584,-0.4,7401,6579,-11.1,5278,5106,-3.3,2203,2675,21.4,17984,17140,-4.7,90217,87593,-2.9,251770,253094,0.5,70793,75983,7.3,180977,177111,-2.1,59632,55925,-6.2,13685,13103,-4.3,49408,51019,3.3,1478,2336,58.1,8577,8386,-2.2,273886,268001,-2.1,6888,6665,-3.2,33884,33305,-1.7,9820,9723,-1,56779,56901,0.2,89,148,66.3,68770,70787,2.9,715224,713493,-0.2,1769458,1757428,-0.7
Union Territory,A & N Islands,15,14,-6.7,1,3,200,2,3,50,10,4,-60,0,0,0,10,4,-60,3,2,-33.3,3,1,-66.7,0,1,NA,0,0,0,0,0,0,3,4,33.3,69,68,-1.4,103,92,-10.7,9,6,-33.3,94,86,-8.5,9,4,-55.6,0,8,NA,12,13,8.3,0,0,0,9,6,-33.3,105,79,-24.8,0,0,0,6,11,83.3,3,1,-66.7,5,5,0,0,0,0,6,3,-50,387,362,-6.5,748,682,-8.8
Union Territory,Chandigarh,22,18,-18.2,19,15,-21.1,10,4,-60,19,33,73.7,0,0,0,19,33,73.7,54,54,0,43,45,4.7,11,9,-18.2,0,0,0,2,2,0,6,12,100,186,223,19.9,1459,1373,-5.9,653,579,-11.3,806,794,-1.5,43,43,0,23,41,78.3,135,161,19.3,4,0,-100,0,1,NA,65,57,-12.3,6,3,-50,20,31,55,18,9,-50,73,75,2.7,0,0,0,5,9,80,720,969,34.6,2889,3133,8.4
Union Territory,D & N Haveli,11,7,-36.4,4,5,25,0,0,0,7,5,-28.6,0,0,0,7,5,-28.6,12,13,8.3,7,9,28.6,5,4,-20,3,3,0,0,0,0,2,2,0,20,25,25,53,74,39.6,20,17,-15,33,57,72.7,17,18,5.9,12,12,0,22,10,-54.5,0,4,NA,2,1,-50,35,33,-5.7,0,0,0,5,5,0,0,0,0,3,5,66.7,0,0,0,8,17,112.5,193,195,1,409,434,6.1
Union Territory,Daman & Diu,3,5,66.7,1,2,100,0,0,0,1,2,100,0,0,0,1,2,100,2,4,100,0,2,NA,2,2,0,0,4,NA,0,0,0,1,0,-100,35,37,5.7,27,50,85.2,12,27,125,15,23,53.3,19,19,0,4,6,50,5,3,-40,0,7,NA,2,1,-50,17,16,-5.9,0,1,NA,1,1,0,0,0,0,4,3,-25,0,0,0,25,24,-4,51,58,13.7,198,243,22.7
Union Territory,Delhi,481,455,-5.4,519,467,-10,80,64,-20,551,658,19.4,0,0,0,551,658,19.4,1209,1590,31.5,881,1106,25.5,328,484,47.6,30,27,-10,135,157,16.3,461,510,10.6,1875,2093,11.6,18994,17955,-5.5,8873,8862,-0.1,10121,9093,-10.2,67,61,-9,445,394,-11.5,2322,2378,2.4,44,36,-18.2,38,47,23.7,1780,1814,1.9,126,114,-9.5,601,762,26.8,130,225,73.1,1254,1324,5.6,0,1,NA,433,634,46.4,22048,24299,10.2,53623,56065,4.6
Union Territory,Lakshadweep,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,7,40,0,0,0,5,7,40,37,6,-83.8,0,0,0,0,0,0,1,0,-100,0,0,0,6,4,-33.3,0,0,0,0,0,0,0,0,0,1,0,-100,0,0,0,0,0,0,18,22,22.2,70,42,-40
Union Territory,Pondicherry,25,19,-24,18,24,33.3,14,8,-42.9,4,6,50,0,0,0,4,6,50,10,6,-40,8,3,-62.5,2,3,50,0,1,NA,0,0,0,1,5,400,86,67,-22.1,634,466,-26.5,322,235,-27,312,231,-26,147,159,8.2,7,8,14.3,35,41,17.1,2,0,-100,9,9,0,974,857,-12,6,4,-33.3,50,60,20,30,26,-13.3,2,6,200,0,0,0,176,224,27.3,2390,2579,7.9,4620,4575,-1
Union Territory,Total (UTs),557,519,-6.8,562,516,-8.2,106,79,-25.5,592,708,19.6,0,0,0,592,708,19.6,1290,1669,29.4,942,1166,23.8,348,503,44.5,33,35,6.1,137,159,16.1,474,533,12.4,2273,2515,10.6,21275,20017,-5.9,9889,9726,-1.6,11386,10291,-9.6,339,310,-8.6,491,469,-4.5,2531,2606,3,51,47,-7.8,60,65,8.3,2982,2860,-4.1,138,122,-11.6,683,870,27.4,181,261,44.2,1342,1418,5.7,0,1,0,653,911,39.5,25807,28484,10.4,62557,65174,4.2
Total (All-India),Total (All-India),33608,32719,-2.6,27890,28031,0.5,3935,3578,-9.1,18233,18359,0.7,2,7,250,18231,18352,0.7,23327,22832,-2.1,15578,15750,1.1,7749,7082,-8.6,5311,5141,-3.2,2340,2834,21.1,18458,17673,-4.3,92490,90108,-2.6,273045,273111,0,80682,85709,6.2,192363,187402,-2.6,59971,56235,-6.2,14176,13572,-4.3,51939,53625,3.2,1529,2383,55.9,8637,8451,-2.2,276868,270861,-2.2,7026,6787,-3.4,34567,34175,-1.1,10001,9984,-0.2,58121,58319,0.3,89,149,67.4,69423,71698,3.3,741031,741977,0.1,1832015,1822602,-0.5
City,Agra,72,59,-18.1,71,49,-31,12,14,16.7,16,20,25,0,0,0,16,20,25,111,88,-20.7,87,66,-24.1,24,22,-8.3,6,11,83.3,1,2,100,50,45,-10,168,127,-24.4,944,994,5.3,636,699,9.9,308,295,-4.2,144,109,-24.3,107,71,-33.6,138,126,-8.7,17,4,-76.5,5,5,0,238,223,-6.3,30,15,-50,42,46,9.5,82,146,78,212,190,-10.4,0,0,0,185,171,-7.6,791,733,-7.3,3442,3248,-5.6
City,Ahmedabad,92,76,-17.4,62,49,-21,5,4,-20,40,35,-12.5,0,0,0,40,35,-12.5,215,219,1.9,122,136,11.5,93,83,-10.8,33,23,-30.3,4,3,-25,271,159,-41.3,931,825,-11.4,5711,5359,-6.2,2153,2264,5.2,3558,3095,-13,162,150,-7.4,275,267,-2.9,333,344,3.3,7,9,28.6,10,6,-40,1594,1361,-14.6,10,1,-90,63,54,-14.3,20,26,30,768,745,-3,0,0,0,165,188,13.9,6782,7565,11.5,17553,17468,-0.5
City,Allahabad,41,60,46.3,50,47,-6,7,11,57.1,2,5,150,0,0,0,2,5,150,27,22,-18.5,17,15,-11.8,10,7,-30,0,2,NA,1,0,-100,21,15,-28.6,100,100,0,365,311,-14.8,205,195,-4.9,160,116,-27.5,72,49,-31.9,44,26,-40.9,90,78,-13.3,3,6,100,0,12,NA,38,34,-10.5,11,8,-27.3,4,4,0,17,19,11.8,65,38,-41.5,0,0,0,72,73,1.4,521,644,23.6,1551,1564,0.8
City,Amritsar,43,34,-20.9,43,26,-39.5,1,3,200,22,4,-81.8,0,0,0,22,4,-81.8,27,18,-33.3,26,12,-53.8,1,6,500,0,0,0,3,7,133.3,6,2,-66.7,115,72,-37.4,163,101,-38,112,46,-58.9,51,55,7.8,4,0,-100,22,15,-31.8,156,120,-23.1,5,5,0,0,0,0,153,96,-37.3,5,2,-60,9,6,-33.3,7,3,-57.1,45,34,-24.4,0,0,0,57,58,1.8,318,325,2.2,1204,931,-22.7
City,Asansol,28,27,-3.6,6,2,-66.7,8,2,-75,9,9,0,0,0,0,9,9,0,10,14,40,1,14,1300,9,0,-100,3,3,0,23,23,0,7,7,0,19,15,-21.1,112,158,41.1,34,93,173.5,78,65,-16.7,62,69,11.3,7,14,100,13,13,0,0,3,NA,1,1,0,40,40,0,7,4,-42.9,37,10,-73,2,0,-100,247,340,37.7,0,0,0,105,105,0,316,358,13.3,1062,1217,14.6
City,Bangalore,214,242,13.1,285,282,-1.1,2,5,150,32,38,18.8,0,0,0,32,38,18.8,175,131,-25.1,61,25,-59,114,106,-7,37,35,-5.4,73,82,12.3,455,594,30.5,1874,1771,-5.5,8241,9617,16.7,3205,3753,17.1,5036,5864,16.4,323,377,16.7,145,172,18.6,1534,1633,6.5,22,90,309.1,3,5,66.7,3542,3474,-1.9,44,39,-11.4,151,167,10.6,35,39,11.4,227,287,26.4,0,0,0,104,93,-10.6,11008,9869,-10.3,28526,29042,1.8
