Category,Crime Head,Below 18 Years,Between 18 - 30 Years,Between 30 - 45 Years,Between 45 - 60 Years,Above 60 Years,Total (All Age Groups)
Offences under IT Act,Tampering computer source department,1,9,0,0,0,10
Offences under IT Act,Hacking Computer Systems - (i) Loss/damage to computer resource/ Utility,0,19,6,2,0,27
Offences under IT Act,Hacking Computer Systems - (ii) Hacking,0,12,2,0,0,14
Offences under IT Act,Obscence publication/transmission in electronic form,0,85,36,3,1,125
Offences under IT Act,Failure - (i) Of compliance/orders of certifying Authority,0,0,0,0,0,0
Offences under IT Act,Failure - (ii) To assist to decoy or the information in interception by Govt. Agency,0,0,0,0,0,0
Offences under IT Act,Unauthorised access/attempt to access of protected Computer system,0,0,0,0,0,0
Offences under IT Act,Obtaining Licence or Digital Signature by misrepresentation/supression of fact,0,0,0,0,0,0
Offences under IT Act,Publishing false digital Signature certificate,0,0,0,0,0,0
Offences under IT Act,Fraud Digital/Signature,0,0,3,0,0,3
Offences under IT Act,Breach of confidentiality/privacy,0,6,6,1,0,13
Offences under IT Act,Other,0,0,0,0,0,0
Offences under IT Act,Total (Offences under IT Act),1,131,53,6,1,192
Offences under IPC,Public Servant Offences by/Against,0,0,0,0,0,0
Offences under IPC,False electronic evidence,0,0,0,0,0,0
Offences under IPC,Destruction of electronic evidence,0,0,0,0,0,0
Offences under IPC,Forgery,0,21,35,15,0,71
Offences under IPC,Criminal Breach of Trust/Fraud,2,82,96,33,2,215
Offences under IPC,Counterfeiting - (i) Property/mark,0,0,0,0,0,0
Offences under IPC,Counterfeiting - (ii) Tampering,0,5,2,1,0,8
Offences under IPC,Counterfeiting - (iii) Currency/Stamps,0,40,28,14,1,83
Offences under IPC,Total (Offences under IPC),2,148,161,63,3,377
Grand Total (Offences under IT Act + Offences under IPC),Grand Total (Offences under IT Act + Offences under IPC),3,279,214,69,4,569
