Category,States/ UTs,Disposal of Cases Under Murder - CF,Disposal of Cases Under Murder - TR,Disposal of Cases Under Murder - TL,Disposal of Cases Under Attempt to Commit Murder - CF,Disposal of Cases Under Attempt to Commit Murder - TR,Disposal of Cases Under Attempt to Commit Murder - TL,Disposal of Cases Under C.H. Not Amounting to Murder - CF,Disposal of Cases Under C.H. Not Amounting to Murder - TR,Disposal of Cases Under C.H. Not Amounting to Murder - TL,Disposal of Cases Under Rape - CF,Disposal of Cases Under Rape - TR,Disposal of Cases Under Rape - TL,Disposal of Cases Under Kidnapping & Abduction - CF,Disposal of Cases Under Kidnapping & Abduction - TR,Disposal of Cases Under Kidnapping & Abduction - TL,Disposal of Cases Under Women & Girls - CF,Disposal of Cases Under Women & Girls - TR,Disposal of Cases Under Women & Girls - TL,Disposal of Cases Under Others - CF,Disposal of Cases Under Others - TR,Disposal of Cases Under Others - TL,Disposal of Cases Under Dacoity - CF,Disposal of Cases Under Dacoity - TR,Disposal of Cases Under Dacoity - TL,Disposal of Cases Under Preparation & Assembly for Dacoity - CF,Disposal of Cases Under Preparation & Assembly for Dacoity - TR,Disposal of Cases Under Preparation & Assembly for Dacoity - TL,Disposal of Cases Under Robbery - CF,Disposal of Cases Under Robbery - TR,Disposal of Cases Under Robbery - TL,Disposal of Cases Under Riot - CF,Disposal of Cases Under Riot - TR,Disposal of Cases Under Riot - TL,Disposal of Cases Under Arson - CF,Disposal of Cases Under Arson - TR,Disposal of Cases Under Arson - TL,Disposal of Cases Under Dowry Deaths - CF,Disposal of Cases Under Dowry Deaths - TR,Disposal of Cases Under Dowry Deaths - TL,Disposal of Cases Under Total - CF,Disposal of Cases Under Total - TR,Disposal of Cases Under Total - TL
State,ANDHRA PRADESH,0,2667,2667,0,1157,1157,0,98,98,0,821,821,0,688,688,0,417,417,0,271,271,0,266,266,0,1,1,0,424,424,0,1350,1350,0,612,612,0,547,547,0,8631,8631
State,ARUNACHAL PRADESH,0,11,11,0,4,4,0,0,0,0,19,19,0,13,13,0,12,12,0,1,1,0,11,11,0,1,1,0,26,26,0,3,3,0,3,3,0,0,0,0,91,91
State,ASSAM,46,616,662,2,193,195,1,33,34,12,525,537,42,525,567,42,422,464,0,103,103,3,225,228,3,11,14,5,270,275,18,1635,1653,2,209,211,1,37,38,135,4279,4414
State,BIHAR,4,2396,2400,0,2769,2769,0,222,222,0,837,837,0,1241,1241,0,441,441,0,800,800,0,815,815,0,106,106,5,824,829,0,5305,5305,0,258,258,0,501,501,9,15274,15283
State,CHHATTISGARH,384,326,710,178,217,395,8,34,42,311,630,941,24,79,103,17,57,74,7,22,29,24,54,78,8,3,11,121,246,367,78,188,266,50,83,133,27,35,62,1213,1895,3108
State,GOA,0,39,39,0,14,14,0,4,4,0,20,20,0,4,4,0,3,3,0,1,1,0,4,4,0,0,0,0,10,10,0,29,29,0,10,10,0,2,2,0,136,136
State,GUJARAT,21,772,793,3,482,485,0,11,11,6,217,223,3,435,438,3,364,367,0,71,71,3,147,150,0,9,9,3,307,310,13,743,756,1,208,209,0,65,65,53,3396,3449
State,HARYANA,0,636,636,0,449,449,0,63,63,0,325,325,0,215,215,0,143,143,0,72,72,0,41,41,0,155,155,0,338,338,0,771,771,0,84,84,0,248,248,0,3325,3325
State,HIMACHAL PRADESH,0,106,106,0,78,78,0,6,6,0,145,145,0,62,62,0,54,54,0,8,8,0,5,5,0,0,0,0,15,15,0,387,387,0,81,81,0,4,4,0,889,889
State,JAMMU & KASHMIR,0,165,165,0,198,198,0,14,14,0,116,116,0,227,227,0,219,219,0,8,8,0,4,4,0,0,0,0,38,38,0,572,572,0,42,42,0,2,2,0,1378,1378
State,JHARKHAND,38,847,885,36,884,920,2,107,109,28,500,528,15,450,465,8,86,94,7,364,371,6,338,344,0,133,133,7,442,449,42,1567,1609,0,84,84,3,83,86,177,5435,5612
State,KARNATAKA,8,2067,2075,1,1742,1743,1,61,62,1,370,371,0,395,395,0,219,219,0,176,176,0,176,176,0,74,74,0,612,612,2,5057,5059,0,193,193,0,324,324,13,11071,11084
State,KERALA,0,309,309,0,292,292,0,41,41,0,334,334,0,85,85,0,52,52,0,33,33,0,65,65,0,54,54,0,224,224,0,5236,5236,0,68,68,1,33,34,1,6741,6742
State,MADHYA PRADESH,0,2341,2341,0,2766,2766,0,108,108,0,2707,2707,0,869,869,0,743,743,0,126,126,0,100,100,0,112,112,0,1305,1305,0,1724,1724,0,802,802,0,738,738,0,13572,13572
State,MAHARASHTRA,1,2296,2297,5,1232,1237,0,96,96,4,1164,1168,3,555,558,1,414,415,2,141,143,0,377,377,1,220,221,12,991,1003,18,3021,3039,0,622,622,1,299,300,45,10873,10918
State,MANIPUR,0,2,2,0,1,1,0,0,0,0,1,1,0,4,4,0,3,3,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,11,11
State,MEGHALAYA,0,11,11,1,10,11,0,2,2,0,3,3,0,5,5,0,3,3,0,2,2,0,11,11,0,0,0,3,29,32,0,7,7,1,3,4,0,0,0,5,81,86
State,MIZORAM,9,31,40,3,3,6,0,2,2,3,17,20,0,2,2,0,0,0,0,2,2,0,1,1,0,0,0,0,3,3,1,3,4,1,5,6,0,2,2,17,69,86
State,NAGALAND,0,181,181,0,59,59,0,6,6,0,25,25,0,114,114,0,38,38,0,76,76,0,44,44,0,0,0,0,239,239,0,4,4,0,0,0,0,0,0,0,672,672
State,ORISSA,23,869,892,54,887,941,0,46,46,0,559,559,0,270,270,0,221,221,0,49,49,0,174,174,0,18,18,0,535,535,0,944,944,0,205,205,0,210,210,77,4717,4794
State,PUNJAB,0,599,599,0,323,323,0,65,65,0,242,242,0,129,129,0,87,87,0,42,42,0,12,12,0,65,65,0,43,43,0,0,0,0,25,25,0,65,65,0,1568,1568
State,RAJASTHAN,0,954,954,3,1975,1978,0,34,34,0,827,827,2,698,700,1,522,523,1,176,177,0,54,54,0,40,40,0,479,479,28,4166,4194,0,363,363,0,262,262,33,9852,9885
State,SIKKIM,0,2,2,0,4,4,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,14,14
State,TAMIL NADU,13,1361,1374,23,2248,2271,0,31,31,1,609,610,9,501,510,2,368,370,7,133,140,0,152,152,0,45,45,3,543,546,88,3679,3767,5,506,511,2,240,242,144,9915,10059
State,TRIPURA,0,257,257,0,48,48,0,0,0,0,121,121,0,146,146,0,43,43,0,103,103,0,15,15,0,1,1,0,31,31,0,118,118,0,15,15,0,13,13,0,765,765
State,UTTAR PRADESH,0,4957,4957,0,5814,5814,0,1346,1346,0,1288,1288,0,1814,1814,0,1364,1364,0,450,450,0,753,753,0,115,115,0,1579,1579,0,2904,2904,0,433,433,0,1299,1299,0,22302,22302
State,UTTARANCHAL,0,143,143,0,150,150,0,26,26,0,61,61,0,98,98,0,77,77,0,21,21,0,13,13,0,5,5,0,76,76,0,222,222,0,6,6,0,43,43,0,843,843
State,WEST BENGAL,18,792,810,0,263,263,0,300,300,0,547,547,0,537,537,0,386,386,0,151,151,0,131,131,0,341,341,0,92,92,2,1408,1410,0,59,59,3,358,361,23,4828,4851
State,TOTAL (STATES),565,25753,26318,309,24262,24571,12,2758,2770,366,13033,13399,98,10161,10259,74,6758,6832,24,3403,3427,36,3989,4025,12,1509,1521,159,9723,9882,290,41046,41336,60,4979,5039,38,5410,5448,1945,142623,144568
Union Territory,A & N ISLANDS,0,9,9,0,1,1,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,2,2,0,0,0,0,23,23
Union Territory,CHANDIGARH,0,15,15,0,7,7,0,0,0,0,14,14,0,14,14,0,13,13,0,1,1,0,1,1,0,0,0,0,2,2,0,21,21,0,1,1,0,6,6,0,81,81
Union Territory,D & N HAVELI,0,7,7,0,5,5,0,0,0,0,6,6,0,7,7,0,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,12,12,0,0,0,0,1,1,0,41,41
Union Territory,DAMAN & DIU,0,8,8,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,24,24
Union Territory,DELHI,0,584,584,0,372,372,0,124,124,0,885,885,0,112,112,0,66,66,0,46,46,0,58,58,0,129,129,0,485,485,0,49,49,0,7,7,0,125,125,0,2930,2930
Union Territory,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,PONDICHERRY,0,8,8,0,19,19,0,2,2,0,4,4,0,3,3,0,2,2,0,1,1,0,1,1,0,0,0,0,8,8,0,120,120,0,4,4,0,0,0,0,169,169
Union Territory,TOTAL (UTs),0,631,631,0,408,408,0,127,127,0,916,916,0,136,136,0,86,86,0,50,50,0,63,63,0,129,129,0,495,495,0,217,217,0,14,14,0,132,132,0,3268,3268
TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),565,26384,26949,309,24670,24979,12,2885,2897,366,13949,14315,98,10297,10395,74,6844,6918,24,3453,3477,36,4052,4088,12,1638,1650,159,10218,10377,290,41263,41553,60,4993,5053,38,5542,5580,1945,145891,147836
