Category,States/UTs,Persons in Cust./ Bail during Investigation at Beginning of the Year,Persons Arrested during the Year,Persons Released by Police/ Magistrate Before Trial,Persons in Custody/ Bail during Investigation at the end of Year,Persons in whose Cases Charge Sheets were Laid,Persons Under Trialat the Beginning of Year,Total Persons under Trial,No. of Persons whose Cases Withdrawn or Other-wise Disposed of,Persons in Custody/ Bail during Trial at the End of Year,PersonsIn whose Cases Trial Completed,Persons Convicted,Persons Acquitted,Percentage of Persons Convicted to Trial Completed,Persons Reported for Regular Deptt. Action,Persons Reported for Suitable Action,Persons Punished Departmentally - Dismissed from Service,Persons Punished Departmentally - Removed from Service,Persons Punished Departmentally - Awarded Other Major Punishment,Persons Punished Departmentally - Awarded Minor Punishment,Gazetted or Equal Status Officers in Public under Taking Involved - Group 'A' Officers,Gazetted or Equal Status Officers in Public under Taking Involved - Group 'B' Officers,Non Gazetted or Equal Status Officers in Govt. of Public Undertaking Involved,Private Persons Involved
State,Andhra Pradesh,443,300,0,498,245,1138,1383,2,1218,163,89,74,54.6,7,0,34,4,2,27,0,0,161,7
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,222,0,0,221,1,65,66,0,65,1,1,0,100,0,0,0,0,0,0,0,2,10,0
State,Bihar,12,64,0,16,60,0,0,2,0,5,3,0,60,0,0,0,0,0,0,5,28,18,29
State,Chhattisgarh,40,39,0,54,25,222,247,0,215,32,15,17,46.9,0,0,0,0,0,0,0,5,28,6
State,Goa,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
State,Gujarat,125,239,0,125,239,1915,2154,5,1694,455,122,333,26.8,0,0,2,0,0,0,21,37,181,32
State,Haryana,1059,236,42,1014,239,2580,2819,5,2525,289,80,209,27.7,0,0,0,0,0,0,8,26,103,106
State,Himachal Pradesh,87,81,14,103,51,94,145,1,113,31,9,22,29,2,0,0,0,0,0,8,13,34,12
State,Jammu & Kashmir,59,53,0,53,59,2110,2169,10,2117,42,7,35,16.7,32,0,0,0,0,0,0,57,60,16
State,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Karnataka,142,340,145,165,172,1043,1215,6,938,271,42,229,15.5,0,0,0,0,0,0,41,45,227,27
State,Kerala,234,23,23,0,234,1097,1331,0,1237,94,33,61,35.1,18,38,0,0,0,0,69,35,0,0
State,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Maharashtra,789,556,5,838,502,3815,4317,11,3495,811,195,616,24,32,0,0,0,0,2,57,47,435,66
State,Manipur,0,8,0,0,8,27,35,0,35,0,0,0,0,0,0,0,0,0,0,1,3,4,6
State,Meghalaya,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
State,Mizoram,8,1,0,9,0,8,8,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,20,17,0
State,Orissa,81,219,7,74,219,2379,2598,6,2514,78,19,59,24.4,111,10,1,1,13,8,64,161,204,165
State,Punjab,338,748,34,523,529,1037,1566,35,1244,287,95,192,33.1,0,26,8,0,0,0,79,0,573,115
State,Rajasthan,428,197,0,436,189,2610,2799,0,2482,317,96,221,30.3,103,103,0,0,1,25,0,0,0,0
State,Sikkim,10,32,0,32,10,34,44,2,39,3,3,0,100,2,0,0,0,0,0,3,2,15,24
State,Tamil Nadu,583,224,0,733,74,609,683,2,627,54,27,27,50,28,1,5,1,17,0,5,65,154,13
State,Tripura,4,1,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,159,15,3,135,43,414,457,6,436,15,0,13,0,0,0,0,0,0,0,0,0,96,0
State,Uttaranchal,14,7,0,19,2,13,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,West Bengal,32,0,0,32,0,56,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Total (States),4869,3386,273,5087,2902,21267,24109,93,21067,2956,836,2108,28.3,336,178,57,6,33,62,366,547,2323,624
Union Territory,A & N Islands,5,1,0,5,1,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Union Territory,Chandigarh,41,9,0,46,4,74,78,0,77,1,0,1,0,0,0,0,0,0,0,2,0,6,1
Union Territory,D & N Haveli,1,0,0,0,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,136,102,0,160,78,558,636,7,573,56,22,34,39.3,78,0,0,0,0,0,6,10,77,9
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,12,12,0,12,12,12,24,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Union Territory,Total (UTs),196,124,0,224,96,651,747,7,683,57,22,35,38.6,78,0,0,0,0,0,8,11,84,10
Total (All-India),Total (All-India),5065,3510,273,5311,2998,21918,24856,100,21750,3013,858,2143,28.5,414,178,57,6,33,62,374,558,2407,634
