Category,States/UTs,Gain - Murder,Gain - C.H.,Property Dispute - Murder,Property Dispute - C.H.,Personal Vendetta or Enmity - Murder,Personal Vendetta or Enmity - C.H.,Love Affairs/ Sexual Causes - Murder,Love Affairs/ Sexual Causes - C.H.,Dowry - Murder,Dowry - C.H.,Lunacy - Murder,Lunacy - C.H.,Witchcraft - Murder,Witchcraft - C.H.,For Political Reasons - Murder,For Political Reasons - C.H.,By Terrorist/ Extremists - Murder,By Terrorist/ Extremists - C.H.,Communalism - Murder,Communalism - C.H.,Casteism - Murder,Casteism - C.H.,Class Conflict - Murder,Class Conflict - C.H.,Other Motives - Murder,Other Motives - C.H.,Total - Murder,Total - C.H.
State,Andhra Pradesh,184,1,173,0,283,5,416,1,149,0,4,0,75,0,11,0,125,0,0,0,0,0,8,0,1322,104,2750,111
State,Arunachal Pradesh,3,0,3,0,12,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,5,81,5
State,Assam,61,1,129,11,98,13,48,17,50,0,2,0,0,0,0,0,51,5,0,0,0,0,2,0,753,70,1194,117
State,Bihar,329,7,671,35,357,4,118,3,178,4,2,0,1,0,45,0,21,0,0,0,20,0,1,0,1728,206,3471,259
State,Chhattisgarh,42,2,89,1,151,0,58,0,57,0,22,0,9,0,4,0,88,0,11,0,5,0,6,0,471,38,1013,41
State,Goa,3,0,6,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,45,5
State,Gujarat,75,2,108,0,116,1,139,3,15,0,8,0,6,0,0,0,0,0,3,0,1,0,1,0,561,21,1033,27
State,Haryana,32,3,186,9,181,7,56,0,12,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,288,38,784,57
State,Himachal Pradesh,5,1,11,5,10,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,15,110,22
State,Jammu & Kashmir,5,0,13,1,18,4,5,1,1,0,0,0,0,0,2,0,495,4,0,0,0,0,0,0,108,27,647,37
State,Jharkhand,47,10,228,20,264,12,93,6,67,15,0,0,26,0,3,4,29,3,0,0,1,0,0,0,765,17,1523,87
State,Karnataka,37,80,87,0,164,0,114,0,44,0,0,0,0,0,11,0,0,0,3,0,3,0,0,0,1146,0,1609,80
State,Kerala,21,0,18,2,132,15,3,0,3,0,3,0,0,0,10,0,0,0,2,0,0,0,0,0,196,71,388,88
State,Madhya Pradesh,111,0,285,2,447,4,226,3,57,0,2,0,13,0,16,0,2,0,0,0,4,0,1,0,1241,125,2405,134
State,Maharashtra,61,0,120,1,174,6,269,0,109,1,7,0,7,0,6,0,31,0,0,0,0,0,31,0,1806,90,2621,98
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1,0,0,0,0,0,0,146,3,256,4
State,Meghalaya,6,1,7,0,12,0,4,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,99,1,134,2
State,Mizoram,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,24,5
State,Nagaland,0,1,5,1,2,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,58,6,87,8
State,Orissa,45,4,57,1,159,4,56,2,191,5,1,0,25,0,3,0,2,0,0,0,0,0,1,0,539,32,1079,48
State,Punjab,14,0,81,5,47,1,96,0,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,469,202,713,216
