Category,States/ UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act Total,Protection of Civil Rights Act for SCs,Protection of Civil Rights Act for STs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act for SCs,SC/ST (Prev.) of Atrocities Act for STs,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
State,ANDHRA PRADESH,96.3,99.2,100,98.8,99.7,92.4,100,91.7,100,100,100,100,100,88.6,NA,93.8,98.4,100,100,99.9,NA,97.4,97,100,54.3,100,100
State,ARUNACHAL PRADESH,82.6,68.4,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1,61.5
State,ASSAM,72.8,95.5,85.3,98.6,NA,40.6,70.8,0,66.7,0,NA,0,95.7,80.8,18.8,NA,83.3,NA,NA,100,NA,NA,NA,NA,50,45.8,60
State,BIHAR,98.2,96.3,100,98.5,100,86.5,84.2,26.7,NA,94.1,94.1,NA,NA,94.8,NA,NA,94.7,100,100,100,NA,91.2,91.3,90,94.9,88.8,95.4
State,CHHATTISGARH,99.9,99.7,100,100,NA,98.9,100,100,NA,100,100,NA,NA,100,NA,100,100,100,NA,100,NA,98.6,97.4,100,100,99.6,99.7
State,GOA,100,96.2,100,NA,NA,100,100,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,84.6,NA,NA,NA,NA,NA,99.4,99.5
State,GUJARAT,97.7,89.8,99.9,100,99.8,96.6,100,40,100,100,100,NA,100,98.9,NA,NA,NA,100,NA,99.6,NA,96.9,96.7,98.6,NA,99.2,99.7
State,HARYANA,98.8,93.6,100,98.8,NA,100,100,44.4,100,NA,NA,NA,NA,100,NA,NA,75,100,NA,100,NA,100,100,NA,NA,94.6,98.5
State,HIMACHAL PRADESH,93.3,94.1,100,99.7,NA,66.7,100,NA,100,100,100,100,NA,100,NA,NA,100,100,NA,100,NA,100,100,NA,84.3,84.8,98.4
State,JAMMU & KASHMIR,55.9,91.4,97.9,99.7,NA,30.1,100,NA,95.2,100,100,NA,100,99.4,0,NA,NA,NA,NA,100,NA,NA,NA,NA,40,80.1,77.8
