Category,States/UTs,Total No. of Persons under Arrest including those from Previous Year,Number of Persons Released before Trial,Number of Persons Charge Sheeted,Number of Persons under Investigation at the end of the year,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,1547,69,1037,441,28.5,16.4
State,Arunachal Pradesh,31,4,20,7,22.6,0.3
State,Assam,206,26,109,71,34.5,2.6
State,Bihar,205,5,80,120,58.5,4.5
State,Chhattisgarh,1057,0,1055,2,0.2,0.1
State,Goa,105,9,53,43,41,1.6
State,Gujarat,1011,0,950,61,6,2.3
State,Haryana,362,0,355,7,1.9,0.3
State,Himachal Pradesh,182,1,148,33,18.1,1.2
State,Jammu & Kashmir,24,0,24,0,0,0
State,Jharkhand,123,0,110,13,10.6,0.5
State,Karnataka,184,4,160,20,10.9,0.7
State,Kerala,706,10,467,229,32.4,8.5
State,Madhya Pradesh,5048,0,5010,38,0.8,1.4
State,Maharashtra,2924,16,2386,522,17.9,19.5
State,Manipur,32,6,1,25,78.1,0.9
State,Meghalaya,31,1,7,23,74.2,0.9
State,Mizoram,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,106,6,90,10,9.4,0.4
State,Punjab,314,23,194,97,30.9,3.6
State,Rajasthan,417,0,417,0,0,0
State,Sikkim,34,0,7,27,79.4,1
State,Tamil Nadu,385,28,278,79,20.5,2.9
State,Tripura,41,1,35,5,12.2,0.2
State,Uttar Pradesh,3244,102,2753,389,12,14.5
State,Uttaranchal,109,0,85,24,22,0.9
State,West Bengal,471,64,174,233,49.5,8.7
State,Total (States),18899,375,16005,2519,13.3,94
Union Territory,A & N Islands,30,0,12,18,60,0.7
Union Territory,Chandigarh,61,0,53,8,13.1,0.3
Union Territory,D & N Haveli,19,0,18,1,5.3,0
Union Territory,Daman & Diu,6,0,5,1,16.7,0
Union Territory,Delhi,691,3,564,124,17.9,4.6
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Pondicherry,22,0,12,10,45.5,0.4
Union Territory,Total (UTs),829,3,664,162,19.5,6
Total (All-India),Total (All-India),19728,378,16669,2681,13.6,100
