Nature of Property,Number of Cases in which Property was Stolen,Number of Cases in which Property was Recovered,Percentage of Recovery (Cases),Value of Property (Rs. In Lakh) Stolen,Value of Property (Rs. In Lakh) Recovered,Percentage Recovery Value
Communication & Electricity Wire,10279,3355,32.6,2650.3,794.2,30
Cattle,6361,3785,59.5,806.7,467.9,58
Cycle,11818,7950,67.3,176.7,122.5,69.3
Motor Vehicles - Total,84150,24640,29.3,46618.4,16425.8,35.2
Motor Vehicles - (i) Motor Cycle & Scooter Etc.,65611,18926,28.8,14990.3,5722.2,38.2
Motor Vehicles - (ii) Motor Car/taxi/jeep,13652,3547,26,18236.2,6195.2,34
Motor Vehicles - (iii) Other Motor Vehicles,4887,2167,44.3,13391.9,4508.5,33.7
Fire Arms,407,94,23.1,111.1,88.6,79.7
Explosives/explosive Substances,149,35,23.5,15.8,47.2,299.3
Electronic Equipments / Components,12087,4751,39.3,3736.6,729.2,19.5
Cultural Property Including Antiques,1012,326,32.2,418.3,310.6,74.2
Other Kinds of Property Stolen,273526,108880,39.8,186365.9,38613.9,20.7
Total,399789,153816,38.5,240899.9,57599.8,23.9
