Category,States/UTs,Total No. of Persons under Arrest* Including those from previous year,Number of Persons Released Before Trial,Number of Persons Charge Sheeted,Number of Persons under Investigation at the end of the year,Pendency Percentage,Percentage of Pendency to all India Total
State,Andhra Pradesh,522750,591,513824,8335,1.6,3.5
State,Arunachal Pradesh,127,39,41,47,37,0
State,Assam,12078,1748,2823,7507,62.2,3.2
State,Bihar,21698,993,13322,7383,34,3.1
State,Chhattisgarh,117967,207,117549,211,0.2,0.1
State,Goa,4897,10,3951,936,19.1,0.4
State,Gujarat,224761,3,211626,13132,5.8,5.5
State,Haryana,28227,8,26715,1504,5.3,0.6
State,Himachal Pradesh,6840,21,5350,1469,21.5,0.6
State,Jammu & Kashmir,3028,97,2772,159,5.3,0.1
State,Jharkhand,5635,752,3400,1483,26.3,0.6
State,Karnataka,42372,1314,38730,2328,5.5,1
State,Kerala,82867,1706,72287,8874,10.7,3.7
State,Madhya Pradesh,266764,7,266374,383,0.1,0.2
State,Maharashtra,253077,114,192263,60700,24,25.6
State,Manipur,1367,475,113,779,57,0.3
State,Meghalaya,594,13,124,457,76.9,0.2
State,Mizoram,1986,0,1620,366,18.4,0.2
State,Nagaland,1128,171,574,383,34,0.2
State,Orissa,19222,17,18359,846,4.4,0.4
State,Punjab,44241,191,29830,14220,32.1,6
State,Rajasthan,44003,4,43906,93,0.2,0
State,Sikkim,312,23,229,60,19.2,0
State,Tamil Nadu,743986,319941,353817,70228,9.4,29.7
State,Tripura,198,21,145,32,16.2,0
State,Uttar Pradesh,1087327,1115,1075577,10635,1,4.5
State,Uttaranchal,128767,193,127917,657,0.5,0.3
State,West Bengal,30997,2941,17217,10839,35,4.6
State,Total (States),3697216,332715,3140455,224046,6.1,94.6
Union Territory,A & N Islands,9023,0,7652,1371,15.2,0.6
Union Territory,Chandigarh,1285,10,1001,274,21.3,0.1
Union Territory,D & N Haveli,80,0,54,26,32.5,0
Union Territory,Daman & Diu,20,0,20,0,0,0
Union Territory,Delhi,40253,79,29133,11041,27.4,4.7
Union Territory,Lakshadweep,9,0,1,8,88.9,0
Union Territory,Pondicherry,1624,0,1539,85,5.2,0
Union Territory,Total (UTs),52294,89,39400,12805,24.5,5.4
Total (All-India),Total (All-India),3749510,332804,3179855,236851,6.3,100
