SL.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Others IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Adilabad,74,62,1,32,34,20,14,87,0,80,191,255,167,17,29,2,1294,2325
2,Andhra Pradesh,Anantpur,120,20,7,17,18,9,9,41,0,17,207,652,399,14,72,7,1732,3323
3,Andhra Pradesh,Chittoor,123,36,1,24,66,46,20,18,0,42,407,1093,412,24,99,9,3439,5793
4,Andhra Pradesh,Cuddapah,105,61,2,12,55,35,20,14,0,23,251,522,363,20,50,10,2017,3505
5,Andhra Pradesh,Godavari East,95,97,0,39,68,38,30,23,0,40,449,1522,196,56,120,8,7954,10667
6,Andhra Pradesh,Godavari West,72,38,0,28,33,18,15,17,0,30,330,950,82,54,98,5,2184,3921
7,Andhra Pradesh,Guntur,192,227,0,52,64,30,34,43,0,92,446,1664,271,58,150,11,3740,7010
8,Andhra Pradesh,Hyderabad,249,195,8,27,56,21,35,34,0,82,1371,3138,651,86,369,31,2470,8767
9,Andhra Pradesh,Kareemnagar,168,46,0,36,49,19,30,105,0,121,285,433,298,21,119,6,2549,4236
10,Andhra Pradesh,Khammam,86,22,2,28,19,18,1,12,1,19,184,500,64,13,39,2,1772,2763
11,Andhra Pradesh,Krishna,112,112,4,51,66,60,6,45,0,69,437,1765,189,47,157,14,3456,6524
12,Andhra Pradesh,Kurnool,163,38,0,11,24,24,0,18,0,17,136,452,92,9,37,3,1754,2754
13,Andhra Pradesh,MahabubNagar,140,71,8,29,38,34,4,55,0,36,135,725,227,9,24,1,1602,3100
14,Andhra Pradesh,Medak,103,105,2,11,43,11,32,76,0,40,256,552,250,23,23,2,1646,3132
15,Andhra Pradesh,Nalgonda,89,17,2,35,42,14,28,69,0,64,236,481,247,27,54,1,2813,4177
16,Andhra Pradesh,Nellore,80,43,0,32,35,35,0,27,2,55,247,693,118,15,42,7,2202,3598
17,Andhra Pradesh,Nizambad,106,32,6,29,27,5,22,99,0,49,201,420,237,7,39,2,1248,2502
18,Andhra Pradesh,Prakasham,88,80,1,13,27,19,8,33,5,31,174,526,224,14,31,5,2321,3573
19,Andhra Pradesh,Ranga Reddy,163,121,10,24,54,54,0,50,0,90,680,1045,394,37,89,0,3453,6210
20,Andhra Pradesh,Srikakulam,51,17,0,8,30,17,13,10,0,9,167,317,132,44,48,4,1569,2406
21,Andhra Pradesh,Vishakhapatnam,70,51,2,20,49,49,0,18,0,50,708,1566,98,60,123,5,4482,7302
22,Andhra Pradesh,Vizianagram,35,13,1,16,11,10,1,6,0,10,120,327,48,35,47,0,2105,2774
23,Andhra Pradesh,Warangal,123,35,0,25,75,14,61,46,0,36,240,429,225,15,48,5,1653,2955
24,Andhra Pradesh,Guntakal Rly.,0,0,0,1,0,0,0,0,0,3,0,235,1,2,1,0,63,306
25,Andhra Pradesh,Secunderabad Rly.,3,1,0,1,0,0,0,2,0,9,0,356,15,1,9,0,36,433
26,Andhra Pradesh,Vijyawada Rly.,4,0,0,0,0,0,0,1,0,7,1,190,5,3,4,0,28,243
27,Andhra Pradesh,Total,2614,1540,57,601,983,600,383,949,8,1121,7859,20808,5405,711,1921,140,59582,104299
1,Arunachal Pradesh,Changlang,1,0,0,0,2,2,0,6,0,3,16,15,0,2,3,0,80,128
2,Arunachal Pradesh,Dibang Valley,2,5,0,1,0,0,0,2,0,5,8,18,6,3,0,1,65,116
3,Arunachal Pradesh,Kameng East,1,3,1,0,0,0,0,2,0,1,21,11,2,2,1,0,51,96
4,Arunachal Pradesh,Kameng West,6,2,0,3,6,4,2,2,0,5,24,29,2,4,1,0,109,193
5,Arunachal Pradesh,Lohit,5,0,0,2,4,4,0,8,0,10,34,42,0,6,2,0,134,247
6,Arunachal Pradesh,Lower Subansiri,9,10,0,4,13,8,5,3,0,12,60,77,3,13,5,0,226,435
7,Arunachal Pradesh,Siang East,4,2,1,3,11,7,4,6,0,19,26,52,9,9,2,0,120,264
8,Arunachal Pradesh,Siang West,5,5,0,2,5,2,3,9,0,8,21,44,5,6,3,0,165,278
9,Arunachal Pradesh,Tawang,0,0,0,1,0,0,0,0,0,0,0,10,0,6,1,0,30,48
10,Arunachal Pradesh,Subansiri Upper,4,4,1,2,6,4,2,4,0,5,24,27,3,10,3,0,151,244
11,Arunachal Pradesh,Tirap,2,5,0,0,3,1,2,0,0,2,13,10,3,2,0,0,98,138
12,Arunachal Pradesh,Total,39,36,3,18,50,32,18,42,0,70,247,335,33,63,21,1,1229,2187
