SL. No.,Category,State/UT/City,Murder - Incidence (I),Murder - Volume (V),Attempt to Commit Murder - Incidence (I),Attempt to Commit Murder - Volume (V),C.H. Not Amounting to Murder - Incidence (I),C.H. Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Total - Incidence (I),Kidnapping & Abduction - Total - Volume (V),Kidnapping & Abduction - Of Women & Girls - Incidence (I),Kidnapping & Abduction - Of Women & Girls - Volume (V),Kidnapping & Abduction - Of Others - Incidence (I),Kidnapping & Abduction - Of Others - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Preparation & Assembly for Dacoity - Incidence (I),Preparation & Assembly for Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Other IPC Crimes - Incidence (I),Other IPC Crimes - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
1,State,Andhra Pradesh,2614,4.1,1540,2.4,5.7,0.1,601,0.9,983,1.5,600,0.9,383,0.6,949,1.5,8,0,1121,1.8,7859,12.4,20808,32.8,5405,8.5,711,1.1,1921,3,140,0.2,59582,93.8,104299,164.2
2,State,Arunachal Pradesh,39,4.8,36,4.4,3,0.4,18,2.2,50,6.1,32,3.9,18,2.2,42,5.2,0,0,70,8.6,247,30.3,335,41.2,33,4.1,63,7.7,21,2.6,1,0.1,1229,151,2187,268.7
3,State,Assam,961,3.9,295,1.2,50,0.2,458,1.9,1109,4.5,1010,4.1,99,0.4,771,3.1,22,0.1,1575,6.4,3320,13.5,7717,31.3,4804,19.5,399,1.6,537,2.2,15,0.1,15470,62.8,37503,152.2
4,State,Bihar,4166,4.9,4531,5.3,564,0.7,1005,1.2,2138,2.5,1219,1.4,919,1.1,3164,3.7,200,0.2,3025,3.5,8486,9.9,21981,25.8,16928,19.8,1424,1.7,1592,1.9,9,0,55201,64.7,124414,145.8
5,State,Goa,30,2.4,6,0.5,9,0.7,10,0.8,27,2.2,17,1.4,10,0.8,1,0.1,0,0,18,1.4,514,41.3,1047,84.2,156,12.5,78,6.3,68,5.5,15,1.2,1759,141.4,3738,300.5
6,State,Gujarat,1392,3.4,885,2.2,8,0,236,0.6,761,1.9,626,1.5,135,0.3,398,1,3,0,881,2.2,6013,14.8,21920,54,2768,6.8,1585,3.9,706,1.7,87,0.2,69619,171.5,107262,264.3
7,State,Haryana,542,3.3,256,1.6,122,0.8,168,1,208,1.3,149,0.9,59,0.4,35,0.2,8,0,120,0.7,2362,14.5,4360,26.8,746,4.6,225,1.4,501,3.1,2,0,19058,117.4,28713,176.8
8,State,Himachal Pradesh,98,1.9,55,1.1,17,0.3,63,1.2,138,2.7,113,2.2,25,0.5,19,0.4,0,0,28,0.6,906,17.9,1030,20.4,570,11.3,112,2.2,116,2.3,1,0,5163,102.2,8316,164.6
9,State,Jammu & Kashmir,546,7.4,454,6.2,12,0.2,121,1.6,347,4.7,322,4.4,25,0.3,21,0.3,0,0,75,1,1450,19.8,2384,32.5,1032,14.1,119,1.6,134,1.8,0,0,8352,113.8,15047,205
10,State,Karnataka,1354,3,506,1.1,49,0.1,164,0.4,505,1.1,296,0.7,209,0.5,302,0.7,1,0,515,1.1,8833,19.7,18050,40.3,8058,18,701,1.6,1714,3.8,896,2,59092,131.8,100740,224.7
