SL. No.,Category,State/UT,Area (in Sqr. Kms.),Estimated Mid-Year Population (in 000),Total Cognizable Crimes (IPC),Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Number of Policemen Per 100 Sqr. Kms. Area,"Number of Policemen Per 1,000 of Population",Number of IPC Cases Per Civil Policeman
1,State,Andhra Pradesh,275068,63509,104299,52023,8845,60868,85.5,22.1,1,2
2,State,Arunachal Pradesh,83743,814,2187,2330,1493,3823,60.9,4.6,4.7,0.9
3,State,Assam,78438,24641,37503,22328,19008,41336,54,52.7,1.7,1.7
4,State,Bihar,173877,85342,124414,58717,16606,75323,78,43.3,0.9,2.1
5,State,Goa,3700,1244,3738,1928,671,2599,74.2,70.2,2.1,1.9
6,State,Gujarat,196024,40583,107262,45741,10236,55977,81.7,28.6,1.4,2.3
7,State,Haryana,44212,16240,28713,24310,4727,29037,83.7,65.7,1.8,1.2
8,State,Himachal Pradesh,55673,5052,8316,8223,3269,11492,71.6,20.6,2.3,1
9,State,Jammu & Kashmir,222236,7339,15047,18188,10465,28653,63.5,12.9,3.9,0.8
10,State,Karnataka,191791,44826,100740,41521,4779,46300,89.7,24.1,1,2.4
11,State,Kerala,38863,29809,68698,27939,6146,34085,82,87.7,1.1,2.5
12,State,Madhya Pradesh,443446,63451,209556,59715,26661,86376,69.1,19.5,1.4,3.5
13,State,Maharashtra,307690,74560,185652,111445,13529,124974,89.2,40.6,1.7,1.7
14,State,Manipur,22327,1774,2260,4671,6578,11249,41.5,50.4,6.3,0.5
15,State,Meghalaya,22429,1706,1716,5464,1851,7315,74.7,32.6,4.3,0.3
16,State,Mizoram,21081,696,1612,2399,1778,4177,57.4,19.8,6,0.7
17,State,Nagaland,16579,1111,1827,7590,8448,16018,47.3,96.6,14.4,0.2
18,State,Orissa,155707,31097,47947,25621,7098,32719,78.3,21,1.1,1.9
19,State,Punjab,50362,19648,16131,40283,9442,49725,81,98.7,2.5,0.4
20,State,Rajasthan,342239,43845,103228,42772,7628,50400,84.9,14.7,1.1,2.4
21,State,Sikkim,7096,440,373,1708,528,2236,76.4,31.5,5.1,0.2
22,State,Tamil Nadu,130058,55919,128529,50686,7897,58583,86.5,45,1,2.5
23,State,Tripura,10486,2547,5652,5607,2718,8325,67.4,79.4,3.3,1
24,State,Uttar Pradesh,294411,134613,193985,126520,33518,160038,79.1,54.4,1.2,1.5
25,State,West Bengal,88752,65185,66644,52183,19985,72168,72.3,81.3,1.1,1.3
Total (States),State,Total (States),3276288,815991,1566029,839892,233904,1073796,78.2,32.8,1.3,1.9
26,UT,A & N Islands,8249,287,919,1558,455,2013,77.4,24.4,7,0.6
27,UT,Chandigarh,114,734,1784,2121,1029,3150,67.3,2763.2,4.3,0.8
28,UT,D & N Haveli,491,131,480,211,0,211,100,43,1.6,2.3
29,UT,Daman & Diu,114,98,204,235,0,235,100,206.1,2.4,0.9
30,UT,Delhi,1483,9024,31848,35606,9486,45092,79,3040.6,5,0.9
31,UT,Lakshadweep,32,46,30,319,0,319,100,996.9,6.9,0.1
32,UT,Pondicherry,492,739,3155,1087,759,1846,58.9,375.2,2.5,2.9
Total (UTs),UT,Total (UTs),10975,11059,38420,41137,11729,52866,77.8,481.7,4.8,0.9
Total (All -India),Total (All -India),Total (All -India),3287263,827050,1604449,881029,245633,1126662,78.2,34.3,1.4,1.8
