SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,665,161.9,174,19.7,0,0,3,0.1,5,5.5,26,7,76,8.7,949,202.8
2,State,Arunachal Pradesh,28,3.5,0,0,0,0,0,0,0,0,4,1.4,10,1.4,42,6.2
3,State,Assam,608,87,49,17.8,1,0.1,9,2,8,122,14,3.3,82,17.7,771,249.9
4,State,Bihar,2184,293.5,389,78.5,0,0,78,4,25,33.5,41,2.8,447,33.5,3164,445.7
5,State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1
6,State,Gujarat,95,21.6,58,111.2,2,0.5,5,0.3,1,0,11,8.1,226,179.4,398,321.1
7,State,Haryana,11,6.4,11,6.9,0,0,0,0,0,0,0,0,13,10.3,35,23.6
8,State,Himachal Pradesh,16,13.8,2,2.6,0,0,0,0,0,0,0,0,1,2.1,19,18.5
9,State,Jammu & Kashmir,3,1.4,0,0,0,0,0,0,18,121.4,0,0,0,0,21,122.8
10,State,Karnataka,74,19.9,20,2.3,0,0,7,0.6,0,0,5,8.2,196,34,302,65
11,State,Kerala,9,0.8,11,0.4,0,0,0,0,1,0.2,2,0.7,45,29.8,68,31.8
12,State,Madhya Pradesh,190,54,30,9.4,0,0,1,0,2,0.7,13,1.3,97,10.2,333,75.6
13,State,Maharashtra,285,142.3,132,75.2,0,0,6,0.5,0,0,39,68.4,292,86.8,754,373.2
14,State,Manipur,3,1.1,2,0.1,0,0,0,0,0,0,0,0,3,0,8,1.2
15,State,Meghalaya,4,0.1,15,7.4,0,0,0,0,0,0,0,0,14,1.8,33,9.3
16,State,Mizoram,2,0.1,0,0,0,0,0,0,0,0,0,0,9,0.8,11,0.9
17,State,Nagaland,5,3.5,2,1.1,0,0,0,0,1,2.6,7,6.7,17,3.1,32,16.9
18,State,Orissa,177,34.8,5,1,0,0,1,0,0,0,0,0,65,17.4,248,53.2
19,State,Punjab,51,42.8,4,2.4,0,0,0,0,18,64.5,2,0.5,21,11.9,96,122.1
20,State,Rajasthan,53,6,3,13.3,0,0,2,0.5,1,2.4,0,0,27,2.2,86,24.4
21,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Tamil Nadu,75,35.8,24,3.9,2,0.6,0,0,1,0.4,0,0,46,13.7,148,54.4
23,State,Tripura,59,11,7,1.4,0,0,0,0,0,0,13,0.7,14,4.5,93,17.7
24,State,Uttar Pradesh,2421,506.8,120,56.5,1,0.5,30,5.8,1,2.7,1,0.1,290,160.8,2864,733
25,State,West Bengal,403,39.1,67,44.4,0,0,26,2.4,14,16,17,3.4,58,12.2,585,117.4
Total (States),State,Total (States),7421,1486.9,1125,455.5,6,1.6,168,16.2,96,371.7,195,112.5,2050,642.3,11061,3086.8
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,1,0.2
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,UT,D & N Haveli,3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0.7
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,13,9.4,2,0,0,0,2,0,0,0,0,0,0,0,17,9.4
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,3,1.1,0,0,0,0,0,0,0,0,0,0,4,1.2,7,2.2
Total (UTs),UT,Total (UTs),19,11.1,2,0,0,0,2,0,0,0,0,0,5,1.4,28,12.5
Total (All -India),Total (All -India),Total (All -India),7440,1498,1127,455.5,6,1.6,170,16.3,96,371.7,195,112.5,2055,643.7,11089,3099.4
33,City,Ahmedabad,4,0.7,0,0,0,0,0,0,1,0,7,5.7,12,3.9,24,10.2
34,City,Bangalore,18,4.7,0,0,0,0,0,0,0,0,0,0,3,1.6,21,6.3
35,City,Bombay,30,91.1,7,9.6,0,0,0,0,0,0,23,65.4,23,47.8,83,213.9
36,City,Calcutta,7,4.4,17,8.9,0,0,0,0,0,0,5,2,12,8.2,41,23.5
37,City,Delhi,11,8.3,2,0,0,0,2,0,0,0,0,0,0,0,15,8.3
38,City,Hyderabad,22,14.3,5,0.2,0,0,0,0,1,2.2,1,0.1,5,0.2,34,17.1
39,City,Jaipur,3,0.3,0,0,0,0,0,0,1,2.4,0,0,0,0,4,2.7
40,City,Kanpur,35,2.4,6,0.1,0,0,0,0,0,0,0,0,0,0,41,2.5
41,City,Lucknow,28,6.2,0,0,0,0,0,0,0,0,0,0,0,0,28,6.2
42,City,Madras,2,13,0,0,0,0,0,0,0,0,0,0,1,2.9,3,15.9
43,City,Nagpur,1,0,0,0,0,0,0,0,0,0,4,0,12,0.3,17,0.4
44,City,Pune,4,3.2,0,0,0,0,0,0,0,0,2,0.3,3,0.9,9,4.4
