SL. No.,Rank,Killed - In Dacoity Operation or Other Raids,Killed - By Riotous Mobs,Killed - By Other Criminals,Killed - On Border Duties,Killed - In Accidents,Killed - Total,Injured - In Dacoity Operation or Other Raids,Injured - By Riotous Mobs,Injured - By Other Criminals,Injured - On Border Duties,Injured - In Accidents,Injured - Total
1,Constables,40,71,211,17,146,485,146,2670,744,37,332,3929
2,Head Constables,6,6,71,3,53,139,30,418,150,4,72,674
3,Asstt. Sub-Inspector,5,2,34,1,15,57,16,119,57,6,27,225
4,Sub-Inspector,13,15,25,2,14,69,34,394,101,4,26,559
5,Inspector,0,2,9,0,2,13,10,163,33,2,4,212
6,Others (Gazetted Officers),1,1,6,0,8,16,22,124,36,0,7,189
Total,Total,65,97,356,23,238,779,258,3888,1121,53,468,5788
