SL. No.,Year,Boys,Girls,Total,Percentage of Girls
1,1980,178129,9456,187585,5
2,1981,181888,8679,190567,4.6
3,1982,157664,10673,168337,6.3
4,1983,160513,11101,171614,6.5
5,1984,149755,12505,162260,7.7
6,1985,157107,11392,168499,6.8
7,1986,159977,10172,170149,6
8,1987,166407,13555,179962,7.5
9,1988,33065,5103,38168,13.4
10,1989,24777,11615,36392,31.9
11,1990,25269,5547,30816,18
