SL. No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector ,SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,152,143,270,259,4830,4185,53757,47436,59009,52023
2,State,Arunachal Pradesh,16,11,24,21,402,379,2170,1919,2612,2330
3,State,Assam,117,117,150,150,4550,4536,17636,17525,22453,22328
4,State,Bihar,196,192,391,385,11745,11580,47905,46560,60237,58717
5,State,Goa,8,6,17,7,274,252,1836,1663,2135,1928
6,State,Gujarat,84,81,157,117,2867,2129,45133,43414,48241,45741
7,State,Haryana,54,54,106,106,2730,2730,21420,21420,24310,24310
8,State,Himachal Pradesh,85,85,84,80,1058,1025,7263,7033,8490,8223
9,State,Jammu & Kashmir,83,81,170,170,2752,2725,15712,15212,18717,18188
10,State,Karnataka,95,97,163,176,3400,3319,38524,37929,42182,41521
11,State,Kerala,65,61,165,157,2222,2089,27784,25632,30236,27939
12,State,Madhya Pradesh,222,222,589,589,8093,8093,50811,50811,59715,59715
13,State,Maharashtra,151,151,348,348,11155,111555,99791,99791,111445,111445
14,State,Manipur,35,28,50,47,1062,806,3966,3790,5113,4671
15,State,Meghalaya,29,18,32,17,1048,914,5076,4515,6185,5464
16,State,Mizoram,21,20,36,33,580,501,2008,1845,2645,2399
17,State,Nagaland,34,34,32,32,703,669,6845,6835,7614,7570
18,State,Orissa,126,126,187,167,5237,4848,21306,20480,26856,25621
19,State,Punjab,145,136,209,112,5553,4492,38484,35543,44391,40283
20,State,Rajasthan,222,222,244,244,4815,4548,38480,37758,43761,42772
21,State,Sikkim,24,23,38,15,193,193,1477,1477,1732,1708
22,State,Tamil Nadu,154,115,320,253,5871,4407,54187,45911,60532,50686
23,State,Tripura,41,27,56,41,1300,1026,6047,4513,7444,5607
24,State,Uttar Pradesh,326,270,901,727,12618,12394,114577,113129,128422,126520
25,State,West Bengal,131,129,224,221,9848,9109,45046,42724,55249,52183
Total (States),State,Total (States),2616,2449,4963,4474,104906,98104,767241,734865,879726,839892
26,UT,A & N Islands,2,2,9,9,243,191,1530,1356,1784,1558
27,UT,Chandigarh,4,4,8,8,308,293,1818,1816,2138,2121
28,UT,D & N Haveli,0,0,1,1,14,12,229,198,244,211
29,UT,Daman & Diu,1,1,2,1,26,17,233,216,262,235
30,UT,Delhi,53,53,155,139,8211,7162,31832,28252,40251,35606
31,UT,Lakshadweep,1,1,1,1,53,47,312,270,367,319
32,UT,Pondicherry,3,3,12,12,119,119,966,953,1100,1087
Total (UTs),UT,Total (UTs),64,64,188,171,8974,7841,36920,33061,46146,41137
Total (All -India),Total (All -India),Total (All -India),2680,2513,5151,4645,113880,105945,804161,767926,925872,881029
33,City,Ahmedabad,12,11,15,14,522,448,5741,5729,6290,6202
34,City,Bangalore,8,8,17,17,714,713,6968,6942,7707,7680
35,City,Bombay,31,30,84,84,4575,4368,26602,20442,31292,24924
36,City,Calcutta,22,21,49,46,2887,2581,10730,9474,13688,12122
37,City,Delhi,53,53,455,139,8211,7162,31832,28252,40251,35606
38,City,Hyderabad,15,15,31,31,607,565,5289,4754,5942,5365
39,City,Jaipur,5,5,9,9,443,442,4446,4446,4903,4902
40,City,Kanpur,3,2,13,13,523,510,4899,4870,5438,5395
41,City,Lucknow,4,4,13,13,426,399,2849,2773,3292,3189
42,City,Madras,11,11,45,45,865,793,9491,8533,10412,9382
43,City,Nagpur,5,5,12,12,418,408,3554,3492,3989,3917
44,City,Pune,6,6,12,12,522,509,3620,3574,4160,4101
