SL. No.,Category,State/UT/City,Arms Act - Incidence (I),Arms Act - Volume (V),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Foreigners Registration Act - Incidence (I),Foreigners Registration Act - Volume (V),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Volume (V),Indian Passport Act - Incidence (I),Indian Passport Act - Volume (V),Essential Commodities Act - Incidence (I),Essential Commodities Act - Volume (V),Terrorist & Disruptive Activites Act - Incidence (I),Terrorist & Disruptive Activites Act - Volume (V),Antiquity & Art Treasure Act - Incidence (I),Antiquity & Art Treasure Act - Volume (V),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Volume (V),Other LSL Crimes - Incidence (I),Other LSL Crimes - Volume (V),Total Cognizable Crimes Under LSL - Incidence (I),Total Cognizable Crimes Under LSL - Volume (V)
1,State,Andhra Pradesh,291,0.5,136,0.2,38067,59.9,3449,5.4,0,0,276,0.4,1182,1.9,29,0,2,0,306,0.5,1,0,28,0,40,0.1,6,0,54,0.1,465807,733.5,509674,802.5
2,State,Arunachal Pradesh,14,1.7,14,1.7,0,0,0,0,0,0,3,0.4,0,0,0,0,3,0.4,0,0,0,0,0,0,5,0.6,0,0,0,0,20,2.5,59,7.2
3,State,Assam,429,1.7,120,0.5,197,0.8,590,2.4,151,0.6,81,0.3,4,0,15,0.1,0,0,0,0,22,0.1,43,0.2,801,3.3,0,0,24,0.1,1119,4.5,3596,14.6
4,State,Bihar,2476,2.9,101,0.1,323,0.4,1200,1.4,1,0,694,0.8,12,0,540,0.6,5,0,6,0,0,0,718,0.8,0,0,0,0,598,0.7,2011,2.4,8685,10.2
5,State,Goa,5,0.4,48,3.9,1216,97.7,5,0.4,0,0,9,0.7,80,6.4,483,38.8,23,1.8,4,0.3,1,0.1,5,0.4,0,0,1,0.1,0,0,883,71,2763,222.1
6,State,Gujarat,331,0.8,247,0.6,10870,26.8,0,0,135372,333.6,46,0.1,3,0,935,2.3,47,0.1,172,0.4,28,0.1,201,0.5,9,0,0,0,3,0,31932,78.7,180196,444
7,State,Haryana,1676,10.3,908,5.6,2546,15.7,12856,79.2,0,0,33,0.2,2,0,352,2.2,1,0,1,0,0,0,120,0.7,10,0.1,0,0,0,0,2549,15.7,21054,129.6
8,State,Himachal Pradesh,21,0.4,79,1.6,45,0.9,3883,76.9,0,0,8,0.2,0,0,2,0,16,0.3,17,0.3,0,0,23,0.5,1,0,0,0,4,0.1,371,7.3,4470,88.5
9,State,Jammu & Kashmir,165,2.2,36,0.5,2,0,7,0.1,0,0,945,12.9,0,0,0,0,3,0,2,0,42,0.6,46,0.6,1498,20.4,0,0,0,0,337,4.6,3083,42
10,State,Karnataka,88,0.2,135,0.3,4896,10.9,1907,4.3,0,0,65,0.1,2291,5.1,18,0,26,0.1,956,2.1,2,0,653,1.5,0,0,5,0,281,0.6,437595,976.2,448918,1001.5
