SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,7997,344.1,1292,83.1,0,0,781,46.3,7,0.1,801,56.4,9930,364.3,20808,894.4
2,State,Arunachal Pradesh,90,7.4,0,0,5,0.5,0,0,0,0,22,1,218,13.5,335,22.5
3,State,Assam,5984,164.7,52,14.9,10,0.1,83,6.4,0,0,240,7.3,1348,57.4,7717,250.7
4,State,Bihar,11336,175.8,557,16.1,38,1,1541,81.3,0,0,1830,12.4,6679,388,21981,674.6
5,State,Goa,321,20.9,13,0.9,25,11,6,0.6,2,0.2,49,4.1,631,37.1,1047,74.8
6,State,Gujarat,3497,123.2,31,2.3,21,2.7,774,101.3,9,0.9,542,31.9,17046,1013,21920,1275.4
7,State,Haryana,1222,150.8,1,0.6,0,0,40,1.1,1,0.1,2,0,3094,553.7,4360,706.3
8,State,Himachal Pradesh,258,22.3,8,5.9,0,0,3,0.1,0,0,20,1.6,741,67.7,1030,97.7
9,State,Jammu & Kashmir,551,25.7,27,56.7,0,0,15,1.2,0,0,102,2.6,1689,122.4,2384,208.5
10,State,Karnataka,6973,437.5,41,13.9,1,0,357,17.4,8,50.9,1052,68.3,9618,503.7,18050,1091.8
11,State,Kerala,1391,98.9,35,4.4,97,7,18,0.5,9,1.3,566,36.3,2441,243.1,4557,391.5
12,State,Madhya Pradesh,22325,647,1700,99.6,46,0.8,1330,43.2,18,3.8,1291,33,16601,381,43311,1208.3
13,State,Maharashtra,17322,1191,1196,66.5,10,0.4,3925,158.2,33,8.5,1322,14,33344,1097.6,57152,2536.2
14,State,Manipur,157,2.6,9,0.4,0,0,0,0,0,0,7,0.3,116,24,289,27.3
15,State,Meghalaya,149,4.4,1,0.2,0,0,0,0,0,0,16,0.8,334,38.3,500,43.6
16,State,Mizoram,284,37.9,0,0,2,0.2,0,0,0,0,18,1.2,206,33.8,510,73.1
17,State,Nagaland,151,30.7,30,0,0,0,0,0,0,0,74,2.4,183,33.3,438,66.4
18,State,Orissa,3200,100.6,75,1,0,0,0,0,0,0,0,0,7419,308.9,10694,410.5
19,State,Punjab,1169,297.2,307,145,0,0,21,12.5,29,20.1,86,8.4,1289,358.6,2901,841.9
20,State,Rajasthan,5727,253.1,1,0,3,0.1,598,12.1,0,0,306,11.4,7287,543.3,13922,820
21,State,Sikkim,46,9.8,0,0,0,0,0,0,0,0,0,0,35,5.3,81,15
22,State,Tamil Nadu,14280,222.2,468,10.5,30,0.4,526,19.3,3,0,1609,25.3,10802,259.8,27718,537.6
23,State,Tripura,393,10.6,0,0,0,0,0,0,0,0,153,2.2,515,7.6,1061,20.4
24,State,Uttar Pradesh,28151,1304.9,1844,54.3,0,0,3350,99.4,0,0,82,9.5,13522,654.2,46949,2122.3
25,State,West Bengal,18430,598.6,464,11.9,0,0,1390,5.3,308,1.4,1296,131.3,7423,1464,29311,2212.5
Total (States),State,Total (States),151404,6282.2,8152,588.2,288,24.1,14758,606.2,427,87.4,11486,461.7,152511,8573.5,339026,16623.4
26,UT,A & N Islands,15,0.8,0,0,0,0,0,0,0,0,0,0,104,1.7,119,2.5
27,UT,Chandigarh,570,67.8,0,0,0,0,0,0,0,0,12,0.5,206,1.7,788,70
28,UT,D & N Haveli,8,0.2,0,0,10,0.1,0,0,0,0,15,2.3,49,1.2,82,3.8
29,UT,Daman & Diu,3,0.1,0,0,0,0,0,0,0,0,0,0,26,1.8,29,1.9
30,UT,Delhi,6039,751.5,120,22.5,0,0,304,18.6,28,6.8,377,20.7,5338,533,12206,1353.1
31,UT,Lakshadweep,4,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0.1
32,UT,Pondicherry,232,12.1,0,0,1,0.9,0,0,0,0,33,0.7,669,16.9,935,30.6
Total (UTs),UT,Total (UTs),6871,832.4,120,22.5,11,1,304,18.6,28,6.8,437,24.2,6394,556.4,14165,1461.9
Total (All -India),Total (All -India),Total (All -India),158275,7114.6,8272,610.7,299,25.2,15062,624.8,455,94.2,11923,486,158905,9129.8,353191,18085.3
33,City,Ahmedabad,927,37.5,0,0,0,0,0,0,2,0.8,195,17.2,3195,222.9,4319,278.4
34,City,Bangalore,3693,190,0,0,0,0,1,0,7,1,588,17.3,2775,141,7064,349.3
35,City,Bombay,3659,576,44,4.5,10,0.4,12,2.3,32,8.5,1148,7.5,10256,41.1,15161,640.4
36,City,Calcutta,3428,410.2,0,0,0,0,3,0.2,8,1.2,216,79.8,2665,198.4,6320,689.8
37,City,Delhi,5996,741.4,110,21.5,0,0,264,17.6,28,6.8,207,180.7,5058,334.9,11663,1302.9
38,City,Hyderabad,1689,99.3,1007,66.3,0,0,0,0,0,0,263,28.7,179,15.6,3138,210
39,City,Jaipur,598,34.2,0,0,0,0,0,0,0,0,133,0.8,802,72.6,1533,107.7
40,City,Kanpur,542,71.8,451,7.2,0,0,0,0,0,0,0,0,545,65.9,1538,145
41,City,Lucknow,1614,39.1,809,21.8,0,0,0,0,0,0,0,0,37,0.2,2460,61.1
42,City,Madras,4735,95.5,0,0,0,0,0,0,0,0,607,7.3,1381,80.7,6723,183.6
43,City,Nagpur,3041,154.6,0,0,0,0,0,0,0,0,43,2.3,0,0,3084,156.9
44,City,Pune,647,26.6,0,0,0,0,0,0,0,0,43,1.6,2243,168.9,2933,197.1
