SL. No.,Category,State/UT/City,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Girls Only,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
1,State,Andhra Pradesh,219,0,217,2,35,436,37,473
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0
3,State,Assam,0,0,52,3,0,52,3,55
4,State,Bihar,0,0,426,12,0,426,12,438
5,State,Goa,0,0,1,1,0,1,1,2
6,State,Gujarat,65,3,314,29,413,379,445,824
7,State,Haryana,12,0,208,0,3,220,3,223
8,State,Himachal Pradesh,1,0,4,0,3,5,3,8
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0
10,State,Karnataka,3,4,17,1,1,20,6,26
11,State,Kerala,0,0,0,0,0,0,0,0
12,State,Madhya Pradesh,59,7,1473,3,258,1532,268,1800
13,State,Maharashtra,406,35,2153,606,492,2559,1133,3692
14,State,Manipur,0,0,0,0,14,0,14,14
15,State,Meghalaya,0,0,0,0,0,0,0,0
16,State,Mizoram,2,0,0,0,24,2,24,26
17,State,Nagaland,0,0,23,0,1,23,1,24
18,State,Orissa,0,0,168,0,0,168,0,168
19,State,Punjab,24,8,76,13,1,100,22,122
20,State,Rajasthan,0,0,74,0,0,74,0,74
21,State,Sikkim,0,0,55,5,0,55,5,60
22,State,Tamil Nadu,993,3,3819,351,684,4812,1038,5850
23,State,Tripura,0,0,0,0,0,0,0,0
24,State,Uttar Pradesh,0,0,39,0,4,39,4,43
25,State,West Bengal,0,0,43,3,0,43,3,46
Total (States),State,Total (States),1784,60,9162,1029,1933,10946,3022,13968
26,UT,A & N Islands,0,0,3,0,0,3,0,3
27,UT,Chandigarh,0,0,0,0,0,0,0,0
28,UT,D & N Haveli,0,0,1,0,0,1,0,1
29,UT,Daman & Diu,0,0,0,0,0,0,0,0
30,UT,Delhi,0,0,0,2,4,0,6,6
31,UT,Lakshadweep,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),0,0,4,2,4,4,6,10
Total (All -India),Total (All -India),Total (All -India),1784,60,9166,1031,1937,10950,3028,13978
33,City,Ahmedabad,7,1,40,11,59,47,71,118
34,City,Bangalore,0,0,8,1,1,8,2,10
35,City,Bombay,0,0,352,506,199,352,705,1057
36,City,Calcutta,0,0,0,0,0,0,0,0
37,City,Delhi,0,0,0,2,4,0,6,6
38,City,Hyderabad,0,0,8,0,0,8,0,8
39,City,Jaipur,0,0,0,0,0,0,0,0
40,City,Kanpur,0,0,0,0,0,0,0,0
41,City,Lucknow,0,0,0,0,0,0,0,0
42,City,Madras,0,0,240,320,450,240,770,1010
43,City,Nagpur,15,1,77,1,2,92,4,96
44,City,Pune,0,0,0,0,0,0,0,0
