SL. No.,Category,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,24,7,1,4,1,1,0,4,0,6,82,165,50,0,0,0,315,659
2,State,Arunachal Pradesh,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,11,21
3,State,Assam,4,0,1,8,1,1,0,7,0,4,53,138,66,0,0,0,46,328
4,State,Bihar,46,27,13,26,31,31,0,6,6,42,83,327,392,17,11,0,456,1540
5,State,Goa,0,0,0,0,0,0,0,0,0,0,11,13,2,2,0,0,10,38
6,State,Gujarat,13,10,1,5,3,2,1,1,0,6,125,233,53,1,6,0,363,820
7,State,Haryana,18,7,10,18,7,7,0,4,0,5,115,120,60,3,5,0,596,968
8,State,Himachal Pradesh,1,0,1,0,2,2,0,0,0,0,11,15,10,0,1,0,47,88
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,5
10,State,Karnataka,11,1,1,1,0,0,0,0,0,3,46,137,17,1,0,0,66,284
11,State,Kerala,3,0,0,1,0,0,0,0,0,1,7,21,23,0,0,0,16,72
12,State,Madhya Pradesh,90,62,1,58,23,22,1,5,2,30,457,524,136,1,9,0,1906,3304
13,State,Maharashtra,103,49,2,43,14,8,6,26,1,67,365,926,471,73,9,0,1996,4145
14,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,State,Meghalaya,0,0,0,0,0,0,0,0,0,1,21,29,12,0,0,0,5,68
16,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,15
17,State,Nagaland,0,0,0,0,0,0,0,3,0,15,33,61,2,0,1,0,48,163
18,State,Orissa,0,1,0,0,0,0,0,0,0,0,44,83,1,0,0,0,44,173
19,State,Punjab,6,2,1,0,0,0,0,0,0,0,2,28,2,0,0,0,13,54
20,State,Rajasthan,14,14,1,11,3,3,0,1,0,2,63,73,92,0,1,0,163,438
21,State,Sikkim,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
22,State,Tamil Nadu,26,31,0,6,2,2,0,0,0,2,222,713,116,1,1,0,403,1523
23,State,Tripura,0,0,0,0,1,1,0,0,0,0,6,13,7,1,0,0,210,238
24,State,Uttar Pradesh,10,4,3,1,2,2,0,2,0,1,1,38,1,0,0,0,28,91
25,State,West Bengal,0,1,2,0,0,0,0,0,0,0,0,14,0,0,0,0,6,23
Total (States),State,Total (States),372,216,38,182,90,82,8,116,9,185,1752,3684,1515,100,44,0,6757,15060
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,6
27,UT,Chandigarh,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,9
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3
29,UT,Daman & Diu,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
30,UT,Delhi,1,2,0,2,1,1,0,0,0,0,12,54,5,4,3,0,27,111
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,2,0,0,0,1,0,1,0,0,0,0,36,0,0,0,0,0,39
Total (UTs),UT,Total (UTs),5,2,0,2,2,1,1,0,0,0,12,94,10,4,3,0,36,170
Total (All -India),Total (All -India),Total (All -India),377,218,38,184,92,83,9,116,9,185,1764,3778,1525,104,47,0,6793,15230
33,City,Ahmedabad,3,0,0,0,3,3,0,0,0,0,18,41,12,1,0,0,82,160
34,City,Bangalore,1,0,0,0,0,0,0,0,0,1,19,54,1,0,0,0,6,82
35,City,Bombay,9,2,0,2,0,0,0,0,1,3,20,210,1,3,1,0,13,265
36,City,Calcutta,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,12
37,City,Delhi,1,2,0,2,1,1,0,0,0,0,12,54,5,4,3,0,27,111
38,City,Hyderabad,1,0,0,0,0,0,0,0,0,0,16,22,0,0,0,0,0,39
39,City,Jaipur,0,2,0,0,0,0,0,0,0,0,13,5,6,0,0,0,4,30
40,City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4
42,City,Madras,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,58,98
43,City,Nagpur,4,0,0,0,0,0,0,0,0,0,13,20,0,0,0,0,17,54
44,City,Pune,0,0,0,0,1,0,1,0,0,1,11,28,3,0,1,0,5,50
