SL. No.,Crime Head,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Percentage of Cases of Recovery,Value of Property (Rs. In lakh) - Stolen,Value of Property (Rs. In lakh) - Recovered,Percentage Recovery
1,Communication and Electric Wire,14216,4243,29.8,778,151.4,19.5
2,Cattle,16659,8515,51.1,431.6,204.8,47.5
3,Cycle,36709,16476,44.9,291.4,109.9,37.7
4,"Motor Cars including Lorries, Buses etc.",9978,4124,41.3,5967.1,3420.7,57.3
5,"Motorcycle, Scooters etc.",21021,7404,35.2,2379.6,1017.9,42.8
6,Fire Arms,2540,479,18.9,194.4,30.6,15.7
7,Explosives,59,23,39,8.4,0.8,9.5
8,Electronic Eqpt.,6324,2060,32.6,342.3,68,19.9
9,Cultural Property including Antiques,739,184,24.9,303.4,272.9,89.9
10,Other kinds of Property Stolen,442352,127965,28.9,31120.5,6578.1,21.1
11,Total,550597,171473,31.1,41816.8,11855,28.3
