SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,6148,587.4,45,4.2,0,0,1,0.1,4,0,435,20.8,1226,63.1,7859,675.5
2,State,Arunachal Pradesh,192,9,0,0,0,0,0,0,0,0,18,5.8,37,1.8,247,16.6
3,State,Assam,2905,128.4,22,0.7,4,0.2,1,0,1,0,122,4.1,265,17.6,3320,151
4,State,Bihar,7178,194.3,0,0,0,0,68,0.5,0,0,212,3.9,1028,78.5,8486,277.2
5,State,Goa,382,36.3,0,0,3,0.7,0,0,1,0,52,6.1,76,4.4,514,47.6
6,State,Gujarat,4383,365,0,0,0,0,0,0,3,0,662,87.9,965,104.1,6013,557
7,State,Haryana,1590,120.2,0,0,0,0,0,0,1,0.1,7,0.5,764,58.7,2362,179.5
8,State,Himachal Pradesh,695,58.3,0,0,0,0,0,0,7,0.1,86,7.5,118,11.4,906,77.2
9,State,Jammu & Kashmir,701,66.4,0,0,0,0,2,0,0,0,190,14.4,557,25.1,1450,105.9
10,State,Karnataka,6692,351.9,0,0,0,0,7,0.2,12,0.1,654,34.4,1468,89,8833,475.6
11,State,Kerala,2621,242.5,0,0,4,0.1,14,0.2,4,0.4,719,168.9,1438,323.8,4800,736
12,State,Madhya Pradesh,19576,606.4,11,0.3,0,0,18,0.4,23,4.9,655,30.5,3761,77.9,24044,720.4
13,State,Maharashtra,13269,1094.5,99,6.4,0,0,7,0.1,7,0,891,163.4,1904,69.6,16177,1334
14,State,Manipur,100,15.6,4,0.2,0,0,0,0,0,0,18,0.2,29,0.7,151,16.7
15,State,Meghalaya,77,3.9,0,0,0,0,0,0,0,0,21,2.2,81,3.8,179,9.8
16,State,Mizoram,118,18.2,0,0,0,0,0,0,0,0,16,0.7,90,15.7,224,34.6
17,State,Nagaland,157,2.6,0,0,0,0,0,0,1,4.7,50,27.9,144,40.4,352,75.6
18,State,Orissa,2467,42.6,0,0,0,0,0,0,0,0,0,0,2731,134.2,5198,176.8
19,State,Punjab,1179,224.7,6,6.8,0,0,0,0,16,1.1,33,17.9,199,89.8,1433,340.3
20,State,Rajasthan,5738,317.6,0,0,0,0,2,0,0,0,97,7.7,1690,51.3,7527,376.6
21,State,Sikkim,53,6.2,0,0,0,0,0,0,0,0,0,0,0,0,53,6.2
22,State,Tamil Nadu,5997,373.2,213,0.2,0,0,6,0,8,0.5,447,19.2,1588,41.1,8259,434.3
23,State,Tripura,579,5,0,0,0,0,0,0,0,0,121,1.2,39,1.8,739,7.9
24,State,Uttar Pradesh,16720,872.9,2,0.1,0,0,0,0,2,0.1,35,4.3,1867,122,18626,999.3
25,State,West Bengal,1471,52.9,9,0.1,0,0,0,0,5,0.1,43,4.8,23,1.2,1551,59.1
Total (States),State,Total (States),100988,5795.9,411,19,11,0.9,126,1.6,95,12,5584,634.3,22088,1427,129303,7890.8
26,UT,A & N Islands,20,1.6,0,0,0,0,0,0,0,0,0,0,65,4.5,85,6.1
27,UT,Chandigarh,119,17.7,0,0,0,0,0,0,0,0,13,1.7,5,0.9,137,20.3
28,UT,D & N Haveli,11,0.6,0,0,0,0,0,0,0,0,11,3.2,4,0.2,26,4
29,UT,Daman & Diu,6,0.4,0,0,0,0,0,0,0,0,4,0.2,7,0.9,17,1.6
30,UT,Delhi,1203,170.9,13,1,0,0,0,0,6,0,38,6.7,292,28.6,1552,207.2
31,UT,Lakshadweep,6,0.3,0,0,0,0,0,0,0,0,0,0,1,0.2,7,0.4
32,UT,Pondicherry,175,11.1,0,0,0,0,0,0,3,0,12,1.2,14,0.8,204,13
Total (UTs),UT,Total (UTs),1540,202.5,13,1,0,0,0,0,9,0,78,13.1,388,35.9,2028,252.5
Total (All -India),Total (All -India),Total (All -India),102528,5998.4,424,20,11,0.9,126,1.6,104,12,5662,647.4,22476,1462.9,131331,8143.4
33,City,Ahmedabad,485,66.7,0,0,0,0,0,0,0,0,194,52.3,235,32.6,914,151.6
34,City,Bangalore,1499,115,0,0,0,0,0,0,4,0.1,93,7.3,154,11.7,1750,134.1
35,City,Bombay,1439,321.1,0,0,0,0,0,0,1,0,628,144.1,287,28,2355,493.2
36,City,Calcutta,287,28,0,0,0,0,0,0,0,0,34,4.1,8,1.1,329,33.2
37,City,Delhi,1103,160.8,13,1,0,0,0,0,6,0,35,6.2,287,25.5,1444,193.5
38,City,Hyderabad,987,106.1,0,0,0,0,0,0,0,0,0,0,384,50.2,1371,111.3
39,City,Jaipur,400,45.2,0,0,0,0,0,0,0,0,10,0.9,88,6,498,52.1
40,City,Kanpur,387,55.8,0,0,0,0,0,0,0,0,0,0,252,32.1,639,87.9
41,City,Lucknow,707,37.8,0,0,0,0,0,0,0,0,0,0,0,0,707,37.8
42,City,Madras,697,49.8,0,0,0,0,0,0,0,0,39,9.8,115,11.4,851,71
43,City,Nagpur,818,54.8,0,0,0,0,0,0,0,0,31,1.7,0,0,849,56.5
44,City,Pune,702,48.7,0,0,0,0,0,0,1,0,40,10,46,10.6,789,69.4
