SL.No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction Total,Kidnapping and Abduction of Women & Girls,Kidnapping and Abduction of Others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Others IPC Crimes,Total Cog. Under IPC
1,Andhra Pradesh,Hyderabad,249,195,8,27,56,21,35,34,0,82,1371,3138,651,86,369,31,2470,8767
2,Andhra Pradesh,Vijayawada,47,35,0,22,36,30,6,25,0,54,253,1111,64,28,126,14,1468,3283
3,Andhra Pradesh,Vishakhapatnam,25,19,1,7,35,35,0,9,0,34,580,1308,68,41,95,3,3224,5449
1,Assam,Guwahati,36,13,1,47,113,110,3,68,0,114,502,1399,301,92,119,4,1901,4710
1,Bihar,Patna,72,93,20,4,47,12,35,39,0,89,132,342,265,121,25,0,871,2120
2,Bihar,Ranchi,12,86,12,11,30,7,23,21,3,185,185,696,89,11,51,0,1179,2571
1,Gujarat,Ahmedabad,152,182,3,20,161,120,41,24,0,96,914,4319,507,163,145,18,8143,14847
2,Gujarat,Bhavnagar,12,15,0,4,7,5,2,1,0,12,40,158,34,10,8,1,609,911
3,Gujarat,Rajkot,28,23,0,9,19,17,2,2,0,10,152,579,43,20,38,2,1780,2705
4,Gujarat,Surat,75,25,0,8,51,42,9,20,1,41,384,1072,150,48,51,6,2622,4554
5,Gujarat,Vadodara,78,81,0,5,50,50,0,43,0,16,402,2145,391,62,38,13,3703,7027
1,Karnataka,Bangalore,132,51,0,21,103,46,57,21,0,129,1750,7064,305,269,718,766,11701,23033
2,Karnataka,Belgaum,12,4,0,0,14,9,5,0,0,5,127,186,51,13,73,4,559,1048
3,Karnataka,Bijapur,2,5,0,2,6,6,0,5,0,8,54,121,60,4,29,1,336,633
4,Karnataka,Davanagore,9,5,0,3,3,2,1,0,0,2,105,140,165,8,30,3,373,846
5,Karnataka,Gulbarga,3,4,0,1,4,4,0,1,0,13,115,160,109,2,29,1,390,832
6,Karnataka,Hubli Dharwad,0,15,0,3,2,2,0,1,0,19,182,322,148,19,50,2,795,1558
7,Karnataka,Mysore,1,10,0,5,8,6,2,6,0,33,299,841,33,29,40,11,1311,2627
