SL. No.,Category,State/UT/City,By Education - Illiterate,By Education - Primary,By Education - Above Primary but Below Matric/ H. Sec.,By Education - Matric/ H. Sec. & Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic-Setup - Lower Income upto Rs. 500 PM,By Economic-Setup - Low/Mid Income (From Rs. 501 to 1000 PM),By Economic-Setup - Middle Income (Rs. 1001 to 2000 PM),By Economic-Setup - UPPer/Mid Income (From Rs. 2001 to 3000 PM),By Economic-Setup - Upper Income (Above Rs. 3000 PM),By Economic-Setup - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total
1,State,Andhra Pradesh,659,413,141,23,1236,568,405,263,1236,873,232,117,12,2,1236,1000,236,1236
2,State,Arunachal Pradesh,15,12,18,2,47,24,23,0,47,7,27,11,2,0,47,44,3,47
3,State,Assam,45,195,242,283,765,398,278,89,765,179,235,161,120,70,765,542,223,765
4,State,Bihar,1083,679,566,94,2422,1410,836,176,2422,1120,161,388,207,91,2422,2317,105,2422
5,State,Goa,25,13,13,0,51,35,6,10,51,33,12,6,0,0,51,47,4,51
6,State,Gujarat,664,1037,297,58,2056,1568,412,76,2056,1336,513,152,42,13,2056,1633,423,2056
7,State,Haryana,782,395,197,92,1466,233,497,736,1466,763,380,223,77,23,1466,933,533,1466
8,State,Himachal Pradesh,31,44,31,20,126,76,44,6,126,60,36,17,9,4,126,100,26,126
9,State,Jammu & Kashmir,2,4,6,2,14,14,0,0,14,4,8,2,0,0,14,14,0,14
10,State,Karnataka,178,158,70,37,443,376,29,38,443,277,87,60,13,6,443,415,28,443
11,State,Kerala,0,51,76,7,134,120,13,1,134,68,44,22,0,0,134,134,0,134
12,State,Madhya Pradesh,2420,1671,728,227,5046,4077,480,489,5046,3401,1180,344,94,27,5046,4836,210,5046
13,State,Maharashtra,2865,1717,2764,190,7536,4706,1677,1153,7536,3607,2414,1174,208,133,7536,6460,1076,7536
14,State,Manipur,13,2,3,0,18,15,3,0,18,12,6,0,0,0,18,18,0,18
15,State,Meghalaya,34,49,17,0,100,46,30,24,100,52,28,15,5,0,100,76,24,100
16,State,Mizoram,0,25,9,24,58,48,10,0,58,0,0,36,20,2,58,49,9,58
17,State,Nagaland,9,57,104,17,187,138,49,0,187,97,69,12,6,3,187,162,25,187
18,State,Orissa,249,55,30,14,348,287,41,20,348,274,54,20,0,0,348,336,12,348
19,State,Punjab,87,10,52,38,187,0,150,37,187,92,0,39,35,21,187,187,0,187
20,State,Rajasthan,358,359,202,77,996,718,262,16,996,426,341,183,46,0,996,951,45,996
21,State,Sikkim,27,36,0,0,63,42,21,0,63,45,18,0,0,0,63,53,10,63
22,State,Tamil Nadu,3892,1883,951,117,6843,3816,1949,1078,6843,4860,1741,240,2,0,6843,6403,440,6843
23,State,Tripura,9,33,182,15,239,208,31,0,239,37,195,7,0,0,239,231,8,239
24,State,Uttar Pradesh,91,18,37,2,148,90,44,14,148,126,22,0,0,0,148,132,16,148
25,State,West Bengal,67,11,0,0,78,70,2,6,78,78,0,0,0,0,78,78,0,78
Total (States),State,Total (States),13605,8927,6736,1339,30607,19083,7292,4232,30607,17827,8258,3229,898,395,30607,27151,3456,30607
26,UT,A & N Islands,0,11,0,0,11,11,0,0,11,0,11,0,0,0,11,11,0,11
27,UT,Chandigarh,3,0,5,1,9,7,2,0,9,3,0,3,3,0,9,9,0,9
28,UT,D & N Haveli,3,2,0,0,5,0,5,0,5,5,0,0,0,0,5,5,0,5
29,UT,Daman & Diu,0,0,2,0,2,2,0,0,2,0,2,0,0,0,2,2,0,2
30,UT,Delhi*,0,0,117,0,117,117,0,0,117,117,0,0,0,0,117,117,0,117
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,35,20,10,0,65,18,35,12,65,40,16,9,0,0,65,57,8,65
Total (UTs),UT,Total (UTs),41,33,134,1,209,155,42,12,209,165,29,12,3,0,209,201,8,209
Total (All -India),Total (All -India),Total (All -India),13646,8960,6870,1340,30816,19238,7334,4244,30816,17992,8287,3241,901,395,30816,27352,3464,30816
33,City,Ahmedabad,79,113,66,28,286,89,161,36,286,50,96,30,110,0,286,194,92,286
34,City,Bangalore,105,54,15,4,178,149,15,14,178,135,32,5,4,2,178,164,14,178
35,City,Bombay,550,382,746,0,1678,1454,126,98,1678,894,1616,58,16,94,1678,1360,318,1678
36,City,Calcutta,12,3,0,0,15,14,0,1,15,15,0,0,0,0,15,15,0,15
37,City,Delhi*,0,0,117,0,117,117,0,0,117,117,0,0,0,0,117,117,0,117
38,City,Hyderabad,33,20,13,0,66,54,0,12,66,15,14,37,0,0,66,66,0,66
39,City,Jaipur,28,8,6,0,42,27,11,4,42,36,6,0,0,0,42,40,2,42
40,City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,City,Lucknow,4,0,10,0,14,17,0,0,14,14,0,0,0,0,14,14,0,14
42,City,Madras,834,142,52,39,1067,302,486,279,1067,1020,47,0,0,0,1067,1052,15,1067
43,City,Nagpur,96,54,0,0,150,150,0,0,150,132,18,0,0,0,150,128,22,150
44,City,Pune,0,0,63,0,63,12,33,18,63,0,63,0,0,0,63,63,0,63
