SL. No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector ,SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,19,17,31,28,682,642,8572,8158,9304,8845
2,State,Arunachal Pradesh,4,1,12,2,49,40,1452,1450,1517,1493
3,State,Assam,36,36,124,124,740,740,18770,18108,19670,19008
4,State,Bihar,23,23,63,63,1102,1090,15890,15430,17078,16606
5,State,Goa,1,0,4,3,42,40,660,628,707,671
6,State,Gujarat,15,14,33,26,393,157,11815,10039,12256,10236
7,State,Haryana,7,7,16,16,299,299,4405,4405,4727,4727
8,State,Himachal Pradesh,5,5,16,14,159,153,3163,3097,3343,3269
9,State,Jammu & Kashmir,27,27,88,80,599,582,9976,9776,10690,10465
10,State,Karnataka,7,1,15,1,209,164,4712,4613,4943,4779
11,State,Kerala,15,13,29,27,254,234,6289,5872,6587,6146
12,State,Madhya Pradesh,58,58,107,107,2431,2431,24065,24065,26661,2661
13,State,Maharashtra,12,12,44,44,759,1759,12714,12714,13529,13529
14,State,Manipur,25,12,54,33,255,184,6950,6349,7284,6578
15,State,Meghalaya,4,4,17,12,76,69,1985,1766,2082,1851
16,State,Mizoram,6,6,18,15,90,84,2297,1673,2411,1778
17,State,Nagaland,13,13,80,73,326,298,8064,8064,8483,8448
18,State,Orissa,17,17,80,76,425,406,6667,6599,7189,7098
19,State,Punjab,15,15,97,89,492,475,9199,8863,9803,9442
20,State,Rajasthan,14,14,40,40,271,234,7637,7340,7962,7628
21,State,Sikkim,1,1,5,3,28,11,787,513,821,528
22,State,Tamil Nadu,2,15,44,39,336,333,7823,7510,8205,7897
23,State,Tripura,10,6,46,17,185,107,4009,2588,4250,2718
24,State,Uttar Pradesh,42,40,138,86,1172,1168,32644,32224,33996,33518
25,State,West Bengal,50,42,113,106,1020,733,21770,19104,22953,19985
Total (States),State,Total (States),428,399,1314,1124,12394,11433,232315,220948,246451,233904
26,UT,A & N Islands,1,1,1,1,17,17,490,436,509,455
27,UT,Chandigarh,0,0,1,1,32,28,1065,1000,1098,1029
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,11,10,30,30,551,527,8919,8919,10683,9486
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,2,2,30,26,796,731,828,759
Total (UTs),UT,Total (UTs),12,11,34,34,630,598,12442,11086,13118,11729
Total (All -India),Total (All -India),Total (All -India),440,410,1348,1158,13024,12031,244757,232034,259569,245633
33,City,Ahmedabad,1,1,1,1,13,9,2456,2429,2471,2440
34,City,Bangalore,1,1,10,10,158,154,3293,3221,3462,3386
35,City,Bombay,0,0,0,0,342,342,6722,6722,7064,7064
36,City,Calcutta,9,9,34,32,320,294,7387,7206,7750,7541
37,City,Delhi,11,10,30,30,551,527,10091,8919,10683,9486
38,City,Hyderabad,2,2,3,3,112,61,1864,1680,1981,1746
39,City,Jaipur,0,0,0,0,0,0,0,0,0,0
40,City,Kanpur,0,0,0,0,0,0,0,0,0,0
41,City,Lucknow,0,0,0,0,34,31,1898,1866,1932,1897
42,City,Madras,0,0,0,0,0,0,0,0,0,0
43,City,Nagpur,0,0,0,0,0,0,0,0,0,0
44,City,Pune,0,0,0,0,64,64,1055,1055,1119,1119
