SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,435,55.8,451,64.8,0,0,19,1.7,1,0.1,34,4.8,181,17.4,1121,144.6
2,State,Arunachal Pradesh,26,1.8,7,0.3,0,0,0,0,0,0,14,1,23,1.2,70,4.3
3,State,Assam,1079,65.8,100,7.5,4,0.2,3,0,2,0.4,28,1.5,359,27.5,1575,102.9
4,State,Bihar,1050,57.5,703,55.3,0,0,94,2.3,14,36.7,37,2.3,1127,71.5,3025,225.6
5,State,Goa,2,0.1,1,0,0,0,1,0.3,0,0,1,1.1,13,0.7,18,2.1
6,State,Gujarat,196,16.4,73,19.9,1,0,10,0.7,2,14.2,21,8.5,578,38.7,881,98.4
7,State,Haryana,21,3.6,41,35.3,0,0,2,0.1,3,0.9,0,0,53,35.3,120,75.2
8,State,Himachal Pradesh,0,0,4,1.7,0,0,0,0,0,0,7,8.6,17,1,28,11.3
9,State,Jammu & Kashmir,11,2.2,3,0.7,0,0,0,0,9,2,20,3.2,32,6.5,75,14.6
10,State,Karnataka,123,12.7,31,6.1,1,0,9,0.6,0,0,9,3.3,342,26.4,515,49.2
11,State,Kerala,49,4,26,3.7,2,0.3,1,0.6,0,0,0,0,153,15.5,231,24.2
12,State,Madhya Pradesh,631,43.2,488,27.6,4,0,22,0.5,1,0.2,36,0.9,1394,63.2,2576,135.6
13,State,Maharashtra,623,84.5,371,138.9,11,4,83,6.4,0,0,215,82.8,2123,255.8,3426,572.4
14,State,Manipur,18,7.7,6,0.2,0,0,0,0,0,0,4,0.2,13,1.7,41,9.8
15,State,Meghalaya,0,0,15,0.9,0,0,0,0,0,0,0,0,32,8.2,47,9.1
16,State,Mizoram,13,0,4,0,0,0,0,0,1,0.2,0,0,27,0.2,45,0.4
17,State,Nagaland,29,15.9,25,10.8,0,0,0,0,0,0,27,6.3,61,45,142,78
18,State,Orissa,298,13.2,39,2.2,0,0,7,0.1,0,0,0,0,315,28.8,659,44.2
19,State,Punjab,254,43.3,80,21.5,0,0,1,0.1,59,115.8,37,12.1,136,34.3,567,227.1
20,State,Rajasthan,299,15.2,39,28.7,1,0,16,0.2,0,0,0,0,715,38.4,1070,82.4
21,State,Sikkim,3,1.8,0,0,0,0,0,0,0,0,0,0,7,2.5,10,4.3
22,State,Tamil Nadu,196,23.1,88,35.8,1,0.1,11,0.3,1,0.2,3,4.8,246,16.3,546,80.6
23,State,Tripura,46,0.9,79,0.5,0,0,0,0,0,0,22,0.1,29,0.7,176,2.2
24,State,Uttar Pradesh,3981,427.9,1233,133.8,2,0.1,84,5.4,1,1.9,0,0,2067,81.6,7368,650.7
25,State,West Bengal,386,15.4,191,58.8,0,0,36,0.9,8,0.8,20,3.1,210,36.6,851,115.8
Total (States),State,Total (States),9769,912.1,4098,655.1,27,4.7,399,20.1,102,173.3,535,144.6,10253,855.1,25183,2765
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
27,UT,Chandigarh,1,0,0,0,0,0,0,0,0,0,3,1.9,6,7.8,10,9.7
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
30,UT,Delhi,92,14.6,15,3.2,0,0,2,3.4,2,3.4,19,3,96,22.3,226,49.8
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,7,0.7,0,0,0,0,0,0,0,0,0,0,7,1.4,14,2.1
Total (UTs),UT,Total (UTs),100,15.3,15,3.2,0,0,2,3.4,2,3.4,22,5,116,31.5,257,61.7
Total (All -India),Total (All -India),Total (All -India),9869,927.4,4113,658.3,27,4.7,401,23.5,104,176.6,557,149.6,10369,886.6,25440,2826.7
33,City,Ahmedabad,21,3.6,3,0.1,0,0,0,0,0,0,14,7.7,58,17.7,96,29
34,City,Bangalore,40,4.8,1,0.3,0,0,0,0,0,0,2,3.2,86,8.4,129,16.6
35,City,Bombay,138,54.8,86,96,11,4,0,0,0,0,148,81.2,488,40,871,275.9
36,City,Calcutta,18,5.7,90,39.6,0,0,0,0,0,0,6,2,25,28,139,75.3
37,City,Delhi,80,12.6,15,3.2,0,0,2,3.4,2,3.4,19,3,84,18.3,202,43.8
38,City,Hyderabad,25,7.9,48,6.1,0,0,0,0,0,0,3,0.9,6,0.5,82,15.3
39,City,Jaipur,0,0,4,2.5,0,0,0,0,0,0,0,0,57,5.8,61,8.3
40,City,Kanpur,18,4.8,31,1.7,0,0,0,0,0,0,0,0,66,0,115,6.5
41,City,Lucknow,69,3.3,52,2.8,0,0,0,0,0,0,0,0,0,0,121,6.1
42,City,Madras,49,10,21,2,0,0,0,0,0,0,7,4.8,43,4.2,120,21
43,City,Nagpur,8,0.2,0,0,0,0,0,0,0,0,29,0.6,296,13.2,333,14
44,City,Pune,9,2.7,4,0.4,0,0,0,0,0,0,7,0.6,106,10.4,126,14.1
