SL. No. (Col. 1),Crime Head (Col. 2),Total No. of Cases for Investigation Including Pending Cases (Col. 3),Number of Cases in which - Investigation was Refused (Col. 4),Number of Cases in which - Investigation was Completed - Charge Found False/ Mistake of Law etc. (Col. 5),Number of Cases in which - Investigation was Completed - Final Report True Submitted (Col. 6),Number of Cases in which - Investigation was Completed - Chargesheets were Laid (Col. 7),Number of Cases in which - Investigation was Completed - Total (Col. 5+6+7) (Col. 8),Number of Cases in which - Number of Cases Pending Investigation (Col. 9)
1,Arms Act,66374,32,206,1179,56181,57566,8776
2,Narcotic Drugs & Psychotropic Substances Act,19428,28,63,365,12849,13277,6123
3,Gambling Act,173440,15,31,311,166664,167006,6419
4,Excise Act,106659,1199,151,2041,91018,93210,12250
5,Prohibition Act,745073,7055,3513,30099,600900,634512,103506
6,Explosive & Explosive Substances Act,8629,12,137,13825,3372,4891,3726
7,Immoral Traffic (P) Act,17552,1,9,2,15861,15872,1679
8,Indian Railways Act,40147,4044,251,1038,33479,34768,1335
9,Registration of Foreigners Act,2645,6,19,36,2377,2432,207
10,Protection Of Civil Rights Act,4131,24,573,101,2799,3473,634
11,Indian Passport Act,962,52,16,45,646,707,203
12,Essential Commodities Act,9328,5,324,567,4889,5780,3543
13,Terrorist & Disruptive Activites Act,4114,2,8,1012,268,1288,2824
14,Antiquity & Art Treasure Act,23,2,2,4,7,13,8
15,Dowry Prohibition Act,2809,7,206,113,1743,2062,740
16,Other L & SL Crimes,2373169,2400,51229,33936,2218138,2303303,67466
17,Total Cognizable Crimes Under L & SL,3574483,14884,56738,72231,3211191,3340160,219439
