SL. No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector ,SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,0,0,0,0,20,14,542,388,562,402
2,State,Arunachal Pradesh,0,0,0,0,13,9,52,52,65,61
3,State,Assam,0,0,0,0,22,22,201,196,223,218
4,State,Bihar,2,2,2,2,44,42,245,240,293,286
5,State,Goa,0,0,0,0,4,9,163,180,167,189
6,State,Gujarat,2,2,0,0,40,29,707,648,749,679
7,State,Haryana,0,0,0,0,19,19,169,169,188,188
8,State,Himachal Pradesh,0,0,1,1,3,4,41,191,45,196
9,State,Jammu & Kashmir,0,0,0,0,13,9,162,85,175,94
10,State,Karnataka,1,1,0,0,28,26,303,303,332,330
11,State,Kerala,0,0,0,0,25,25,467,448,492,473
12,State,Madhya Pradesh,0,0,1,1,133,133,919,919,1053,1053
13,State,Maharashtra,0,0,3,3,165,165,1672,1672,1840,1840
14,State,Manipur,0,0,0,3,1,6,243,235,244,244
15,State,Meghalaya,0,0,0,0,4,24,40,95,44,119
16,State,Mizoram,0,0,0,0,0,4,0,74,0,78
17,State,Nagaland,0,0,0,0,15,9,22,22,37,31
18,State,Orissa,0,0,1,1,59,56,169,167,229,224
19,State,Punjab,0,1,0,0,20,28,355,422,375,451
20,State,Rajasthan,1,1,1,1,28,28,479,479,509,509
21,State,Sikkim,0,0,0,1,10,10,12,12,22,23
22,State,Tamil Nadu,0,0,0,0,118,70,1138,702,1256,772
23,State,Tripura,0,0,0,1,22,22,175,175,197,198
24,State,Uttar Pradesh,0,0,0,0,53,122,1390,1390,1443,1512
25,State,West Bengal,0,0,1,1,176,121,259,181,436,303
Total (States),State,Total (States),6,7,10,15,1035,1006,9925,9445,10976,10473
26,UT,A & N Islands,0,0,0,0,4,4,43,43,47,47
27,UT,Chandigarh,0,0,0,0,2,14,22,84,24,98
28,UT,D & N Haveli,0,0,0,0,0,0,0,12,0,12
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,0,0,1,1,348,214,847,634,1196,849
31,UT,Lakshadweep,0,0,0,0,1,0,7,7,8,7
32,UT,Pondicherry,0,0,0,0,2,2,12,12,14,14
Total (UTs),UT,Total (UTs),0,0,1,1,357,234,931,792,1289,1027
Total (All -India),Total (All -India),Total (All -India),6,7,11,16,1392,1240,10856,10237,12265,11500
33,City,Ahmedabad,0,0,0,0,7,7,132,132,139,139
34,City,Bangalore,0,0,0,0,19,19,133,133,152,152
35,City,Bombay,0,0,3,3,117,117,562,562,682,682
36,City,Calcutta,0,0,1,1,83,75,80,78,164,154
37,City,Delhi,0,0,1,1,348,214,847,624,1196,849
38,City,Hyderabad,0,0,0,0,9,5,119,51,128,56
39,City,Jaipur,0,0,1,1,3,3,66,66,70,70
40,City,Kanpur,0,0,0,0,4,4,43,43,47,47
41,City,Lucknow,0,0,0,0,4,4,43,43,47,47
42,City,Madras,0,0,0,0,9,7,122,109,131,116
43,City,Nagpur,0,0,0,0,5,5,54,54,59,59
44,City,Pune,0,0,0,0,6,6,73,73,79,79
