SL. No.,Event,Number of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Riot Control,1051,281,1200,5,1526
2,Anti-Dacoity Operations,141,130,30,2,83
3,Against Extremists and Terrorists,618,672,128,143,394
4,Against Others,229,99,142,8,204
Total,Total,2039,1182,1500,158,2207
