SL. No.,Category,State/UT,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Volume of Total Cognizable Crimes,Rank of* Criminality
1,State,Andhra Pradesh,104299,6.5,164.2,22
2,State,Arunachal Pradesh,2187,0.1,268.7,7
3,State,Assam,37503,2.3,152.2,24
4,State,Bihar,124414,7.8,145.8,25
5,State,Goa,3738,0.2,300.5,6
6,State,Gujarat,107262,6.7,264.3,8
7,State,Haryana,28713,1.8,176.8,19
8,State,Himachal Pradesh,8316,0.5,164.6,20
9,State,Jammu & Kashmir,15047,0.9,205,18
10,State,Karnataka,100740,6.3,224.7,15
11,State,Kerala,68698,4.3,230.5,13
12,State,Madhya Pradesh,209556,13.1,330.3,4
13,State,Maharashtra,185652,11.6,249,9
14,State,Manipur,2260,0.1,127.4,27
15,State,Meghalaya,1716,0.1,100.6,29
16,State,Mizoram,1612,0.1,231.6,12
17,State,Nagaland,1827,0.1,164.4,21
18,State,Orissa,47947,3,154.2,23
19,State,Punjab,16131,1,82.1,31
20,State,Rajasthan,103228,6.4,235.4,11
21,State,Sikkim,373,0,84.8,30
22,State,Tamil Nadu,128529,8,229.8,14
23,State,Tripura,5652,0.4,221.9,16
24,State,Uttar Pradesh,193985,12.1,144.1,26
25,State,West Bengal,66644,4.2,102.2,28
Total (States),State,Total (States),1566029,97.6,191.9,NA
26,UT,A & N Islands,919,0.1,320.2,5
27,UT,Chandigarh,1784,0.1,243.1,10
28,UT,D & N Haveli,480,0,366.4,2
29,UT,Daman & Diu,204,0,208.2,17
30,UT,Delhi,31848,2,352.9,3
31,UT,Lakshadweep,30,0,65.2,32
32,UT,Pondicherry,3155,0.2,426.9,1
Total (UTs),UT,Total (UTs),38420,2.4,347.4,NA
Total (All -India),Total (All -India),Total (All -India),1604449,100,194,NA
