SL. No.,Category,State/UT/City,Murder - 1989,Murder - 1990,Murder - Percentage Variation,Attempt to Commit Murder - 1989,Attempt to Commit Murder - 1990,Attempt to Commit Murder - Percentage Variation,C.H. Not Amounting to Murder - 1989,C.H. Not Amounting to Murder - 1990,C.H. Not Amounting to Murder - Percentage Variation,Rape - 1989,Rape - 1990,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1989,Kidnapping & Abduction - Total - 1990,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - Of Women & Girls - 1989,Kidnapping & Abduction - Of Women & Girls - 1990,Kidnapping & Abduction - Of Women & Girls - Percentage Variation,Kidnapping & Abduction - Of Others - 1989,Kidnapping & Abduction - Of Others - 1990,Kidnapping & Abduction - Of Others - Percentage Variation,Dacoity - 1989,Dacoity - 1990,Dacoity - Percentage Variation,Preparation & Assembly for Dacoity - 1989,Preparation & Assembly for Dacoity - 1990,Preparation & Assembly for Dacoity - Percentage Variation,Robbery - 1989,Robbery - 1990,Robbery - Percentage Variation,Burglary - 1989,Burglary - 1990,Burglary - Percentage Variation,Theft - 1989,Theft - 1990,Theft - Percentage Variation,Riots - 1989,Riots - 1990,Riots - Percentage Variation,Criminal Breach of Trust - 1989,Criminal Breach of Trust - 1990,Criminal Breach of Trust - Percentage Variation,Cheating - 1989,Cheating - 1990,Cheating - Percentage Variation,Counterfeiting - 1989,Counterfeiting - 1990,Counterfeiting - Percentage Variation,Other IPC Crimes - 1989,Other IPC Crimes - 1990,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1989,Total Cognizable Crimes Under IPC - 1990,Total Cognizable Crimes Under IPC - Percentage Variation
1,State,Andhra Pradesh,2299,2614,13.7,1449,1540,6.3,70,57,-18.6,583,601,3.1,744,983,32.1,491,600,22.2,253,383,51.4,765,949,24.1,1,8,700,997,1121,12.4,7751,7859,1.4,20200,20808,3,5246,5405,3,854,711,-16.7,1940,1921,-1,86,140,62.8,55127,59582,8.1,98112,104299,6.3
2,State,Arunachal Pradesh,43,39,-9.3,35,36,2.9,7,3,-57.1,21,18,-14.3,52,50,-3.8,44,32,-27.3,8,18,125,32,42,31.3,0,0,0,46,70,52.2,247,247,0,371,335,-9.7,19,33,73.7,26,63,142.3,24,21,-12.5,0,1,@,1079,1229,13.9,2002,2187,9.2
3,State,Assam,988,961,-2.7,324,295,-9,82,50,-39,471,458,-2.8,1047,1109,5.9,1001,1010,-0.9,46,99,115.2,703,771,9.7,20,22,10,704,1575,123.7,3865,3320,-14.1,8438,7717,-8.5,4619,4804,4,521,399,-23.4,552,537,-2.7,4,15,275,17161,15470,-9.9,39499,37503,-5.1
4,State,Bihar,3850,4166,8.2,3788,4531,19.6,568,564,-0.7,956,1005,5.1,1874,2138,14.1,1414,1219,-13.8,460,919,99.8,3188,3164,-0.8,306,200,-34.6,2508,3025,20.6,8641,8486,-1.8,20498,21981,7.2,15665,16928,8.1,1634,1424,-12.9,1522,1592,4.6,8,9,12.5,49299,55201,12,114305,124414,8.8
5,State,Goa,21,30,42.9,6,6,0,12,9,-25,16,10,-37.5,28,27,-3.6,10,17,70,18,10,-44.4,6,1,-83.3,0,0,0,24,18,-25,523,514,-1.7,1141,1047,-8.2,319,156,-51.1,61,78,27.9,70,68,-2.9,32,15,-53.1,1966,1759,-10.5,4225,3738,-11.5
6,State,Gujarat,1152,1392,20.8,573,885,54.5,25,8,-68,215,236,9.8,719,761,5.8,603,626,3.8,116,135,16.4,245,398,62.4,0,3,@,806,881,9.3,5771,6013,4.2,20299,21920,8,1853,2768,49.4,1374,1585,15.4,791,706,-10.7,103,87,-15.5,61268,69619,13.6,95194,107262,12.7
7,State,Haryana,484,542,12,221,256,15.8,129,122,-5.4,155,168,8.4,275,208,-24.4,107,149,39.3,168,59,-64.9,18,35,94.4,9,8,-11.1,119,120,0.8,2645,2362,-10.7,4130,4360,5.6,657,746,13.5,333,225,-32.4,491,501,2,10,2,-80,18656,19058,2.2,28332,28713,1.3
8,State,Himachal Pradesh,105,98,-6.7,49,55,12.2,12,17,41.7,60,63,5,127,138,8.7,112,113,0.9,15,25,66.7,0,19,@,0,0,0,29,28,-3.4,803,906,12.8,882,1030,16.8,366,570,55.7,91,112,23.1,117,116,-0.7,3,1,-66.7,4524,5163,14.1,7168,8316,16
9,State,Jammu & Kashmir,119,546,358.8,505,454,-10.1,9,12,33.3,176,121,-31.3,532,347,-34.8,528,322,-39,4,25,525,17,21,23.5,0,0,0,43,75,74.4,1651,1450,-12.2,3238,2384,-26.4,2306,1032,-55.2,151,119,-21.2,234,134,-42.7,0,0,0,12461,8352,-33,21442,15047,-29.8
10,State,Karnataka,1222,1354,10.8,405,506,24.9,47,49,4.3,170,164,-3.5,433,505,16.6,285,296,3.9,148,209,41.2,228,302,32.5,0,1,@,493,515,4.5,7832,8833,12.8,16649,18050,8.4,6748,8058,19.4,882,701,-20.5,1530,1714,12,787,896,13.9,55014,59092,7.4,92440,100740,9
