SL. No.,Category,State/UT/City,Arrested & Sent to Courts,Sent to Home After Advice or Admonition,Released on Probation and placed Under Care of - Parents/ Guardians,Released on Probation and placed Under Care of - Fit instt.,Sent to Special Homes,Dealt with Fine,Acquitted or Otherwise Disposed of,Pending Disposal
1,State,Andhra Pradesh,1236,64,149,40,157,391,215,220
2,State,Arunachal Pradesh,47,8,20,0,0,5,6,8
3,State,Assam,765,17,314,16,26,0,45,347
4,State,Bihar,2422,765,366,431,60,102,378,320
5,State,Goa,51,4,4,3,4,0,36,0
6,State,Gujarat,2056,76,104,19,59,204,603,991
7,State,Haryana,1466,9,0,0,0,475,197,785
8,State,Himachal Pradesh,126,1,4,0,0,2,5,114
9,State,Jammu & Kashmir,14,0,0,0,0,0,0,14
10,State,Karnataka,443,95,96,26,39,3,26,158
11,State,Kerala,134,0,0,0,2,20,21,91
12,State,Madhya Pradesh,5046,1598,366,93,219,809,436,1525
13,State,Maharashtra,7536,915,245,245,291,439,628,4773
14,State,Manipur,18,6,0,0,0,8,4,0
15,State,Meghalaya,100,0,0,0,0,12,23,65
16,State,Mizoram,58,0,18,15,0,4,12,9
17,State,Nagaland,187,0,180,0,0,7,0,0
18,State,Orissa,348,2,5,11,0,3,134,193
19,State,Punjab,187,15,27,0,72,28,14,31
20,State,Rajasthan,996,29,74,25,37,14,27,790
21,State,Sikkim,63,63,0,0,0,0,0,0
22,State,Tamil Nadu,6843,187,3629,207,344,1816,151,509
23,State,Tripura,239,0,0,0,0,0,239,0
24,State,Uttar Pradesh,148,23,3,5,11,5,73,28
25,State,West Bengal,78,7,10,0,5,2,48,6
Total (States),State,Total (States),30607,3884,5614,1136,1326,4349,3321,10977
26,UT,A & N Islands,11,0,0,0,0,0,5,6
27,UT,Chandigarh,9,3,6,0,0,0,0,0
28,UT,D & N Haveli,5,0,2,0,0,1,0,2
29,UT,Daman & Diu,2,0,0,0,0,0,1,1
30,UT,Delhi,117,1,2,0,0,1,0,113
31,UT,Lakshadweep,0,0,0,0,0,0,0,0
32,UT,Pondicherry,65,5,38,0,12,0,4,6
Total (UTs),UT,Total (UTs),209,9,48,0,12,2,10,128
Total (All -India),Total (All -India),Total (All -India),30816,3893,5662,1136,1338,4351,3331,11105
33,City,Ahmedabad,286,46,44,0,18,63,54,79
34,City,Bangalore,178,31,77,12,82,0,1,39
35,City,Bombay,1678,432,38,78,5,158,300,590
36,City,Calcutta,15,0,0,0,0,0,8,2
37,City,Delhi,117,1,2,0,0,1,0,113
38,City,Hyderabad,66,36,0,0,5,0,27,3
39,City,Jaipur,42,6,29,2,0,0,0,0
40,City,Kanpur,0,0,0,0,0,0,0,0
41,City,Lucknow,14,14,0,0,0,0,0,0
42,City,Madras,1067,0,304,0,0,702,20,41
43,City,Nagpur,150,0,9,0,23,2,0,116
44,City,Pune,63,0,21,0,25,12,5,0
