SL. No.,Year,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,1980,15617,3559,22.8
2,1981,16242,5341,32.9
3,1982,17657,4822,27.3
4,1983,17055,4933,28.9
5,1984,23825,6818,28.6
6,1985,22642,6712,29.6
7,1986,21925,7615,34.7
8,1987,34444,8100,23.5
9,1988,33084,9057,27.4
10,1989,33487,11287,33.7
11,1990,41817,11855,28.3
12,Percentage Change in 1990 Over 1980,167.8,233.1,24.1
