SL. No.,Place of Occurrence,Dacoity - Number,Dacoity - Value,Robbery - Number,Robbery - Value,Burglary - Number,Burglary - Value,Theft - Number,Theft - Value
1,Residential Premises,7440,1498,9869,927.4,102528,5998.4,158275,7114.6
2,High-way,1127,455.5,4113,658.3,424,20,8272,610.7
3,River & Sea,6,1.6,27,4.7,11,0.9,299,25.2
4,Railways,170,16.3,401,23.5,126,1.6,15062,624.8
5,Banks,96,371.7,104,176.6,104,12,455,94.2
6,Commercial Establishments,195,112.5,557,149.6,5662,647.4,11923,486
7,Other Places,2055,643.7,10369,886.6,22476,1462.9,158905,9129.8
8,Total,11089,3099.4,25440,2826.7,131331,8143.4,353191,18085.3
