SL. No.,Category,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs and Psychotropic Substances Act - Male,Narcotic Drugs and Psychotropic Substances Act - Female,Narcotic Drugs and Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives and Explosive Substances Act - Male,Explosives and Explosive Substances Act - Female,Explosives and Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Foreigners Registration Act - Male,Foreigners Registration Act - Female,Foreigners Registration Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Other LSL Crimes - Male,Other LSL Crimes - Female,Other LSL Crimes - Total,Total Cognizable Crimes Under LSL - Male,Total Cognizable Crimes Under LSL - Female,Total Cognizable Crimes Under LSL - Total
1,State,Andhra Pradesh,438,0,438,183,0,183,38904,0,38904,3206,158,3364,27,0,27,367,0,367,131,1180,1311,28,0,28,44,0,44,667,9,676,0,1,1,9,0,9,279,5,284,8,0,8,56,20,76,462777,3961,466738,507124,5334,512458
2,State,Arunachal Pradesh,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,9,0,9,36,0,36
3,State,Assam,445,0,445,160,3,16,470,0,470,750,2,752,209,0,209,158,0,158,10,6,16,7,0,7,0,0,0,0,0,0,22,0,22,52,0,52,1734,10,1744,0,0,0,30,5,35,1294,18,1312,5341,44,5385
4,State,Bihar,4679,17,4696,191,4,195,1622,10,1632,2913,97,3010,11,0,11,895,2,897,42,0,42,570,0,570,12,0,12,0,0,0,0,0,0,1176,8,1184,0,0,0,0,0,0,1209,274,1483,4544,51,4595,17864,463,18327
5,State,Goa,6,0,6,55,2,57,1628,0,1628,5,0,5,0,0,0,18,1,19,0,122,122,477,6,483,16,9,25,3,1,4,0,0,0,6,1,7,0,0,0,1,0,1,0,0,0,879,24,903,3094,166,3260
6,State,Gujarat,534,1,535,372,11,383,29496,33,29529,0,0,0,117613,25665,143278,113,0,113,27,35,62,589,9,598,314,5,319,328,18,346,104,1,105,295,2,297,41,0,41,0,0,0,9,0,9,49916,3172,53088,199751,28952,228703
7,State,Haryana,1647,0,1647,889,13,902,5640,0,5640,13870,23,13893,0,0,0,0,0,0,0,2,2,400,0,400,1,0,1,1,0,1,0,0,0,200,0,200,9,0,9,0,0,0,0,0,0,2913,20,2933,25570,58,25628
8,State,Himachal Pradesh,26,1,27,87,2,89,103,0,103,2996,1008,4004,0,0,0,3,0,3,0,0,0,0,0,0,11,6,17,41,1,42,0,0,0,26,0,26,0,0,0,0,0,0,9,5,14,706,10,716,4008,1033,5041
9,State,Jammu & Kashmir,153,0,153,59,2,61,10,0,10,11,4,15,0,0,0,22,0,22,0,0,0,0,0,0,3,0,3,4,0,4,58,4,62,55,0,55,131,0,131,0,0,0,0,0,0,283,6,289,789,16,805
10,State,Karnataka,91,1,92,142,19,161,16753,3,16756,2027,96,2123,0,0,0,54,1,55,179,2802,2981,6,0,6,19,1,20,2514,223,2737,2,1,3,826,4,830,0,0,0,20,1,21,451,94,545,413436,527,413963,436520,3773,440293
11,State,Kerala,178,3,181,627,8,635,7012,2,7014,373,19,392,221,1,222,180,0,180,78,124,202,60,0,60,10,1,11,47,1,48,8,1,9,123,1,124,0,0,0,0,0,0,0,0,0,6142,47,6189,15059,208,15267
12,State,Madhya Pradesh,4598,16,4614,1005,10,1015,55712,13,55725,16254,974,17228,14,0,14,547,2,549,9,0,9,22134,29,22163,43,0,43,761,18,779,4,0,4,447,7,454,2,0,2,0,0,0,157,21,178,140474,2911,143385,242161,4001,246162
13,State,Maharashtra,1613,51,1664,2405,84,2489,97645,269,97914,0,0,0,132336,8490,140826,230,2,232,1120,773,1893,5043,3,5046,1011,172,1183,420,7,427,11,3,14,682,11,693,0,0,0,0,0,0,372,93,465,317068,32453,349521,559956,42411,602367
14,State,Manipur,14,0,14,251,51,302,426,0,426,1777,1390,3167,0,0,0,3,0,3,4,0,4,0,0,0,23,9,32,0,0,0,41,1,42,15,0,15,96,3,99,0,0,0,0,0,0,84,2,86,2734,1456,4190
15,State,Meghalaya,27,2,29,8,1,9,114,0,114,4,12,16,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,11,300,447,26,473
16,State,Mizoram,16,0,16,45,10,55,5,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,382,169,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,11,660,1097,191,1288
