SL. No.,Crime Head,1989,1990,Percentage Variation in 1990 Over 1989,Percentage Share of Crime During 1990
1,Murder,70335,80410,14.3,3.3
2,Attempt to Commit Murder,61711,65698,6.5,2.7
3,C.H. Not Amounting to Murder,8635,9919,14.9,0.4
4,Rape,13979,14382,2.9,0.6
5,Kidnapping & Abduction,22479,25644,14.1,1.1
5,I) Of Women & Girls,17665,19284,9.2,0.8
5,II) Of Others,4814,6360,32.1,0.3
6,Dacoity,33475,35361,5.6,1.4
7,Preparation & Assembly for Dacoity,3942,5125,30,0.2
8,Robbery,29352,33855,15.3,1.4
9,Burglary,93614,91763,-2,3.8
10,Theft,223980,218391,-2.5,8.9
11,Riots,547327,567598,3.7,23.3
12,Criminal Breach of Trust,16802,16262,-3.2,0.7
13,Cheating,21276,21639,1.7,0.9
14,Counterfeiting,674,1103,63.6,0
15,Other IPC Crimes,1155651,1253860,8.5,51.4
16,Total Cognizable Crimes Under IPC,2303232,2441010,6,100
