SL. No.,Category,State/UT/City,Murder - Male (M),Murder - Female (F),Murder - Total,Attempt to Commit Murder - Male (M),Attempt to Commit Murder - Female (F),Attempt to Commit Murder - Total,C.H. Not Amounting to Murder - Male (M),C.H. Not Amounting to Murder - Female (F),C.H. Not Amounting to Murder - Total,Rape - Male (M),Rape - Female (F),Rape - Total,Kidnapping & Abduction - Total - Male (M),Kidnapping & Abduction - Total - Female (F),Kidnapping & Abduction - Total - Total,Kidnapping & Abduction - Of Women & Girls - Male (M),Kidnapping & Abduction - Of Women & Girls - Female (F),Kidnapping & Abduction - Of Women & Girls - Total,Kidnapping & Abduction - Of Others - Male (M),Kidnapping & Abduction - Of Others - Female (F),Kidnapping & Abduction - Of Others - Total,Dacoity - Male (M),Dacoity - Female (F),Dacoity - Total,Preparation & Assembly for Dacoity - Male (M),Preparation & Assembly for Dacoity - Female (F),Preparation & Assembly for Dacoity - Total,Robbery - Male (M),Robbery - Female (F),Robbery - Total,Burglary - Male (M),Burglary - Female (F),Burglary - Total,Theft - Male (M),Theft - Female (F),Theft - Total,Riots - Male (M),Riots - Female (F),Riots - Total,Criminal Breach of Trust - Male (M),Criminal Breach of Trust - Female (F),Criminal Breach of Trust - Total,Cheating - Male (M),Cheating - Female (F),Cheating - Total,Counterfeiting - Male (M),Counterfeiting - Female (F),Counterfeiting - Total,Other IPC Crimes - Male (M),Other IPC Crimes - Female (F),Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male (M),Total Cognizable Crimes Under IPC - Female (F),Total Cognizable Crimes Under IPC - Total
1,State,Andhra Pradesh,8064,203,8267,3150,40,3190,71,9,80,723,1,724,1349,115,1464,597,100,697,752,15,767,2480,13,2493,23,0,23,1553,7,1560,5847,26,5873,13264,227,13491,39452,741,40193,633,16,649,1399,37,1438,54,0,54,89829,3061,92890,167891,4496,172387
2,State,Arunachal Pradesh,41,4,45,39,0,39,5,0,5,20,0,20,45,2,47,35,0,35,10,2,12,63,0,63,0,0,0,83,0,83,199,0,199,250,2,252,230,0,230,65,2,67,25,0,25,1,0,1,1154,34,1188,2220,44,2264
3,State,Assam,1576,0,1576,392,0,392,62,0,62,477,0,477,1072,8,1080,982,8,990,90,0,90,2348,0,2348,90,0,90,1626,0,1626,3464,4,3468,8433,32,8465,17714,140,17854,411,0,411,505,0,505,20,0,20,18722,18,18740,56912,202,57114
4,State,Bihar,10598,142,10740,11022,179,11201,1194,10,1204,1635,0,1635,3898,180,4078,2281,106,2387,1617,74,1691,8601,18,8619,751,0,751,5237,10,5247,6637,26,6663,20460,582,21042,88589,651,89240,2110,17,2127,2485,67,2552,40,0,40,96942,1227,98169,260199,3109,263308
5,State,Goa,50,3,53,14,1,15,13,4,17,9,0,9,19,1,20,13,1,14,6,0,6,4,0,4,0,0,0,23,0,23,383,2,385,639,37,676,704,93,797,79,23,102,46,1,47,12,0,12,2330,201,2531,4325,366,4691
6,State,Gujarat,3128,164,3292,3819,106,3925,27,5,32,307,19,326,1012,62,1074,730,52,782,282,10,292,1535,7,1542,10,0,10,1149,12,1161,4954,127,5081,11642,452,12094,16722,568,17290,1824,38,1862,828,18,846,34,0,34,93111,5171,98282,140102,6749,146851
7,State,Haryana,1285,51,1336,777,5,782,266,16,282,265,1,266,288,0,288,213,0,213,75,0,75,154,0,154,12,0,12,155,0,155,1662,8,1670,3971,43,4014,2183,47,2230,184,0,184,535,0,353,1,0,1,28322,297,28619,40060,468,40528
8,State,Himachal Pradesh,146,20,166,113,4,117,17,0,17,68,2,70,126,6,132,111,5,116,15,1,16,11,0,11,0,0,0,36,0,36,401,10,411,631,11,642,2327,178,2505,98,0,98,72,2,74,0,0,0,6181,833,7014,10227,1066,11293
9,State,Jammu & Kashmir,206,7,213,752,29,781,13,0,13,124,2,126,430,7,437,429,7,436,1,0,1,6,0,6,0,0,0,37,0,37,514,4,518,2270,24,2294,3345,268,3613,87,0,87,141,5,146,0,0,0,9304,747,10051,17229,1093,18322
10,State,Karnataka,2906,168,3074,1873,27,1900,64,3,67,248,4,252,382,31,413,247,26,273,135,5,140,755,12,767,3,0,3,488,10,498,3341,46,3387,8477,229,8706,47117,2178,46295,566,6,572,965,19,984,38,0,38,76622,4480,81102,143845,7213,151058
11,State,Kerala,1129,66,1195,1207,56,1263,49,7,56,250,0,250,183,7,190,137,4,141,46,3,49,291,8,299,0,0,0,302,9,311,2933,15,2948,3712,90,3802,34281,1197,35478,296,9,305,907,32,939,240,4,244,59397,2932,62329,105177,4432,109609
12,State,Madhya Pradesh,6515,396,6911,7748,212,7960,314,37,351,3456,0,3456,2071,59,2130,1873,54,1927,198,5,203,1288,0,1288,489,1,490,3140,25,3165,13757,233,13990,21174,443,21617,29371,614,29985,993,4,997,1936,30,1966,188,0,188,175695,3926,179621,268135,5980,274115
13,State,Maharashtra,6372,411,6783,4115,78,4193,71,9,80,1272,17,1289,1515,76,1591,925,51,976,590,25,615,3103,42,3145,255,0,255,3738,20,3758,10558,273,10831,27215,1424,28639,37564,1812,39376,2431,35,2466,2701,78,2779,74,7,81,134089,9491,143580,235073,13773,248846
14,State,Manipur,135,4,139,35,0,35,0,0,0,26,1,27,141,10,151,139,8,147,2,2,4,19,0,19,0,0,0,19,0,19,148,5,153,164,3,167,418,1,419,23,1,24,50,2,52,18,2,20,989,70,1059,2185,99,2284
