SL. No.,Category,State/UT/City,Killed - In Dacoity Operation or Other Raids,Killed - By Riotous Mobs,Killed - By Other Criminals,Killed - On Border Duties,Killed - In Accidents,Killed - Total,Injured - In Dacoity Operation or Other Raids,Injured - By Riotous Mobs,Injured - By Other Criminals,Injured - On Border Duties,Injured - In Accidents,Injured - Total
1,State,Andhra Pradesh,1,13,7,0,3,24,11,176,40,0,15,242
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,9,9,0,0,18
3,State,Assam,0,1,22,0,1,24,0,12,13,0,8,33
4,State,Bihar,7,10,6,1,13,37,25,33,17,0,13,88
5,State,Goa,0,0,0,0,1,1,3,21,15,0,0,39
6,State,Gujarat,0,1,0,0,19,20,1,302,53,0,9,365
7,State,Haryana,3,1,3,1,18,26,0,110,19,0,14,143
8,State,Himachal Pradesh,0,0,0,0,4,4,0,126,3,0,4,133
9,State,Jammu & Kashmir,2,16,55,0,1,74,0,66,200,0,8,274
10,State,Karnataka,0,0,5,0,4,9,0,415,53,0,5,473
11,State,Kerala,0,0,3,0,7,10,0,342,95,0,53,490
12,State,Madhya Pradesh,1,0,14,0,13,28,31,39,65,0,14,149
13,State,Maharashtra,0,1,14,4,41,60,26,237,97,17,85,462
14,State,Manipur,0,0,3,0,0,3,0,14,0,0,0,14
15,State,Meghalaya,0,0,0,0,0,0,0,11,1,0,0,12
16,State,Mizoram,0,0,1,0,0,1,0,0,1,0,0,1
17,State,Nagaland,0,0,3,0,0,3,0,0,0,0,0,0
18,State,Orissa,2,0,0,0,4,6,5,179,14,0,0,198
19,State,Punjab,31,0,188,10,42,271,33,10,182,1,35,261
20,State,Rajasthan,1,1,4,0,13,19,6,290,30,0,54,380
21,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Tamil Nadu,0,0,1,0,7,8,9,186,50,0,30,275
23,State,Tripura,0,0,0,0,0,0,4,4,4,3,0,15
24,State,Uttar Pradesh,16,36,19,2,30,103,55,468,69,3,30,625
25,State,West Bengal,1,13,6,5,6,31,49,407,18,29,38,541
Total (States),State,Total (States),65,93,354,23,227,762,258,3457,1048,53,415,5231
26,UT,A & N Islands,0,0,1,0,0,1,0,0,0,0,0,0
27,UT,Chandigarh,0,1,1,0,5,7,0,51,6,0,1,58
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,0,3,0,0,4,7,0,338,63,0,52,453
31,UT,Lakshadweep,0,0,0,0,0,0,0,13,0,0,0,13
32,UT,Pondicherry,0,0,0,0,2,2,0,29,4,0,0,33
Total (UTs),UT,Total (UTs),0,4,2,0,11,17,0,431,73,0,53,557
Total (All -India),Total (All -India),Total (All -India),65,97,356,23,238,779,258,3888,1121,53,468,5788
33,City,Ahmedabad,0,1,0,2,3,6,0,66,0,0,1,67
34,City,Bangalore,0,0,1,0,2,3,0,6,12,0,1,19
35,City,Bombay,0,1,4,0,0,5,5,50,43,7,9,114
36,City,Calcutta,0,0,0,0,0,0,6,78,0,0,0,84
37,City,Delhi,0,3,0,0,4,7,0,338,63,0,52,453
38,City,Hyderabad,1,0,1,0,0,2,0,28,0,0,0,28
39,City,Jaipur,0,1,1,0,1,3,0,29,9,0,7,45
40,City,Kanpur,0,7,0,0,0,7,4,10,0,0,0,14
41,City,Lucknow,0,0,0,0,0,0,2,2,2,0,1,7
42,City,Madras,0,0,0,0,0,0,0,4,0,0,0,4
43,City,Nagpur,0,0,0,0,0,0,0,16,0,0,0,16
44,City,Pune,0,0,0,0,1,1,0,1,4,0,1,6
