SL. No.,Category,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,29,9,1,4,1,1,0,5,0,6,90,198,61,0,0,0,359,763
2,State,Arunachal Pradesh,3,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,31,47
3,State,Assam,5,0,1,9,3,3,0,13,0,7,81,198,332,0,0,0,61,710
4,State,Bihar,51,29,13,26,33,33,0,63,7,45,120,443,577,17,11,0,549,1984
5,State,Goa,0,0,0,0,0,0,0,0,0,0,12,23,3,1,0,0,10,49
6,State,Gujarat,14,22,1,8,8,7,1,1,0,21,182,267,95,1,7,0,605,1232
7,State,Haryana,25,10,20,18,7,7,0,10,0,8,126,145,160,3,7,0,704,1243
8,State,Himachal Pradesh,1,0,2,0,2,2,0,0,0,0,11,18,12,0,1,0,71,118
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,14
10,State,Karnataka,17,1,2,1,0,0,0,0,0,3,90,201,24,1,0,0,77,417
11,State,Kerala,3,0,0,1,0,0,0,0,0,2,12,31,51,0,0,0,34,134
12,State,Madhya Pradesh,112,93,1,58,40,39,1,5,2,39,451,670,208,1,13,0,1553,3246
13,State,Maharashtra,74,34,2,48,21,8,13,29,1,62,373,999,357,10,9,0,1825,3844
14,State,Manipur,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4
15,State,Meghalaya,0,0,0,0,0,0,0,0,0,3,22,47,23,0,0,0,5,100
16,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,12,32
17,State,Nagaland,0,0,0,0,0,0,0,3,0,15,33,61,2,0,1,0,48,163
18,State,Orissa,0,1,0,0,0,0,0,0,0,0,48,84,1,0,0,0,46,180
19,State,Punjab,6,2,1,0,0,0,0,0,0,0,2,39,2,0,0,0,13,65
20,State,Rajasthan,19,19,1,13,3,3,0,2,0,3,112,137,362,0,3,0,248,922
21,State,Sikkim,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3
22,State,Tamil Nadu,21,2,0,7,1,1,0,0,0,2,171,566,48,1,1,0,173,993
23,State,Tripura,0,0,0,0,1,1,0,0,0,0,6,13,7,1,0,0,211,239
24,State,Uttar Pradesh,10,4,3,1,2,2,0,2,0,2,1,42,1,0,0,0,37,105
25,State,West Bengal,0,1,2,0,0,0,0,0,0,0,0,19,0,0,0,0,10,32
Total (States),State,Total (States),390,227,50,194,126,111,15,133,10,218,1948,4230,2328,36,53,0,6696,16639
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,8
27,UT,Chandigarh,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,9
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4
29,UT,Daman & Diu,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
30,UT,Delhi,1,2,0,2,1,1,0,0,0,0,12,54,5,4,3,0,27,111
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,2,0,0,0,1,0,1,0,0,0,0,62,0,0,0,0,0,65
Total (UTs),UT,Total (UTs),5,2,0,2,2,1,1,0,0,0,12,121,12,4,3,0,36,199
Total (All -India),Total (All -India),Total (All -India),395,229,50,196,128,112,16,133,10,218,1960,4351,2340,40,56,0,6732,16838
33,City,Ahmedabad,3,0,0,0,3,3,0,0,0,0,18,41,12,1,0,0,90,168
34,City,Bangalore,1,0,0,0,0,0,0,0,0,1,52,104,2,0,0,0,8,168
35,City,Bombay,17,2,0,4,0,0,0,0,1,7,32,245,2,8,2,0,301,621
36,City,Calcutta,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,15
37,City,Delhi,1,2,0,2,1,1,0,0,0,0,12,54,5,4,3,0,27,111
38,City,Hyderabad,3,0,0,0,0,0,0,0,0,0,21,34,0,0,0,0,0,58
39,City,Jaipur,0,3,0,0,0,0,0,0,0,0,17,6,10,0,0,0,6,42
40,City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,14
42,City,Madras,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,35,57
43,City,Nagpur,4,0,0,0,0,0,0,0,0,0,13,20,0,0,0,0,17,54
44,City,Pune,0,0,0,0,1,0,1,0,0,1,19,33,3,0,1,0,5,63
