S.No. (Col. 1),Category (Col. 2),State/UT (Col. 3),Oral Complaints - Total Oral Complaints (Col. 4),Oral Complaints - Narrated to O/C/SHO (Col. 5),Oral Complaints - Distress call over Phone/ Dial 100 etc. (Col. 6),Oral Complaints - Complaints Received in Electronic Forms (Col. 7),Written Complaints - Total Written Complaints (Col. 8),Written Complaints - To O/C/SHO (Col. 9),Written Complaints - To SP (Col. 10),Written Complaints - Court Complaints (Sec. 156(3) Cr.P.C) (Col. 11),Other Complaints - Total Other Complaints (Col. 12),Other Complaints - Complaints Received from Human Rights Commission (SHRC/ NHRC/NCPC) (Col. 13),Other Complaints - Complaints Received from National Commission for Scheduled Caste / Scheduled Tribe (Col. 14),Other Complaints - Complaints initiated Suo-moto by Police (Col. 15),Other Complaints - From Organization other than Col. 13 and 14 (Col. 16),Total Complaints (Col. 4+8+12) (Col. 17),Number of Cases Registered - IPC (Col. 18),Number of Cases Registered - SLL (Col. 19),No. of Non-Cognizable Complaints Recorded by Police (Col. 20)
1,STATE,Andhra Pradesh,89831,12769,76095,967,136650,129396,3871,3383,13445,67,80,6618,6680,239926,110693,15755,3031
2,STATE,Arunachal Pradesh,26,15,11,0,3316,3106,204,6,8,0,0,8,0,3350,2968,181,10
3,STATE,Assam,2023,2023,0,0,106307,94841,5030,6436,122,0,0,122,0,108452,103616,3849,914
4,STATE,Bihar,7468,7390,78,0,189389,173372,2254,13763,1221,2,1,255,963,198078,176973,18439,14734
5,STATE,Chhattisgarh,93674,90754,2653,267,66008,39263,24910,1835,156730,177,58,17184,139311,316412,56692,245223,34312
6,STATE,Goa,17847,17825,22,0,3257,3244,7,6,2095,3,0,2091,1,23199,3074,1482,18302
7,STATE,Gujarat,142166,134148,8018,0,316578,312351,4139,88,2145,50,0,554,1541,460889,126935,307108,27950
8,STATE,Haryana,550009,46261,479869,23879,199725,101092,97414,1219,87236,1991,981,8337,75927,836970,84466,47523,127636
9,STATE,Himachal Pradesh,7932,3267,2984,1681,17069,8261,8304,504,1716,80,14,1098,524,26717,14007,3214,8695
10,STATE,Jammu & Kashmir,3636,3234,372,30,17772,16862,204,706,3902,0,0,1062,2840,25310,23583,1727,0
11,STATE,Jharkhand,4927,4898,8,21,46838,39291,185,7362,1461,0,11,75,1375,53226,45050,7861,1096
12,STATE,Karnataka,25692,24519,0,1173,141727,136614,2410,2703,30034,192,987,25312,3543,197453,138847,32019,89985
13,STATE,Kerala,207041,157383,37843,11815,284465,258056,20944,5465,478366,4196,64,410959,63147,969872,257074,396334,106441
14,STATE,Madhya Pradesh,267076,213743,44611,8722,233274,121761,110222,1291,25519,3615,194,14359,7351,525869,268614,90046,188146
15,STATE,Maharashtra,183129,152889,29286,954,499712,457595,39926,2191,145169,59,38,119548,25524,828010,275414,147766,996293
16,STATE,Manipur,370,270,100,0,3931,3911,20,0,550,0,0,506,44,4851,3847,1004,0
17,STATE,Meghalaya,4,4,0,0,4118,4118,0,0,565,0,0,181,384,4687,4079,327,3
18,STATE,Mizoram,1119,920,199,0,1270,1265,5,0,190,0,0,190,0,2579,2228,347,0
19,STATE,Nagaland,121,103,8,10,1283,1193,90,0,584,0,0,579,5,1988,1302,629,0
20,STATE,Odisha,42,40,2,0,86778,84114,226,2438,16719,0,535,16184,0,103539,83360,19848,2210
21,STATE,Punjab,203194,7415,152160,43619,219510,97039,122172,299,61015,7231,904,11733,41147,483719,37983,22253,60186
22,STATE,Rajasthan,4474,2959,1375,140,246635,176755,6867,63013,47081,378,41,18329,28333,298190,198080,64096,59584
23,STATE,Sikkim,56,45,5,6,891,834,55,2,3,0,0,3,0,950,766,184,566
24,STATE,Tamil Nadu,265853,32725,221661,11467,426782,376298,48204,2280,523147,806,89,495421,26831,1215782,187558,254604,508232
25,STATE,Telangana,1715,3,1712,0,112230,99551,8057,4622,78013,0,2,72874,5137,191958,106282,16496,41047
26,STATE,Tripura,162,147,15,0,4586,3884,3,699,116,0,0,114,2,4864,4692,172,0
27,STATE,Uttar Pradesh,2776370,75669,2696707,3994,710198,352952,341673,15573,2454550,18428,5464,2322453,108205,5941118,241920,2549421,241361
28,STATE,Uttarakhand,184,0,128,56,12219,11638,511,70,87230,12,6,43774,43438,99633,10248,88618,385
29,STATE,West Bengal,96006,92544,3200,262,205009,175011,3603,26395,72156,131,8,13822,58195,373171,179501,26777,222263
TOTAL (STATES),STATE,TOTAL (STATES),4952147,1083962,3759122,109063,4297527,3283668,851510,162349,4291088,37418,9477,3603745,640448,13540762,2749852,4363303,2753382
30,UT,A & N Islands,994,644,350,0,380,270,108,2,2143,0,0,2143,0,3517,862,2197,2235
31,UT,Chandigarh,94126,0,90450,3676,13703,0,13689,14,24,1,0,23,0,107853,3248,1865,102740
32,UT,D&N Haveli,470,221,249,0,168,147,10,11,42,0,1,41,0,680,269,34,29
33,UT,Daman & Diu,245,245,0,0,75,62,0,13,0,0,0,0,0,320,302,17,30
34,UT,Delhi UT,2783785,10640,2761889,11256,352271,257991,93519,761,31834,1752,261,2169,27652,3167890,191377,8599,1373368
35,UT,Lakshadweep,11,0,0,11,97,90,7,0,13,0,0,13,0,121,50,15,64
36,UT,Puducherry,1019,1003,16,0,2762,2733,0,29,763,0,0,299,464,4544,3440,669,351
TOTAL (UTS),UT,TOTAL (UTS),2880650,12753,2852954,14943,369456,261293,107333,830,34819,1753,262,4688,28116,3284925,199548,13396,1478817
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),7832797,1096715,6612076,124006,4666983,3544961,958843,163179,4325907,39171,9739,3608433,668564,16825687,2949400,4376699,4232199
