S.No.,Category,State/UT,Riots,Arson,Unlawful Assembly,Offences Promoting Enmity Between Different Groups,Total Crimes Against Public Order,Percentage Share,Crime Rate,Percentage To Total IPC Cognizable Crimes
1,State,Andhra Pradesh,731,516,161,49,1457,1.7,2.8,1.3
2,State,Arunachal Pradesh,28,32,1,2,63,0.1,4.8,2.1
3,State,Assam,2435,826,1790,1,5052,5.9,15.7,4.9
4,State,Bihar,13311,448,100,1,13860,16.1,13.4,7.8
5,State,Chhattisgarh,809,382,97,0,1288,1.5,5,2.3
6,State,Goa,123,22,38,0,183,0.2,9.3,6
7,State,Gujarat,1751,273,270,14,2308,2.7,3.7,1.8
8,State,Haryana,1875,234,0,7,2116,2.5,7.8,2.5
9,State,Himachal Pradesh,409,84,15,2,510,0.6,7.2,3.6
10,State,Jammu & Kashmir,1162,148,1,0,1311,1.5,10.6,5.6
11,State,Jharkhand,2196,100,784,9,3089,3.6,9.3,6.9
12,State,Karnataka,6602,464,112,46,7224,8.4,11.7,5.2
13,State,Kerala,5830,562,553,36,6981,8.1,19.6,2.7
14,State,Madhya Pradesh,2205,834,4,11,3054,3.5,4,1.1
15,State,Maharashtra,8336,1299,909,35,10579,12.3,8.9,3.8
16,State,Manipur,164,75,1,0,240,0.3,9.3,6.2
17,State,Meghalaya,1,34,0,0,35,0.0,1.3,0.9
18,State,Mizoram,3,17,2,0,22,0.0,2.1,1
19,State,Nagaland,10,7,0,0,17,0.0,0.7,1.3
20,State,Odisha,1976,505,222,2,2705,3.1,6.4,3.2
21,State,Punjab,0,80,1,2,83,0.1,0.3,0.2
22,State,Rajasthan,424,472,4006,23,4925,5.7,6.8,2.5
23,State,Sikkim,5,4,0,1,10,0.0,1.6,1.3
24,State,Tamil Nadu,2648,677,619,41,3985,4.6,5.8,2.1
25,State,Telangana,554,436,247,53,1290,1.5,3.5,1.2
26,State,Tripura,76,25,0,0,101,0.1,2.7,2.2
27,State,Uttar Pradesh,6813,396,179,60,7448,8.6,3.5,3.1
28,State,Uttarakhand,464,9,4,6,483,0.6,4.6,4.7
29,State,West Bengal,4057,503,740,18,5318,6.2,5.7,3
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),64998,9464,10856,419,85737,99.4,7,3.1
30,UT,A & N Islands,20,4,0,0,24,0.0,4.4,2.8
31,UT,Chandigarh,49,7,0,0,56,0.1,3.2,1.7
32,UT,D&N Haveli,10,2,0,0,12,0.0,2.9,4.5
33,UT,Daman & Diu,5,4,0,0,9,0.0,2.8,3
34,UT,Delhi UT,130,224,0,5,359,0.4,1.7,0.2
35,UT,Lakshadweep,0,5,4,0,9,0.0,11.2,18
36,UT,Puducherry,43,0,16,0,59,0.1,3.6,1.7
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),257,246,20,5,528,0.6,2.1,0.3
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),65255,9710,10876,424,86265,100,6.9,2.9
