Crime Head (Col.1),Cases Pending Trial from the Previous Year (Col.2),Cases Sent for Trial During the Year (Col.3),No. of Cases Withdrawn by the Govt. (Col.4),No. of Cases Disposed by Plea Bargaining (Col.5),Total no. of Cases for Trial During the Year (Col.6) = (Col.2+3 - Col.4 - Col. 5),Cases Compounded or Withdrawn (Col.7),Cases in Which Trials were Completed (Col.8) = (Col. 9+10),Cases Convicted (Col.9),Cases Acquitted or Discharged (Col.10),Cases Pending Trial at the End of the Year (Col.11) = (Col.6 - (Col.7+8) ,Conviction Rate (Col.12) = (Col.9/Col.8) 'x 100,Cases Pendency Percentage (Col.13) = {Col.11/(Col.2+Col.3)}x 100
"1 Protection of Civil Rights Act, 1955",20,0,0,0,20,0,0,0,0,20,NA,100
2.1 Murder,548,128,0,0,676,0,66,20,46,610,30.3,90.2
2.2 Attempt to Commit Murder,96,69,0,0,165,0,18,5,13,147,27.8,89.1
2.3 Rape,2393,854,0,0,3247,0,599,126,473,2648,21,81.6
2.4 Attempt to Commit Rape,21,11,0,0,32,0,3,1,2,29,33.3,90.6
2.5 Assault on Women with Intent to Outrage her Modesty,978,711,0,0,1689,2,354,91,263,1333,25.7,78.9
2.5.1 Sexual Harassment,268,276,0,0,544,0,116,23,93,428,19.8,78.7
2.5.2 Assault on Women with Intent to Disrobe,28,42,0,0,70,0,8,2,6,62,25,88.6
2.5.3 Voyeurism,2,4,0,0,6,0,1,0,1,5,0,83.3
2.5.4 Stalking,25,16,0,0,41,0,15,3,12,26,20,63.4
2.5.5 Other Sexual Harassment,655,373,0,0,1028,2,214,63,151,812,29.4,79
2.6 Insult to the Modesty of women,35,13,0,0,48,0,2,0,2,46,0,95.8
2.7 Kidnapping & Abduction,380,112,0,0,492,2,57,11,46,433,19.3,88
2.7.1 Kidnaping & Abduction,81,22,0,0,103,0,14,4,10,89,28.6,86.4
2.7.2 Kidnaping & Abduction in Order to Murder,0,0,0,0,0,0,0,0,0,0,NA,NA
2.7.3 Kidnapping for Ransom,1,0,0,0,1,0,0,0,0,1,NA,100
2.7.4 Kidnapping & Abduction of Women to Compel Her for Marriage,163,51,0,0,214,0,24,3,21,190,12.5,88.8
2.7.5 Other Kidnapping,135,39,0,0,174,2,19,4,15,153,21.1,87.9
2.8 Dacoity,29,1,0,0,30,0,2,0,2,28,0,93.3
2.8.1 Dacoity with Murder,0,0,0,0,0,0,0,0,0,0,NA,NA
2.8.2 Other Dacoity,29,1,0,0,30,0,2,0,2,28,0,93.3
2.9 Robbery,48,4,0,0,52,0,6,1,5,46,16.7,88.5
2.10 Arson,133,15,0,0,148,0,9,2,7,139,22.2,93.9
2.11 Grievous Hurt,1430,140,0,0,1570,24,229,42,187,1317,18.3,83.9
2.11.1 Hurt,1429,140,0,0,1569,24,229,42,187,1316,18.3,83.9
2.11.2 Acid attack,1,0,0,0,1,0,0,0,0,1,NA,100
2.11.3 Attempt to Acid Attack,0,0,0,0,0,0,0,0,0,0,NA,NA
