Crime Head (Col.1),Cases Pending Investigation from Previous Year (Col.2),Cases Reported During the Year (Col.3),No. of Cases Withdrawn by the Govt. During Investigation (Col.4),Cases Transferred to other Police Station/ Magistrate (Col.5),Cases Not Investigated U/S 157(1)(b) of Cr.PC (Col.6),Total Cases for Investigation (Col.7) = (Col. 2+3-4-5-6) ,Cases Ended as Final Report False (Col.8),Cases Ended as Mistake of Fact or of Law (Col.9),Cases in Ended as Final Report as Non Cognizable Submitted During the Year (Col.10),Cases in Which Charge-sheets were Submitted (Col.11),Cases in Which Chargesheets were not laid but Final Report as True submitted (Col.12),Total Cases Disposed Off by Police (Col.13) = (Col.8+9+10+11+12) ,Cases Pending Investigation at the End of the Year (Col.14) = (col. 7 - col. 13) ,Charge-Sheeting Rate (Col.15) = {Col.11/(Col.11+Col.12)} x 100,Cases Pendency Percentage (Col.16) = {(Col.14/(Col.2+Col.3)} x 100 
1 Importation of Girls from Foreign Country,24,6,0,0,0,30,1,0,0,9,3,13,17,75,56.7
2 Human Trafficking (Section 370 & 370A IPC),351,1021,0,1,0,1371,12,20,0,631,100,763,689,86.3,50.2
"3 Immoral Traffic (Prevention) Act, 1956",1711,2641,0,2,0,4350,8,4,0,2456,36,2504,1846,98.6,42.4
3.1 Under Section 5,391,1287,0,2,0,1676,5,3,0,1098,23,1129,547,97.9,32.6
3.2 Under Section 6,29,85,0,0,0,114,0,0,0,68,1,69,45,98.6,39.5
3.3 Under Section 7,53,182,0,0,0,235,0,0,0,169,0,169,66,100,28.1
3.4 Under Section 8,19,300,0,0,0,319,0,0,0,230,4,234,85,98.3,26.6
3.5 Other Sections under ITP Act,1219,787,0,0,0,2006,3,1,0,891,8,903,1103,99.1,55
4 Procuration of Minor Girls,1244,3087,0,1,0,4330,150,92,9,1348,421,2020,2310,76.2,53.3
5 Buying of Minors for Prostitution,40,11,0,0,0,51,0,0,0,10,0,10,41,100,80.4
6 Selling of Minors for Prostitution,181,111,0,0,0,292,0,0,0,119,3,122,170,97.5,58.2
Total Human Trafficking,3551,6877,0,4,0,10424,171,116,9,4573,563,5432,5073,89,48.6
