PROPERTY,Place of Occurrence,"Dacoity - (Section 395,396 & 398 IPC) - Number","Dacoity - (Section 395,396 & 398 IPC) - Value","Robbery - (Section 392-394, 397, 398 IPC) - Number","Robbery - (Section 392-394, 397, 398 IPC) - Value",Criminal Trespass/Burglary (Section 457 to 460 IPC) - Number,Criminal Trespass/Burglary (Section 457 to 460 IPC) - Value,Theft - (Section 379-382 IPC) - Number,Theft - (Section 379-382 IPC) - Value
1,Residential Premises,1261,4605.7,4906,3980.9,76433,60315.9,129838,67506.8
2,Highways/Road,986,6602.7,15566,20308.3,1302,985.6,71248,36867
3,River and Sea,11,29.3,37,10.5,31,235.2,1371,1045.4
4,Railways,77,315.6,1099,645.8,41,16.3,28724,10110.5
5,Religious Places,17,19.3,141,70.9,2223,19.3,3462,1194.9
6,ATM,2,14.3,65,64,237,776.1,995,1078
7,Bank,24,748,51,195.9,394,2419.1,1096,934.7
8,Commercial Establishments,284,2189.4,2229,2927.6,17373,16711.4,37665,27865.3
9,Other Places,1310,7219.1,12094,19354.3,16089,15995.9,193434,111897.1
,Total,3972,21743.4,36188,47558.1,114123,98553.2,467833,258499.7
