S. No. (Col. 1),Category (Col. 2),State/UT (Col. 3),Rape (Col. 4),Attempt to Commit Rape (Col. 5),Assault on Women With Intent to Outrage her Modesty (Col. 6),Insult to Modesty of Women (Col. 7),Total Sexual Offences under IPC (Col. 8) = (Col.4+Col.5+Col.6+Col.7),Percentage Share (Col. 9),Crime Rate (Col. 10),Percentage to Total IPC Cognizable Crimes (Col. 11)
1,State,Andhra Pradesh,1027,206,4616,2200,8049,6.2,15.7,7.3
2,State,Arunachal Pradesh,71,12,101,2,186,0.1,14.3,6.3
3,State,Assam,1733,499,4293,111,6636,5.1,20.6,6.4
4,State,Bihar,1041,403,198,96,1738,1.3,1.7,1
5,State,Chhattisgarh,1560,19,1868,53,3500,2.7,13.6,6.2
6,State,Goa,86,0,150,34,270,0.2,13.7,8.8
7,State,Gujarat,503,3,1164,73,1743,1.3,2.8,1.4
8,State,Haryana,1070,105,1886,90,3151,2.4,11.6,3.7
9,State,Himachal Pradesh,244,1,434,58,737,0.6,10.4,5.3
10,State,Jammu & Kashmir,296,21,1343,175,1835,1.4,14.9,7.8
11,State,Jharkhand,1053,202,844,10,2109,1.6,6.3,4.7
12,State,Karnataka,589,16,5112,154,5871,4.5,9.5,4.2
13,State,Kerala,1256,30,3987,267,5540,4.3,15.6,2.2
14,State,Madhya Pradesh,4391,57,8049,390,12887,9.9,16.7,4.8
15,State,Maharashtra,4144,13,11713,1119,16989,13,14.3,6.2
16,State,Manipur,46,1,84,2,133,0.1,5.2,3.5
17,State,Meghalaya,93,23,95,20,231,0.2,8.4,5.7
18,State,Mizoram,58,6,75,2,141,0.1,13.4,6.3
19,State,Nagaland,35,1,8,9,53,0,2.2,4.1
20,State,Odisha,2251,137,6499,472,9359,7.2,22.2,11.2
21,State,Punjab,886,128,1123,27,2164,1.7,7.5,5.7
22,State,Rajasthan,3644,407,4813,9,8873,6.8,12.3,4.5
23,State,Sikkim,5,1,21,2,29,0,4.5,3.8
24,State,Tamil Nadu,421,29,1163,20,1633,1.3,2.4,0.9
25,State,Telangana,1105,43,3608,1288,6044,4.6,16.5,5.7
26,State,Tripura,213,38,352,6,609,0.5,16,13
27,State,Uttar Pradesh,3025,422,7885,11,11343,8.7,5.3,4.7
28,State,Uttarakhand,283,10,318,12,623,0.5,5.9,6.1
29,State,West Bengal,1199,1551,5069,455,8274,6.4,8.9,4.6
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),32328,4384,76871,7167,120750,92.7,20.3,4.4
30,UT,A & N Islands,36,0,57,5,98,0.1,17.9,11.4
31,UT,Chandigarh,72,6,76,10,164,0.1,9.4,5
32,UT,D&N Haveli,8,0,5,0,13,0,3.1,4.8
33,UT,Daman & Diu,5,0,7,0,12,0,3.7,4
34,UT,Delhi UT,2199,46,5367,1492,9104,7,43.6,4.8
35,UT,Lakshadweep,0,0,6,1,7,0,8.7,14
36,UT,Puducherry,3,1,33,10,47,0,2.9,1.4
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),2323,53,5551,1518,9445,7.3,83.3,4.7
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),34651,4437,82422,8685,130195,100,21.4,4.4
