Crime Head(Col. 1),Persons in Custody During the Stage of Investigation at the Beginning of the Year - Male (Col. 2),Persons in Custody During the Stage of Investigation at the Beginning of the Year - Female (Col. 3),Persons on Bail During the Stage of Investigation at the Beginning of the Year - Male (Col. 4),Persons on Bail During the Stage of Investigation at the Beginning of the Year - Female (Col. 5),Total - Male (Col. 6) = (col. 2+4),Total - Female (Col. 7)= (Col. 3+5),Persons Arrested During the Year - Male (Col. 8),Persons Arrested During the Year - Female (Col. 9),Persons Released or Freed by Police or Magistrate before Trial for Want of Evidence or Any Other Reason - Male (Col. 10),Persons Released or Freed by Police or Magistrate before Trial for Want of Evidence or Any Other Reason - Female (Col. 11),Number of Persons Charge Sheeted During the Year - Male (Col. 12),Number of Persons Charge Sheeted During the Year - Female (Col. 13),Persons in Custody during the Stage of Investigation at the End of the Year - Male (Col. 14),Persons in Custody during the Stage of Investigation at the End of the Year - Female (Col. 15),Persons on Bail during the Stage of Investigation at the End of the Year - Male (Col. 16),Persons on Bail during the Stage of Investigation at the End of the Year - Female (Col. 17)
"1 Arms Act, 1959",5580,6,9333,15,14913,21,57943,37,681,1,56635,23,5018,6,10522,28
"2 Narcotic Drugs & Psychotropic Substances Act, 1985",12776,621,15738,608,28514,1229,58065,1560,561,17,59143,1507,11441,511,15434,754
"3 Gambling Act, 1867",4630,8,34972,50,39602,58,379503,983,1007,0,364858,956,5879,25,47361,60
"4 Excise Act, 1944",8343,162,16585,559,24928,721,213124,5821,3138,208,204028,5575,8157,176,22729,583
5 Prohibition Act,7716,1467,56580,9186,64296,10653,413243,114392,5460,892,403005,111888,7561,1223,61513,11042
6 Explosives and Explosive Substances Act,1179,0,2522,13,3701,13,5119,12,155,0,5154,20,886,0,2625,5
"7 Immoral Traffic (Prevention) Act, 1956",449,196,3111,765,3560,961,4982,2350,130,17,5380,2221,476,97,2556,976
7.1 Under Section 5,163,57,832,208,995,265,2371,941,95,7,2177,838,164,44,930,317
7.2 Under Section 6,7,4,90,13,97,17,189,86,1,0,147,79,19,0,119,24
7.3 Under Section 7,3,0,235,22,238,22,332,113,0,0,394,102,26,0,150,33
7.4 Under Section 8,3,0,33,23,36,23,227,347,0,0,220,220,20,5,23,145
7.5 Other Sections under ITP Act,273,135,1921,499,2194,634,1863,863,34,10,2442,982,247,48,1334,457
"8 Indian Railways Act, 1989",10,0,38,0,48,0,926,87,9,0,284,0,7,0,674,87
"9 Registration of Foreigners Act, 1939",443,21,293,21,736,42,97,8,2,0,381,25,138,12,312,13
"10 Protection of Civil Rights Act, 1955",2,0,51,0,53,0,122,11,1,0,118,3,8,2,48,6
10.1 PCR Act for crimes committed against SCs,2,0,40,0,42,0,119,9,1,0,106,1,7,2,47,6
10.2 PCR Act for crimes committed against STs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.3 PCR Act for crimes committed against Others,0,0,11,0,11,0,3,2,0,0,12,2,1,0,1,0
"11 Passport Act, 1967",322,19,1475,21,1797,40,830,96,15,2,734,67,311,21,1567,46
"12 Essential Commodities Act, 1955",1203,2,3615,20,4818,22,6339,52,141,0,6617,51,1163,3,3236,20
"13 Antiquities & Art Treasures Act, 1972",2,0,53,0,55,0,77,1,2,0,75,1,6,0,49,0
"14 Dowry Prohibition Act, 1961",2879,208,4474,1147,7353,1355,17500,4568,2298,854,12353,3164,3558,207,6644,1698
"15 Indecent Representation of Women (Prohibition) Act, 1986",7,1,16,0,23,1,76,0,0,0,62,0,5,0,32,1
"16 Copyright Act, 1957",550,0,2780,8,3330,8,6492,10,45,0,6392,14,523,0,2862,4
17 Protection of Children from Sexual Offences Act,625,6,1818,18,2443,24,18443,208,821,0,16132,192,929,8,3004,32
"18 SC/ST (Prevention of Atrocities) Act, 1989)",2716,10,6964,185,9680,195,12676,509,2097,41,12310,450,2332,7,5617,206
